seed,from,to,familiarity
13,1,72,1.6667
13,1,62,5.575
13,1,81,13.3348
13,1,7,57.2603
13,1,96,11.569
13,1,92,35.1176
13,1,70,48.5504
13,1,104,12.0466
13,1,8,22.3031
13,1,59,14.476
13,1,41,29.8056
13,1,9,24.415
13,1,61,17.9287
13,1,60,11.2696
13,1,123,26.2458
13,1,124,56.6134
13,1,136,1.9419
13,1,148,1.6857
13,1,140,79.7843
13,1,154,2.0054
13,1,146,5.2326
13,1,155,5.0538
13,1,156,14.7476
13,1,159,5.7044
13,1,160,6.9823
13,1,164,4.9745
13,1,167,3.9437
13,1,163,18.5104
13,7,81,10.1312
13,7,41,1.5873
13,7,59,12.8509
13,7,9,28.9224
13,7,96,2.8112
13,7,70,33.5845
13,7,72,0.8837
13,7,61,0.7452
13,7,104,39.0792
13,7,60,3.4291
13,7,1,37.4488
13,7,62,8.1684
13,7,123,0.9313
13,7,8,7.403
13,7,92,1.514
13,7,124,18.368
13,7,140,5.3126
13,7,153,1.7334
13,7,154,3.8535
13,7,159,3.0516
13,7,155,32.5491
13,7,142,0.5384
13,7,167,2.2049
13,8,1,19.6258
13,8,41,13.8422
13,8,61,0.5914
13,8,96,5.7434
13,8,59,4.4428
13,8,70,29.9377
13,8,104,22.0362
13,8,9,37.3578
13,8,60,1.0379
13,8,81,4.8832
13,8,62,33.5182
13,8,123,10.9006
13,8,7,7.403
13,8,92,1.4919
13,8,148,0.9605
13,8,136,0.9935
13,8,153,4.4336
13,8,156,9.3598
13,8,140,1.3991
13,8,142,5.4304
13,8,124,6.7342
13,9,59,24.2407
13,9,61,24.9445
13,9,92,50.5377
13,9,81,13.6536
13,9,72,1.5667
13,9,7,50.5225
13,9,96,15.3374
13,9,104,27.7655
13,9,70,6.9438
13,9,60,7.1412
13,9,1,5.9937
13,9,62,25.2277
13,9,41,33.1994
13,9,8,40.0484
13,9,123,40.4517
13,9,124,48.3919
13,9,140,27.3674
13,9,147,1.3299
13,9,144,0.936
13,9,148,1.8713
13,9,154,1.185
13,9,159,4.185
13,9,146,4.7855
13,9,160,2.0467
13,9,156,4.0576
13,9,155,22.0984
13,9,163,20.8166
13,140,59,2.3315
13,140,62,26.9398
13,140,60,7.5655
13,140,7,8.6514
13,140,1,72.4649
13,140,70,18.4608
13,140,104,23.6991
13,140,9,27.3674
13,140,96,11.7382
13,140,92,14.279
13,140,151,0.5589
13,140,41,21.6236
13,140,72,1.6629
13,140,61,24.5896
13,140,142,0.9855
13,140,153,0.6872
13,140,123,24.9771
13,140,81,14.9212
13,140,156,2.7978
13,140,154,6.438
13,140,146,10.8492
13,140,155,14.9188
13,140,164,2.0762
13,140,159,9.0555
13,140,8,1.3991
13,140,124,11.6433
13,140,163,0.6247
13,140,167,18.4473
13,142,146,3.2442
13,142,147,3.3437
13,142,60,0.5969
13,142,62,1.8611
13,142,123,5.9626
13,142,81,23.3566
13,142,92,25.5074
13,142,155,21.3496
13,155,92,11.9226
13,155,123,9.9532
13,155,59,13.7728
13,155,1,5.0538
13,155,7,33.9379
13,155,124,34.6583
13,155,8,3.4049
13,155,41,35.4434
13,155,70,52.4875
13,155,160,3.5329
13,155,9,22.0984
13,155,61,10.9261
13,155,60,10.5784
13,155,81,5.6379
13,155,154,1.148
13,155,96,8.5524
13,155,62,38.4403
13,155,140,14.9188
13,155,164,1.107
13,155,167,7.4019
13,155,146,12.6415
13,155,104,10.4688
13,155,142,21.3496
13,155,163,10.6962
13,156,104,5.4841
13,156,60,5.884
13,156,41,35.6519
13,156,123,13.2596
13,156,163,7.7406
13,156,8,9.3598
13,156,92,16.9332
13,156,146,4.5199
13,159,160,3.0409
13,159,158,1.0903
13,159,70,1.506
13,159,123,9.3181
13,159,59,11.452
13,159,60,6.7104
13,159,81,12.068
13,159,140,7.5728
13,163,123,54.7207
13,163,61,16.9452
13,163,156,7.7406
13,163,124,1.8711
13,163,104,15.8549
13,163,96,10.3098
13,163,41,23.4368
13,163,9,20.8166
13,41,59,22.0036
13,41,81,11.1669
13,41,7,13.0795
13,41,70,17.9991
13,41,62,37.314
13,41,92,27.2892
13,41,104,19.061
13,41,8,13.9719
13,41,1,25.984
13,41,60,11.8899
13,41,9,33.1994
13,41,72,0.9931
13,41,61,22.6154
13,41,96,43.6775
13,41,123,63.468
13,41,124,16.3751
13,41,148,0.9744
13,41,140,21.6236
13,41,153,0.8549
13,41,154,1.029
13,41,142,7.7377
13,41,156,44.3532
13,41,160,3.039
13,41,155,35.4434
13,41,163,23.4368
13,41,167,11.334
13,59,9,24.2407
13,59,41,22.0036
13,59,61,28.0559
13,59,96,34.3886
13,59,7,25.9242
13,59,1,11.7022
13,59,62,0.991
13,59,104,12.9403
13,59,8,11.629
13,59,60,9.4259
13,59,81,19.6695
13,59,70,12.0173
13,59,123,38.3552
13,59,124,14.5061
13,59,140,2.3315
13,59,146,0.6649
13,59,136,0.6788
13,59,154,2.5934
13,59,160,3.2328
13,59,155,13.7728
13,59,159,11.452
13,59,164,1.107
13,59,167,1.107
13,59,163,6.803
13,61,59,27.1753
13,61,60,1.8433
13,61,72,1.8948
13,61,70,32.9112
13,61,8,0.5914
13,61,81,11.2617
13,61,104,24.8204
13,61,92,5.3184
13,61,7,7.6803
13,61,1,18.3339
13,61,41,9.9606
13,61,9,22.9378
13,61,123,32.9652
13,61,96,8.4616
13,61,124,28.8484
13,61,140,23.9169
13,61,147,1.2817
13,61,154,11.9746
13,61,155,18.1155
13,61,146,18.7598
13,61,163,16.9452
13,62,1,4.5064
13,62,104,13.1296
13,62,92,1.5552
13,62,96,12.2031
13,62,41,31.7008
13,62,7,8.1859
13,62,70,3.7626
13,62,59,0.991
13,62,72,0.7004
13,62,9,14.3092
13,62,60,3.2846
13,62,8,35.133
13,62,81,0.7099
13,62,123,2.2669
13,62,124,6.5904
13,62,140,8.4567
13,62,149,2.6242
13,62,148,1.0526
13,62,153,1.0991
13,62,154,1.2419
13,62,142,8.7453
13,62,146,3.6376
13,62,156,9.2703
13,62,160,1.114
13,62,155,29.5394
13,62,167,29.3826
13,70,92,18.7051
13,70,41,17.9991
13,70,61,36.5745
13,70,62,17.8288
13,70,104,8.8283
13,70,96,5.4507
13,70,7,33.5845
13,70,9,6.9438
13,70,81,11.6995
13,70,60,1.0351
13,70,8,31.2051
13,70,59,12.0173
13,70,1,43.4134
13,70,123,30.7764
13,70,124,20.7906
13,70,140,18.4608
13,70,147,1.1344
13,70,159,1.506
13,70,155,52.4875
13,70,142,14.9235
13,70,146,28.3104
13,70,156,22.6064
13,70,167,11.4366
13,70,164,17.6734
13,81,1,9.9264
13,81,7,10.1312
