seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
1337,1,0.005,115,100,5,0,3,0,0,0,7,110,5,107,8,56,59,110,2,3,15,2.0721
1337,2,0.005,73,66,4,0,3,0,0,0,0,73,0,73,0,37,36,69,2,2,7,1.764
1337,3,0.005,25,18,2,0,2,0,0,0,3,23,2,25,0,12,13,23,1,1,9,2.4213
1337,4,0.005,17,12,2,0,1,0,0,0,2,15,2,17,0,9,8,14,2,1,8,2.4922
1337,5,0.005,12,11,1,0,0,0,0,0,0,12,0,12,0,4,8,10,2,0,5,1.8962
1337,6,0.005,16,12,2,0,2,0,0,0,0,16,0,15,1,6,10,14,1,1,7,2.4056
1337,7,0.005,11,9,2,0,0,0,0,0,0,11,0,11,0,5,6,11,0,0,3,1.4949
1337,8,0.005,21,16,5,0,0,0,0,0,0,21,0,21,0,14,7,21,0,0,3,1.5452
1337,9,0.005,24,18,0,0,5,0,0,0,1,19,5,24,0,9,15,20,0,4,8,2.2987
1337,10,0.005,19,13,3,0,2,0,0,0,1,17,2,19,0,7,12,16,2,1,8,2.5423
1337,11,0.005,27,22,1,0,3,0,0,0,1,24,3,24,3,12,15,19,4,4,11,2.888
1337,12,0.005,14,9,1,0,4,0,0,0,0,13,1,14,0,5,9,14,0,0,6,2.217
1337,13,0.005,13,10,1,0,0,0,0,0,2,12,1,13,0,5,8,11,1,1,7,2.4416
1337,14,0.005,15,10,2,0,2,0,0,0,1,14,1,15,0,8,7,14,0,1,8,2.5996
1337,15,0.005,19,15,1,0,3,0,0,0,0,16,3,19,0,6,13,18,1,0,6,1.8885
1337,16,0.005,8,5,1,0,0,0,0,0,2,7,1,8,0,2,6,7,1,0,6,2.5
1337,17,0.005,13,11,0,0,0,0,0,0,2,11,2,11,2,6,7,12,1,0,4,1.7381
1337,18,0.005,14,10,1,0,3,0,0,0,0,11,3,14,0,8,6,12,2,0,6,2.2638
1337,19,0.005,18,12,3,0,2,0,0,0,1,15,3,15,3,7,11,15,1,2,8,2.5918
1337,20,0.005,10,10,0,0,0,0,0,0,0,10,0,10,0,4,6,8,0,2,4,1.6855
1337,21,0.005,8,5,2,0,0,0,0,0,1,7,1,8,0,5,3,8,0,0,4,1.9056
1337,22,0.005,6,4,1,0,0,0,0,0,1,5,1,6,0,4,2,5,1,0,4,1.9183
1337,23,0.005,16,10,2,0,3,0,0,0,1,13,3,16,0,7,9,14,2,0,8,2.6494
1337,24,0.005,16,14,0,0,2,0,0,0,0,14,2,14,2,8,8,12,2,2,5,2.1556
1337,25,0.005,19,14,1,0,1,0,0,0,3,16,3,17,2,12,7,16,2,1,8,2.5821
