seed,rate,window,J3,H3,tc3,drift3,none_ratio,weak_ratio,mid_strong_ratio,n_C
123,0.0,6,1.3474,1.9501,4,0.5583,0.5385,0.1538,0.3077,13
123,0.0,7,1.1882,1.4949,3,0.6933,0.5455,0.0,0.4545,11
123,0.0,8,1.3461,2.1887,5,0.4499,0.4167,0.1667,0.4167,12
123,0.0,9,0.5788,0.5665,2,0.8048,0.8667,0.0,0.1333,15
123,0.0,10,0.7326,1.6137,5,0.4114,0.7647,0.0588,0.1765,17
123,0.0,11,0.4109,1.6267,5,0.0767,0.7857,0.0714,0.1429,14
123,0.0,12,0.4113,1.6166,5,0.0871,0.75,0.1,0.15,20
123,0.0,13,0.107,0.8167,3,0.2903,0.8333,0.0833,0.0833,12
123,0.0,14,1.5519,2.1493,5,0.6951,0.4737,0.0526,0.4737,19
123,0.0,15,0.5224,0.9056,3,0.6168,0.8667,0.0,0.1333,15
123,0.0,16,0.3286,0.684,2,0.437,0.8182,0.1818,0.0,11
123,0.0,17,0.4157,1.4082,5,0.3,0.75,0.125,0.125,24
123,0.0,18,-0.1654,0.4972,3,0.3374,0.9583,0.0,0.0417,24
123,0.0,19,1.5687,2.2569,5,0.6043,0.5294,0.1765,0.2941,17
123,0.0,20,0.3297,0.5033,2,0.6189,0.8889,0.1111,0.0,9
123,0.0,21,0.6019,1.1488,3,0.4531,0.8571,0.0,0.1429,7
123,0.0,23,0.3422,1.1451,4,0.3581,0.8462,0.0769,0.0769,13
123,0.0,24,0.5774,1.5546,4,0.1838,0.6667,0.2,0.1333,15
123,0.0,25,0.1047,0.6402,3,0.4645,0.9412,0.0,0.0588,17
314,0.0,1,-0.2196,1.0729,5,,0.8519,0.0556,0.0926,108
314,0.0,2,-0.1025,0.8892,4,0.1692,0.8493,0.1233,0.0274,73
314,0.0,3,-0.1957,0.549,3,0.2553,0.9048,0.0476,0.0476,21
314,0.0,4,1.1228,1.961,5,0.4543,0.7,0.1,0.2,10
314,0.0,5,0.8214,1.75,4,0.2324,0.75,0.0,0.25,8
314,0.0,6,0.8148,0.9457,2,0.6616,0.6364,0.3636,0.0,11
314,0.0,7,-0.0404,-0.0,1,0.4596,1.0,0.0,0.0,8
314,0.0,11,0.0388,0.5665,2,0.2648,0.8667,0.1333,0.0,15
314,0.0,12,0.2786,0.8905,2,0.1806,0.6923,0.3077,0.0,13
314,0.0,13,0.2375,0.9612,2,0.0687,0.6154,0.3846,0.0,13
314,0.0,14,0.8806,1.6738,5,0.4993,0.75,0.0625,0.1875,16
314,0.0,15,0.3853,1.0409,3,0.3444,0.8333,0.0,0.1667,12
314,0.0,16,0.4817,0.9913,3,0.4904,0.7692,0.1538,0.0769,13
314,0.0,17,-0.1447,-0.0,1,0.3553,1.0,0.0,0.0,11
314,0.0,18,-0.0957,0.469,2,0.2278,0.9,0.1,0.0,10
314,0.0,19,1.6512,2.2464,5,0.6972,0.5,0.2,0.3,10
314,0.0,20,1.0624,1.5466,3,0.5158,0.7222,0.0,0.2778,18
314,0.0,21,0.7971,1.6267,5,0.4629,0.7143,0.1429,0.1429,14
314,0.0,22,0.1493,0.8031,3,0.3462,0.8889,0.0,0.1111,18
314,0.0,23,1.1624,1.9,4,0.4233,0.625,0.1667,0.2083,24
314,0.0,24,0.5689,0.8631,2,0.4983,0.7143,0.2857,0.0,14
314,0.0,25,1.1376,1.5,3,0.6376,0.75,0.0,0.25,4
456,0.0,1,-0.1289,1.1636,5,,0.8679,0.0283,0.1038,106
