N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
200,2024,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.8,2,2.0,True,4,4,"{""0"": 1, ""1"": 4, ""2"": 0, ""3"": 0, ""4"": 20}",0.0389,68.0,0.92,1.56,0.8577,18.9,25.0
200,314,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.88,4,4.0,True,4,4,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 22}",0.156,36.0,0.68,1.16,0.8787,19.7,25.3
200,42,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 23}",0.1233,44.0,0.88,1.72,0.8498,23.5,25.6
200,456,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.76,4,4.0,True,4,4,"{""0"": 3, ""1"": 2, ""2"": 0, ""3"": 1, ""4"": 19}",0.0538,68.0,0.68,1.24,0.8812,19.9,25.4
200,55,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.92,3,3.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.1888,28.0,0.6,1.68,0.9293,17.9,25.2
200,7,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.8,5,5.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 2, ""3"": 1, ""4"": 20}",0.1079,56.0,1.0,2.04,0.8635,21.0,25.0
200,789,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.72,7,7.0,True,4,4,"{""0"": 2, ""1"": 2, ""2"": 0, ""3"": 3, ""4"": 18}",0.0823,52.0,0.72,1.52,0.851,23.2,25.7
200,999,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.92,1,1.0,True,4,4,"{""0"": 0, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 23}",0.1075,44.0,0.76,1.76,0.8746,17.4,25.2
200,123,0.007,0.005,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",0.2668,4.0,0.8,1.64,0.8572,21.8,25.0
200,1337,0.007,0.005,5000,25,hyst_0.01,0.01,4,1.0,0,0.0,True,4,4,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 25}",0.1408,28.0,0.84,1.44,0.8845,19.8,25.2
