seed,window,lid,n_core,s_avg,r_core,rho,links_total,log10_pbirth,B,b_gen_old
0,58,341,2,0.009003,0.559914,0.000217,2717,-13.057,13.057,0.010082
0,58,342,2,0.194661,0.626151,0.000217,2717,-11.6736,11.6736,0.243774
0,58,343,2,0.009596,0.99813,0.000217,2717,-12.7783,12.7783,0.019155
0,59,344,3,0.298922,0.341193,0.00021,2620,-19.6584,19.6584,0.30597
0,59,345,2,0.100698,0.966616,0.00021,2620,-11.7871,11.7871,0.194673
0,59,347,2,0.086213,0.887262,0.00021,2620,-11.8917,11.8917,0.152987
0,59,348,2,0.1483,0.989444,0.00021,2620,-11.6088,11.6088,0.293469
0,59,350,2,0.032235,0.947205,0.00021,2620,-12.2906,12.2906,0.061066
0,61,352,4,0.429729,0.960498,0.000212,2647,-25.5903,25.5903,1.651016
0,62,353,5,0.336302,0.764811,0.000205,2565,-33.5246,33.5246,1.286037
0,62,354,4,0.405342,0.857311,0.000205,2565,-25.8555,25.8555,1.390016
0,62,356,2,0.15123,0.959928,0.000205,2565,-11.6227,11.6227,0.290339
0,62,358,2,0.091831,0.972179,0.000205,2565,-11.8338,11.8338,0.178552
0,62,361,2,0.125335,0.720127,0.000205,2565,-11.8291,11.8291,0.180514
0,62,362,2,0.137779,0.753515,0.000205,2565,-11.7683,11.7683,0.207637
0,62,363,2,0.042889,0.9077,0.000205,2565,-12.1943,12.1943,0.077861
0,62,364,2,0.055711,0.615849,0.000205,2565,-12.2491,12.2491,0.068619
0,62,365,2,0.043311,0.785518,0.000205,2565,-12.2528,12.2528,0.068043
0,63,368,5,0.348559,0.324317,0.000205,2560,-34.9561,34.9561,0.565218
0,63,371,2,0.074825,0.998554,0.000205,2560,-11.912,11.912,0.149434
0,63,367,5,0.452631,0.64467,0.000205,2560,-33.3088,33.3088,1.458988
0,64,372,5,0.284909,0.371262,0.000212,2648,-35.0129,35.0129,0.52888
0,64,375,2,0.196703,0.965927,0.000212,2648,-11.492,11.492,0.380001
0,64,376,2,0.008005,0.994604,0.000212,2648,-12.8697,12.8697,0.015923
