seed,window,phase,lid,n_core,s_avg,r_core,b_gen,phase_sig,links_total
0,32,tracking,182,2,0.007738,0.98227,0.015201,1.283047,2793
0,33,tracking,184,2,0.023678,0.978389,0.046332,3.129547,2722
0,33,tracking,186,2,0.012804,0.998224,0.025562,2.85564,2722
0,33,tracking,187,2,0.017948,0.989931,0.035534,2.652833,2722
0,33,tracking,183,4,0.377696,0.470999,0.711579,2.990603,2722
0,35,tracking,193,2,0.017007,0.906559,0.030835,-1.638733,2955
0,35,tracking,194,2,0.039013,0.988701,0.077144,-3.028036,2955
0,35,tracking,195,2,0.022615,0.977923,0.044231,2.890773,2955
0,35,tracking,188,4,0.375159,0.661584,0.992796,0.219044,2955
0,35,tracking,191,2,0.052254,0.821062,0.085808,-2.949982,2955
0,36,tracking,197,5,0.367683,0.509213,0.936144,-0.420455,2828
0,36,tracking,198,2,0.631758,0.990844,1.251946,2.61084,2828
0,36,tracking,199,2,0.631436,0.99871,1.261243,1.665423,2828
0,37,tracking,203,3,0.354615,0.993712,1.057154,1.995564,2793
0,38,tracking,205,4,0.272817,0.60412,0.659256,-1.131534,2808
0,38,tracking,206,2,0.029098,0.527147,0.030678,-0.473886,2808
0,38,tracking,207,2,0.082778,0.914629,0.151422,1.86852,2808
0,38,tracking,209,2,0.170216,0.979176,0.333342,-0.454879,2808
0,38,tracking,210,2,0.042775,0.852714,0.07295,2.394673,2808
0,38,tracking,211,2,0.180541,0.999882,0.36104,-0.653472,2808
0,38,tracking,212,2,0.172454,0.995226,0.343261,2.264058,2808
0,38,tracking,213,2,0.021309,0.937433,0.039952,2.120829,2808
0,38,tracking,214,2,0.017745,0.574566,0.020391,1.518736,2808
0,38,tracking,216,2,0.25567,0.903687,0.462091,2.80421,2808
0,38,tracking,218,2,0.232754,0.938147,0.436714,1.803126,2808
0,38,tracking,220,2,0.106774,0.912559,0.194875,1.414244,2808
0,38,tracking,221,2,0.162548,0.923976,0.300381,-0.761293,2808
0,39,tracking,222,3,0.388089,0.833407,0.97031,2.753224,2807
0,40,tracking,225,2,0.040156,0.989771,0.079491,-0.083147,2838
0,40,tracking,227,2,0.042548,0.948418,0.080706,-3.084339,2838
0,40,tracking,229,2,0.035779,0.99981,0.071544,2.850977,2838
0,40,tracking,230,2,0.08859,0.945493,0.167523,0.40046,2838
0,40,tracking,232,2,0.11303,0.992001,0.224251,-3.115989,2838
0,41,tracking,233,2,0.311671,0.996875,0.621395,-2.024406,2806
0,41,tracking,234,2,0.081061,0.981914,0.15919,-1.911781,2806
0,41,tracking,235,2,0.010148,0.911878,0.018507,-0.365412,2806
0,41,tracking,238,2,0.156925,0.995,0.31228,3.080959,2806
0,41,tracking,240,2,0.011123,0.956704,0.021284,0.368066,2806
0,42,tracking,241,4,0.335024,0.615051,0.824228,-3.114147,2704
0,42,tracking,245,2,0.027284,0.951277,0.051909,-2.921095,2704
0,42,tracking,246,2,0.04801,0.986823,0.094755,2.268675,2704
0,42,tracking,248,2,0.046076,0.87497,0.08063,1.790048,2704
0,42,tracking,249,2,0.018315,0.975028,0.035716,0.595653,2704
0,42,tracking,250,2,0.080746,0.914479,0.147681,1.876333,2704
0,43,tracking,251,4,0.280923,0.627511,0.705129,1.388298,2803
0,43,tracking,252,2,0.079209,0.994347,0.157522,-2.928129,2803
0,43,tracking,253,2,0.04205,0.887586,0.074645,1.131656,2803
0,43,tracking,254,2,0.195299,0.990963,0.387069,0.768427,2803
0,44,tracking,257,3,0.459534,0.97343,1.341974,1.705297,2735
0,44,tracking,258,5,0.298287,0.687858,1.025896,1.417678,2735
0,44,tracking,259,2,0.024703,0.999829,0.049397,2.828123,2735
0,44,tracking,260,2,0.041337,0.947805,0.078359,1.278535,2735
0,44,tracking,263,2,0.099155,0.902849,0.179045,0.49888,2735
0,45,tracking,264,4,0.298972,0.857476,1.025445,-2.834897,2742
0,45,tracking,267,2,0.016467,0.999998,0.032935,1.433005,2742
0,45,tracking,270,2,0.032064,0.989034,0.063425,-2.808158,2742
0,45,tracking,271,2,0.146851,0.969651,0.284789,-1.951045,2742
0,45,tracking,272,2,0.0169,0.986586,0.033347,2.019183,2742
0,45,tracking,273,2,0.141725,0.999824,0.283399,1.44314,2742
0,45,tracking,274,2,0.137929,0.983246,0.271236,1.27715,2742
0,46,tracking,276,5,0.372218,0.719689,1.339406,2.11089,2721
0,46,tracking,277,3,0.338904,0.353131,0.359032,-1.13236,2721
0,47,tracking,278,5,0.285016,0.79031,1.126256,-1.687629,2588
0,47,tracking,279,3,0.228625,0.994466,0.682078,-0.369393,2588
0,47,tracking,280,3,0.431296,0.914592,1.18338,1.129979,2588
0,47,tracking,281,2,0.019715,0.929901,0.036666,1.028642,2588
0,47,tracking,284,2,0.026415,0.964288,0.050943,-0.906349,2588
0,47,tracking,287,2,0.07194,0.868699,0.124988,0.888511,2588
0,48,tracking,289,2,0.046955,0.846404,0.079485,1.198628,2700
0,48,tracking,290,2,0.023644,0.934343,0.044184,0.257084,2700
0,48,tracking,291,2,0.031046,0.575062,0.035707,-1.846099,2700
0,50,tracking,296,2,0.542162,0.293817,0.318593,1.651832,2601
0,52,tracking,297,4,0.301702,0.475467,0.573797,2.749171,2642
0,52,tracking,298,4,0.304788,0.928601,1.132107,-1.644101,2642
0,52,tracking,301,2,0.045272,0.997532,0.09032,-1.920572,2642
0,52,tracking,302,2,0.203659,0.956926,0.389774,-1.358223,2642
0,52,tracking,303,2,0.084555,0.999952,0.169102,-1.83942,2642
0,52,tracking,304,2,0.012602,0.313326,0.007897,-2.922175,2642
0,53,tracking,305,2,0.028193,0.999909,0.056381,2.469566,2778
0,53,tracking,306,2,0.013012,0.947495,0.024658,-0.640178,2778
0,53,tracking,310,2,0.172278,0.999306,0.344317,1.221846,2778
0,53,tracking,311,2,0.008593,0.99383,0.01708,2.369879,2778
0,54,tracking,314,2,0.024937,0.992568,0.049504,1.483604,2615
0,54,tracking,317,2,0.020531,0.865307,0.035532,3.041321,2615
0,54,tracking,318,2,0.011693,0.399482,0.009342,1.333009,2615
0,54,tracking,319,2,0.05993,0.948969,0.113743,1.034848,2615
0,55,tracking,320,2,0.148207,0.939841,0.278583,-1.2836,2623
0,55,tracking,321,2,0.174456,0.936101,0.326617,0.729507,2623
0,55,tracking,324,2,0.05518,0.962583,0.106231,1.373952,2623
0,57,tracking,325,5,0.274034,0.374973,0.513777,0.031652,2633
0,57,tracking,326,4,0.344118,0.751898,1.034966,2.029626,2633
0,57,tracking,327,2,0.167296,0.801792,0.268273,2.092657,2633
0,57,tracking,328,2,0.061311,0.965823,0.118431,1.183306,2633
0,57,tracking,329,2,0.092073,0.802505,0.147778,-0.964909,2633
0,57,tracking,330,2,0.19809,0.894439,0.354358,3.121697,2633
0,57,tracking,331,2,0.135916,0.998467,0.271415,2.703422,2633
0,57,tracking,333,2,0.238083,0.999882,0.47611,2.756471,2633
0,57,tracking,334,2,0.115891,0.821023,0.190298,0.279292,2633
0,57,tracking,335,2,0.086383,0.764152,0.13202,-2.307625,2633
0,58,tracking,336,4,0.252253,0.698475,0.704771,-1.659084,2717
0,58,tracking,339,2,0.013068,0.898221,0.023476,2.900649,2717
0,58,tracking,341,2,0.009003,0.559914,0.010082,1.456547,2717
0,58,tracking,342,2,0.194661,0.626151,0.243774,0.039401,2717
0,58,tracking,343,2,0.009596,0.99813,0.019155,-2.869506,2717
0,59,tracking,344,3,0.298922,0.341193,0.30597,-1.818897,2620
0,59,tracking,345,2,0.100698,0.966616,0.194673,-1.7258,2620
0,59,tracking,347,2,0.086213,0.887262,0.152987,1.051726,2620
0,59,tracking,348,2,0.1483,0.989444,0.293469,-2.054984,2620
