seed,window,step,global_k,global_n_C,r0_k,r0_n_C,r0_none,r0_valid,r0_switch,r1_k,r1_n_C,r1_none,r1_valid,r1_switch,r2_k,r2_n_C,r2_none,r2_valid,r2_switch,r3_k,r3_n_C,r3_none,r3_valid,r3_switch,divergence_flag
456,1,500,0,2669,0,701,1.0,True,0,0,667,1.0,True,0,0,670,1.0,True,0,0,631,1.0,True,0,0
456,2,700,0,796,4,222,1.0,True,1,4,186,1.0,True,1,0,196,0.9898,True,0,0,192,0.9948,True,0,1
456,3,900,3,109,4,24,1.0,True,0,4,22,1.0,True,0,3,33,1.0,True,1,3,30,1.0,True,1,1
456,4,1100,3,34,4,7,1.0,True,0,4,9,0.8889,True,0,3,10,1.0,True,0,3,8,0.75,True,0,1
456,5,1300,3,33,4,10,1.0,True,0,4,6,1.0,True,0,3,7,1.0,True,0,3,10,0.8,True,0,1
456,6,1500,3,46,4,14,1.0,True,0,4,9,1.0,True,0,4,9,0.7778,True,1,3,14,0.7857,True,0,1
456,7,1700,3,52,4,10,0.9,True,0,4,12,1.0,True,0,4,18,1.0,True,0,4,12,0.9167,True,1,1
456,8,1900,4,31,4,8,1.0,True,0,4,8,1.0,True,0,4,10,1.0,True,0,4,5,1.0,True,0,0
456,9,2100,4,33,4,8,1.0,True,0,4,9,0.8889,True,0,4,9,0.8889,True,0,4,7,1.0,True,0,0
456,10,2300,4,32,4,10,1.0,True,0,4,8,1.0,True,0,4,4,1.0,False,0,4,10,1.0,True,0,0
456,11,2500,1,38,4,5,1.0,True,0,4,13,0.9231,True,0,4,11,0.9091,True,0,4,9,1.0,True,0,1
456,12,2700,4,23,4,6,0.6667,True,0,4,9,1.0,True,0,4,4,1.0,False,0,4,4,0.5,False,0,0
456,13,2900,4,39,4,12,0.9167,True,0,4,10,1.0,True,0,4,11,0.9091,True,0,4,6,0.8333,True,0,0
456,14,3100,4,36,4,7,1.0,True,0,4,9,0.8889,True,0,4,11,1.0,True,0,4,9,0.8889,True,0,0
456,15,3300,4,37,4,5,1.0,True,0,4,13,0.8462,True,0,4,8,0.875,True,0,4,11,0.8182,True,0,0
456,16,3500,1,43,4,10,1.0,True,0,4,12,1.0,True,0,4,7,0.8571,True,0,4,14,0.9286,True,0,1
456,17,3700,4,47,4,14,0.8571,True,0,4,7,0.7143,True,0,4,16,0.875,True,0,4,10,1.0,True,0,0
456,18,3900,1,51,4,17,0.7059,True,0,4,4,1.0,False,0,4,15,1.0,True,0,4,15,1.0,True,0,1
456,19,4100,4,45,4,13,1.0,True,0,4,6,0.6667,True,0,4,17,0.8824,True,0,4,9,0.7778,True,0,0
456,20,4300,4,40,4,6,0.8333,True,0,4,13,0.8462,True,0,4,14,1.0,True,0,4,7,0.8571,True,0,0
456,21,4500,4,31,4,4,1.0,False,0,4,10,1.0,True,0,4,8,1.0,True,0,4,9,0.7778,True,0,0
456,22,4700,4,30,4,6,1.0,True,0,4,9,1.0,True,0,4,7,0.8571,True,0,4,8,0.75,True,0,0
456,23,4900,1,25,4,5,0.6,True,0,4,4,1.0,False,0,4,9,1.0,True,0,4,7,0.8571,True,0,1
456,24,5100,1,27,4,9,1.0,True,0,4,4,1.0,False,0,4,6,1.0,True,0,4,8,1.0,True,0,1
456,25,5300,0,25,4,7,1.0,True,0,4,5,1.0,True,0,4,3,1.0,False,0,4,10,1.0,True,0,1
