seed,cid,n_core,b_gen,pulse_n,t,window,delta,d_n,d_s,d_r,d_phase,p_capture,captured,n_local,s_avg_local,r_local,theta_avg_local
3,133,5,34.4537,4,3183,26,0.3123,0.244186,0.235144,0.335187,0.434683,0.384402,0,26,0.025551,0.181695,1.557483
3,133,5,34.4537,5,3233,26,0.29657,0.197674,0.23133,0.223011,0.534264,0.401231,0,22,0.029364,0.293871,1.24464
3,133,5,34.4537,6,3283,26,0.485677,0.883721,0.222529,0.396056,0.440403,0.239705,0,81,0.038165,0.120826,-1.976536
3,133,5,34.4537,7,3333,26,0.416805,0.011628,0.24567,0.432864,0.97706,0.289171,0,6,0.015025,0.949746,-0.29058
3,133,5,34.4537,8,3383,26,0.342621,0.046512,0.218477,0.400385,0.705109,0.353929,0,9,0.042217,0.116496,-1.14494
3,133,5,34.4537,9,3433,26,0.354347,0.488372,0.230356,0.344516,0.354145,0.342802,1,47,0.030338,0.172366,1.810503
3,133,5,34.4537,10,3483,26,0.345267,0.116279,0.241301,0.175027,0.848461,0.351387,0,15,0.019393,0.341854,0.257561
3,133,5,34.4537,11,3533,27,0.388336,0.5,0.237323,0.450211,0.36581,0.312488,1,48,0.023371,0.066671,1.773856
3,133,5,34.4537,12,3583,27,0.508425,0.488372,0.228978,0.446485,0.869866,0.225302,0,47,0.031716,0.070397,0.190316
3,133,5,34.4537,13,3633,27,0.475756,0.593023,0.235092,0.320398,0.754511,0.246272,0,56,0.025602,0.196484,-0.989739
3,133,5,34.4537,14,3683,27,0.36303,0.139535,0.232671,0.135693,0.944219,0.33479,0,17,0.028023,0.381188,-0.393752
3,133,5,34.4537,15,3733,27,0.417556,0.569767,0.230585,0.332199,0.537672,0.28858,0,54,0.030109,0.184683,-1.670959
3,133,5,34.4537,16,3783,27,0.3286,0.534884,0.231195,0.374831,0.17349,0.367708,0,51,0.029499,0.142051,-2.815069
3,133,5,34.4537,17,3833,27,0.523428,0.953488,0.228978,0.413203,0.498043,0.216281,0,87,0.031717,0.103679,-1.795456
3,133,5,34.4537,18,3883,27,0.52699,0.651163,0.226478,0.339644,0.890674,0.214192,1,61,0.034216,0.177238,0.124946
3,133,5,34.4537,19,3933,27,0.635171,1.05814,0.234015,0.418166,0.830366,0.159523,0,96,0.026679,0.098716,0.314411
3,133,5,34.4537,20,3983,27,0.526676,0.77907,0.233904,0.384775,0.708957,0.214375,0,72,0.02679,0.132107,0.695827
3,133,5,34.4537,21,4033,28,0.530788,0.674419,0.233326,0.435544,0.779862,0.211988,0,63,0.027368,0.081337,-0.910095
3,133,5,34.4537,22,4083,28,0.438689,0.44186,0.232943,0.239466,0.840487,0.272437,0,43,0.027751,0.277416,-0.719636
3,133,5,34.4537,23,4133,28,0.435263,0.55814,0.224817,0.323159,0.634936,0.274991,0,53,0.035877,0.193723,0.928372
3,133,5,34.4537,24,4183,28,0.361949,0.325581,0.233037,0.329103,0.560074,0.335777,1,33,0.027657,0.187779,-1.60058
3,133,5,34.4537,25,4233,28,0.275718,0.360465,0.228741,0.253709,0.259958,0.424681,1,36,0.031954,0.263172,-2.543422
3,133,5,34.4537,26,4283,28,0.351181,0.674419,0.235648,0.257384,0.237272,0.345772,0,63,0.025046,0.259498,2.177668
3,133,5,34.4537,27,4333,28,0.294548,0.034884,0.218441,0.145548,0.779318,0.403448,0,8,0.042253,0.66243,0.474781
3,133,5,34.4537,28,4383,28,0.244676,0.325581,0.237468,0.094962,0.320693,0.462153,1,33,0.023226,0.611844,1.915594
3,133,5,34.4537,29,4433,28,0.553366,1.046512,0.231546,0.271833,0.663573,0.199343,0,95,0.029148,0.245048,0.838405
3,133,5,34.4537,30,4483,28,0.690353,1.337209,0.232091,0.404738,0.787373,0.13726,0,120,0.028603,0.112144,-0.8865
3,133,5,34.4537,31,4533,29,0.556315,0.581395,0.232895,0.417099,0.993872,0.197748,0,55,0.027799,0.099783,-0.199261
3,133,5,34.4537,32,4583,29,0.241293,0.406977,0.237927,0.230891,0.089378,0.466432,0,40,0.022767,0.285991,2.642292
3,133,5,34.4537,33,4633,29,0.447472,0.395349,0.234327,0.260478,0.899736,0.265996,0,39,0.026367,0.256404,0.096478
3,133,5,34.4537,34,4683,29,0.232321,0.139535,0.236958,0.345953,0.206839,0.477972,1,17,0.023737,0.170929,2.273276
3,133,5,34.4537,35,4733,29,0.463766,0.465116,0.23518,0.344445,0.810324,0.254448,1,45,0.025515,0.172436,0.377373
3,133,5,34.4537,36,4783,29,0.293313,0.27907,0.231856,0.33034,0.331985,0.404807,1,29,0.028838,0.186541,-2.317142
3,133,5,34.4537,37,4833,29,0.179582,0.313953,0.241258,0.116837,0.046278,0.551816,1,32,0.019437,0.400045,2.777694
3,133,5,34.4537,38,4883,29,0.512283,0.534884,0.23187,0.28429,0.998087,0.222948,0,51,0.028825,0.232592,-0.224521
3,133,5,34.4537,39,4933,29,0.436432,0.627907,0.235167,0.22096,0.661696,0.274116,0,59,0.025527,0.295922,0.8443
3,133,5,34.4537,40,4983,29,0.191888,0.116279,0.227273,0.391124,0.032875,0.533625,1,15,0.033422,0.125758,3.02636
3,133,5,34.4537,41,5033,30,0.292742,0.22093,0.226432,0.275946,0.447661,0.405437,0,24,0.034262,0.240936,1.516713
3,133,5,34.4537,42,5083,30,0.309659,0.267442,0.23164,0.370741,0.368813,0.387178,0,28,0.029054,0.146141,-2.201444
3,133,5,34.4537,43,5133,30,0.224961,0.186047,0.229781,0.30297,0.181046,0.487652,0,21,0.030914,0.213912,-2.791331
3,133,5,34.4537,44,5183,30,0.27537,0.127907,0.230699,0.091374,0.651501,0.425084,0,16,0.029995,0.425508,-1.313352
