seed,cid,n_core,b_gen,pulse_n,t,window,delta,d_n,d_s,d_r,d_phase,p_capture,captured,n_local,s_avg_local,r_local,theta_avg_local
2,34,5,33.9679,4,184,20,0.287501,0.023256,0.241531,0.067347,0.817871,0.411266,0,7,0.020667,0.585945,-2.203233
2,34,5,33.9679,5,234,20,0.30322,0.348837,0.232787,0.364302,0.266954,0.394028,1,35,0.029412,0.28899,1.204846
2,34,5,33.9679,6,284,20,0.318908,0.255814,0.214171,0.545131,0.260515,0.377545,1,27,0.048027,0.108161,1.184615
2,34,5,33.9679,7,334,20,0.27193,0.093023,0.227215,0.429888,0.337596,0.429086,1,13,0.034984,0.223405,1.426772
2,34,5,33.9679,8,384,20,0.391052,0.244186,0.239372,0.366244,0.714407,0.310185,1,26,0.022826,0.287048,2.610561
2,34,5,33.9679,9,434,20,0.300393,0.174419,0.23105,0.401928,0.394173,0.397075,0,20,0.031148,0.251364,-0.872148
2,34,5,33.9679,10,484,20,0.485518,0.755814,0.235608,0.461077,0.489572,0.239809,0,70,0.026591,0.192216,-1.171852
2,34,5,33.9679,11,534,21,0.484229,0.244186,0.235471,0.517127,0.94013,0.240653,0,26,0.026728,0.136165,-2.58732
2,34,5,33.9679,12,584,21,0.247077,0.093023,0.228398,0.153307,0.513582,0.45914,0,13,0.033801,0.499985,-1.24728
2,34,5,33.9679,13,634,21,0.509862,0.848837,0.237165,0.58466,0.368784,0.224423,1,78,0.025034,0.068632,-0.792386
2,34,5,33.9679,14,684,21,0.408331,0.337209,0.235609,0.633932,0.426572,0.295924,1,34,0.026589,0.01936,-0.973931
2,34,5,33.9679,15,734,21,0.406694,0.255814,0.236776,0.462329,0.671858,0.297246,0,27,0.025422,0.190963,2.476887
2,34,5,33.9679,16,784,21,0.225777,0.174419,0.236806,0.189361,0.302521,0.486569,0,20,0.025393,0.463932,-0.584214
2,34,5,33.9679,17,834,21,0.338492,0.127907,0.232731,0.463612,0.529717,0.357932,1,16,0.029467,0.189681,-1.297973
2,34,5,33.9679,18,884,21,0.418376,0.104651,0.236242,0.333554,0.999058,0.287936,0,14,0.025956,0.319739,-2.77245
2,34,5,33.9679,19,934,21,0.263106,0.267442,0.234738,0.312125,0.238119,0.439525,1,28,0.027461,0.341168,1.114256
2,34,5,33.9679,20,984,21,0.112829,0.151163,0.241876,0.015362,0.042916,0.661856,1,18,0.020322,0.668654,0.23136
