seed,cid,n_core,b_gen,pulse_n,t,window,delta,d_n,d_s,d_r,d_phase,p_capture,captured,n_local,s_avg_local,r_local,theta_avg_local
1,76,5,34.8861,4,176,20,0.388773,0.709302,0.344975,0.214393,0.28642,0.312117,0,66,0.032943,0.062618,-0.74942
1,76,5,34.8861,5,226,20,0.456113,0.5,0.352225,0.122175,0.850054,0.259808,0,48,0.025694,0.154836,1.963429
1,76,5,34.8861,6,276,20,0.287206,0.651163,0.34857,0.126871,0.022218,0.411598,0,61,0.029349,0.15014,-1.719035
1,76,5,34.8861,7,326,20,0.527987,0.72093,0.352055,0.137853,0.901108,0.213611,0,67,0.025864,0.139158,1.803036
1,76,5,34.8861,8,376,20,0.416036,0.732558,0.354275,0.27144,0.305873,0.289777,0,68,0.023644,0.005571,-0.688305
1,76,5,34.8861,9,426,20,0.524452,0.848837,0.346602,0.240847,0.66152,0.215678,0,78,0.031317,0.036164,0.428994
1,76,5,34.8861,10,476,20,0.34972,0.209302,0.350725,0.011912,0.826941,0.34715,0,23,0.027194,0.265099,2.03604
1,76,5,34.8861,11,526,21,0.255782,0.44186,0.348214,0.067668,0.165386,0.448381,0,43,0.029704,0.209343,-2.16881
1,76,5,34.8861,12,576,21,0.453848,1.05814,0.346221,0.083806,0.327224,0.261416,1,96,0.031698,0.193206,-2.677238
1,76,5,34.8861,13,626,21,0.499933,0.825581,0.350278,0.068124,0.755748,0.230575,0,76,0.027641,0.208888,2.259698
1,76,5,34.8861,14,676,21,0.539312,0.813953,0.350619,0.184535,0.80814,0.207122,0,75,0.027299,0.092476,0.889611
1,76,5,34.8861,15,726,21,0.301116,0.337209,0.350763,0.16629,0.350199,0.396294,1,34,0.027156,0.110721,-0.549051
1,76,5,34.8861,16,776,21,0.575578,0.988372,0.350708,0.061439,0.901794,0.187639,0,90,0.027211,0.215572,1.183835
1,76,5,34.8861,17,826,21,0.202499,0.174419,0.349207,0.136065,0.150304,0.518421,0,20,0.028712,0.140946,-1.177039
1,76,5,34.8861,18,876,21,0.387645,0.511628,0.351787,0.176417,0.510748,0.313077,0,49,0.026132,0.100594,-0.044673
1,76,5,34.8861,19,926,21,0.278052,0.465116,0.348907,0.220821,0.077366,0.421989,0,45,0.029012,0.05619,-1.892286
1,76,5,34.8861,20,976,21,0.333442,0.465116,0.356899,0.046202,0.465549,0.36289,0,45,0.02102,0.230809,-3.111801
1,76,5,34.8861,21,1026,22,0.45861,0.488372,0.351243,0.123593,0.871233,0.258047,0,47,0.026676,0.153418,1.087825
1,76,5,34.8861,22,1076,22,0.261794,0.27907,0.352692,0.011668,0.403747,0.441098,0,29,0.025226,0.28868,-2.917644
1,76,5,34.8861,23,1126,22,0.370904,0.104651,0.28935,0.292827,0.796789,0.327684,1,14,0.088569,0.569839,2.130764
1,76,5,34.8861,24,1176,22,0.532472,0.813953,0.351692,0.076305,0.887939,0.211017,0,75,0.026227,0.200706,1.84441
1,76,5,34.8861,25,1226,22,0.410636,0.348837,0.356353,0.103782,0.833572,0.294071,0,35,0.021566,0.173229,2.015209
1,76,5,34.8861,26,1276,22,0.52219,1.267442,0.353129,0.196798,0.27139,0.217011,0,114,0.02479,0.080213,-0.796637
1,76,5,34.8861,27,1326,22,0.463328,0.546512,0.350481,0.179096,0.777225,0.254751,0,52,0.027437,0.097915,0.792489
1,76,5,34.8861,28,1376,22,0.166428,0.139535,0.353702,0.026108,0.146365,0.571947,1,17,0.024217,0.250903,-1.189414
1,76,5,34.8861,29,1426,22,0.302059,0.162791,0.360116,0.050538,0.634791,0.395277,1,19,0.017803,0.226473,0.345022
