seed,cid,n_core,b_gen,pulse_n,t,window,delta,d_n,d_s,d_r,d_phase,p_capture,captured,n_local,s_avg_local,r_local,theta_avg_local
3,101,5,36.2354,4,151,20,0.35366,0.790698,0.203589,0.087807,0.332548,0.343444,0,73,0.027768,0.29448,3.128583
3,101,5,36.2354,5,201,20,0.433722,0.476744,0.205318,0.100318,0.952509,0.276148,0,46,0.026038,0.106355,1.180919
3,101,5,36.2354,6,251,20,0.378936,0.918605,0.206243,0.048092,0.342803,0.320594,0,84,0.025113,0.158581,-1.032926
3,101,5,36.2354,7,301,20,0.390366,0.55814,0.201278,0.141423,0.660625,0.310765,0,53,0.030079,0.06525,-0.034456
3,101,5,36.2354,8,351,20,0.540159,1.069767,0.204396,0.003645,0.882828,0.206645,0,97,0.02696,0.210318,1.399827
3,101,5,36.2354,9,401,20,0.520442,0.965116,0.194993,0.077907,0.84375,0.218047,0,88,0.036363,0.128765,1.522593
3,101,5,36.2354,10,451,20,0.406519,0.395349,0.203894,0.174704,0.852129,0.297388,0,39,0.027462,0.031969,1.496272
3,101,5,36.2354,11,501,21,0.274476,0.383721,0.198951,0.156331,0.358902,0.42612,0,38,0.032405,0.363004,-0.982348
3,101,5,36.2354,12,551,21,0.210094,0.127907,0.197282,0.040221,0.474967,0.507805,1,16,0.034074,0.246894,2.681159
3,101,5,36.2354,13,601,21,0.427256,0.476744,0.196282,0.134311,0.901687,0.281055,1,46,0.035075,0.072361,0.722861
3,101,5,36.2354,14,651,21,0.297205,0.313953,0.205079,0.007771,0.662017,0.400538,1,32,0.026277,0.214443,-0.030086
3,101,5,36.2354,15,701,21,0.292157,0.360465,0.203348,0.028168,0.576646,0.406084,1,36,0.028008,0.23484,2.361726
3,101,5,36.2354,16,751,21,0.235797,0.44186,0.200942,0.193017,0.107366,0.473468,0,43,0.030414,0.39969,-1.772571
3,101,5,36.2354,17,801,21,0.488241,1.0,0.202425,0.041388,0.709153,0.238037,0,91,0.028932,0.165285,0.117998
3,101,5,36.2354,18,851,21,0.423343,1.069767,0.199132,0.015938,0.408533,0.284067,1,97,0.032224,0.190735,-0.826428
3,101,5,36.2354,19,901,21,0.329126,0.686047,0.200671,0.113869,0.315919,0.367181,0,64,0.030686,0.092804,-3.10236
3,101,5,36.2354,20,951,21,0.246838,0.453488,0.198938,0.106718,0.228205,0.45944,0,44,0.032418,0.099954,-1.392944
3,101,5,36.2354,21,1001,22,0.12136,0.174419,0.199395,0.005633,0.105995,0.646652,1,20,0.031961,0.201039,-2.442864
3,101,5,36.2354,22,1051,22,0.236072,0.5,0.205756,0.081215,0.157316,0.473114,1,48,0.0256,0.287887,-1.615651
3,101,5,36.2354,23,1101,22,0.384726,0.081395,0.18821,0.381447,0.887853,0.315576,1,12,0.043147,0.588119,1.38404
3,101,5,36.2354,24,1151,22,0.142724,0.232558,0.204549,0.099112,0.034675,0.610096,0,25,0.026807,0.305785,-2.000938
3,101,5,36.2354,25,1201,22,0.465583,1.081395,0.199855,0.130361,0.45072,0.253192,0,98,0.031501,0.076312,2.757333
3,101,5,36.2354,26,1251,22,0.541486,1.139535,0.204489,0.08834,0.733581,0.205899,0,103,0.026868,0.118333,1.8687
3,101,5,36.2354,27,1301,22,0.271551,0.290698,0.203761,0.010294,0.581449,0.42953,0,30,0.027595,0.196378,-0.283196
3,101,5,36.2354,28,1351,22,0.231753,0.290698,0.203902,0.023293,0.409121,0.478712,0,30,0.027454,0.18338,-0.824581
3,101,5,36.2354,29,1401,22,0.302753,0.523256,0.199705,0.12271,0.365342,0.39453,0,50,0.031652,0.083962,3.025557
3,101,5,36.2354,30,1451,22,0.468731,0.790698,0.206627,0.118612,0.758987,0.25103,0,73,0.024729,0.088061,0.274557
3,101,5,36.2354,31,1501,23,0.381559,0.465116,0.206087,0.052206,0.802827,0.318311,0,45,0.025269,0.258879,1.651157
3,101,5,36.2354,32,1551,23,0.373675,0.395349,0.198065,0.025216,0.876071,0.325221,0,39,0.033292,0.231889,1.421056
3,101,5,36.2354,33,1601,23,0.170177,0.0,0.231356,0.009285,0.440068,0.566135,1,5,0.0,0.197387,-0.727359
