window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
63,4983,3144,1,5,3,1.9928,2,12.6,3131,0,4.49,1.0204,3081.2,13,1.0,32,4,3,609,0.003132,0.07,63.1579,62,30.1,0.04,0.0139,1,0,0,0,0.1,0.015625,28,0.8438,2.7795,0.4404,0,0,0
64,4982,3136,0,0,3,1.9904,2,12.5,3136,0,4.5,1.0161,3086.4,0,1.0,31,0,1,590,0.002781,0.0663,0.0,63,32.0,0.032,0.0115,0,0,0,0,0.077348,0.015625,27,0.798,2.8126,0.4412,0,0,0
65,4982,3043,0,0,3,1.9981,1,12.5,0,3043,4.37,0.9873,3082.3,0,1.0,29,0,2,585,0.002411,0.0608,0.0,64,35.1,0.0352,0.0151,0,0,0,0,0.108108,0.015625,27,0.8555,2.8667,0.4434,0,0,0
66,4981,3065,3,5,3,1.9737,1,12.9,4,3056,4.42,0.9949,3080.6,9,1.0,31,3,1,614,0.002757,0.0678,51.1364,65,33.6,0.0335,0.0128,1,0,0,0,0.084746,0.015625,28,0.8156,2.9345,0.4446,0,0,0
67,4981,3048,0,0,3,1.9837,1,12.4,1,3047,4.41,0.9904,3077.5,1,1.0,31,1,1,612,0.003143,0.0701,0.0,66,34.6,0.0369,0.016,0,0,0,0,0.070064,0.015625,28,0.777,2.96,0.4451,0,0,0
68,4981,3073,2,5,3,1.9888,1,12.7,8,3065,4.45,0.9987,3077.1,8,1.0,30,2,3,641,0.002739,0.0722,45.1977,67,35.8,0.0375,0.0142,1,0,0,0,0.1,0.015625,28,0.8438,2.9933,0.4467,0,0,0
69,4980,3122,0,0,3,1.9372,1,13.3,3119,0,4.47,1.0132,3081.4,3,1.0,30,0,0,593,0.003037,0.0761,16.6667,68,36.8,0.037,0.0145,0,0,0,0,0.130435,0.015625,26,0.8802,3.0205,0.4483,0,0,0
70,4979,3119,1,5,3,1.9571,1,13.0,3111,0,4.5,1.011,3084.9,8,1.0,31,1,0,615,0.002979,0.067,45.4545,69,36.6,0.0355,0.0119,1,0,0,0,0.089385,0.015625,26,0.8252,3.0484,0.4505,0,0,0
71,4979,3108,2,5,3,1.9387,1,13.1,3095,0,4.5,1.0068,3087.1,13,1.0,32,2,1,654,0.002729,0.0691,70.6522,70,36.3,0.0337,0.0147,2,1,0,0,0.095745,0.015625,28,0.8368,3.059,0.4511,0,0,0
72,4979,3011,4,5,1,1.974,2,12.5,10,2996,4.4,0.9776,3079.9,15,1.0,36,4,0,696,0.003039,0.0556,77.3196,71,33.2,0.0314,0.0125,1,0,0,0,0.090909,0.015625,28,0.8281,3.1146,0.4517,0,0,0
