window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
84,4855,3076,1,5,3,1.9778,2,15.2,8,3063,4.59,0.9929,3098.1,13,1.0,61,4,2,1138,0.001717,0.0306,37.464,83,46.1,0.0177,0.0064,1,0,0,0,0.089136,0.015625,40,0.8247,4.5259,0.4351,22,3,36,763,1256,512,0.0011,0.9989,514.3,4.0,0.0543,0.005571,0.009402,0.5925,1.2037,0
85,4854,3054,1,3,3,1.9785,2,15.0,3,3041,4.56,0.9871,3093.9,13,1.0,61,4,4,1137,0.001395,0.0417,40.2477,84,46.3,0.0185,0.0077,0,1,0,0,0.095238,0.015625,41,0.8359,4.5944,0.4358,21,5,35,754,1241,469,0.0009,0.9991,520.0,3.9,0.0533,0.005952,0.009074,0.656,1.172,0
86,4853,3159,4,5,3,1.9859,2,15.1,3194,0,4.74,1.0347,3105.3,19,1.0,65,7,3,1210,0.001348,0.0319,45.9184,85,44.3,0.0174,0.0066,1,0,0,0,0.098039,0.015625,41,0.8406,4.6924,0.4364,21,5,39,806,1222,500,0.0006,0.9994,569.2,3.8,0.0521,0.009804,0.009143,1.0723,0.9639,0
87,4853,3094,0,0,3,1.9767,2,15.1,0,3089,4.55,0.9967,3104.2,5,1.0,62,0,3,1188,0.00109,0.0397,14.6628,86,47.3,0.0173,0.0077,0,1,0,0,0.062323,0.015625,40,0.7493,4.7547,0.4365,19,5,38,817,1217,507,0.0006,0.9994,539.4,3.9,0.0523,0.011331,0.009352,1.2117,0.8941,0
88,4852,3043,0,0,3,1.9542,1,15.1,0,3038,4.6,0.9821,3098.4,5,1.0,59,0,3,1137,0.000961,0.0406,14.881,87,49.4,0.0188,0.0079,0,0,0,0,0.066667,0.015625,40,0.7656,4.8214,0.4368,18,4,37,817,1194,467,0.0008,0.9992,572.6,4.0,0.0524,0.008696,0.009289,0.9361,1.0319,0
89,4850,3046,2,5,1,1.8329,1,15.0,7,3034,4.55,0.9847,3093.4,12,1.0,57,4,6,1135,0.001195,0.0405,33.8028,88,49.8,0.0187,0.0074,2,1,0,0,0.075676,0.015625,42,0.7935,4.8971,0.4364,20,3,34,806,1189,492,0.0011,0.9989,599.2,3.9,0.0536,0.013514,0.009692,1.3944,0.8028,0
90,4849,3072,1,3,3,1.7756,1,15.2,3,3069,4.62,0.9937,3091.3,3,1.0,57,1,1,1091,0.000945,0.0359,9.2593,89,49.6,0.0196,0.0081,0,0,0,0,0.077844,0.015625,39,0.7993,4.9749,0.4367,20,3,34,806,1189,508,0.0014,0.9986,588.4,3.8,0.0536,0.0,0.008769,0.0,1.5,0
91,4846,3079,1,5,3,1.5466,2,15.1,3,3067,4.59,0.9964,3090.2,12,1.0,61,5,1,1119,0.00191,0.0344,35.8209,90,47.3,0.018,0.0075,1,0,0,0,0.077364,0.015625,42,0.798,5.0494,0.4362,20,3,38,819,1214,476,0.0012,0.9988,621.2,3.7,0.0553,0.0,0.007933,0.0,1.5,0
92,4845,3121,1,5,0,1.6989,2,15.2,3137,0,4.65,1.016,3095.4,8,1.0,62,1,0,1135,0.001734,0.0373,22.0386,91,47.5,0.0175,0.0065,1,0,0,0,0.109333,0.015625,42,0.8571,5.1588,0.4356,21,3,38,801,1253,513,0.0008,0.9992,645.5,3.8,0.0552,0,0.007178,0.0,1.5,0
93,4845,3075,0,0,3,1.7143,2,15.1,3,3072,4.58,0.994,3093.4,3,1.0,59,0,3,1135,0.001606,0.033,7.8534,92,50.8,0.0192,0.0064,0,1,0,0,0.073604,0.015625,42,0.7877,5.2324,0.4352,20,3,36,754,1272,517,0.0013,0.9987,620.2,3.8,0.0531,0.010152,0.007461,1.3607,0.8197,0
