window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,r0_to_rplus,rplus_to_r0,total_rplus,total_r0,amplified_pairs,echo_deposits,echo_latent_total,reforms_alive,reformations,v_energy,v_recurrence_n,v_motifs,v_labels,v_born,v_died,v_torque_n,v_torque_mean,v_torque_success
454,3051,1855,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.5766,0.02,1,26.7,3,0.1429,0.1429,0.12,0,0,0,0,1,29,52,82,0.0,2,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2220,255,38396,0.000689,0.507455,0.018164,59,-1,0,0.0471,0.358,0.0011,0.3,0.1166,0.695,0,0,0,1757,10,4,0,0,0.0002,0.1346,2,4,4,0.001437,0.000918,5,3.056,0.107816,0,1.1479,1.2e-05,2,0,164,114,0.0012,0,18,9,9,1846,366280,0,0.0,0,0,514.4907,1040,2,213,2,2,771,0.526255,46.0285
455,3050,1841,1,0,1,4,0.6,1,0,0,0,0,0,0,0,3,1.5486,-0.028,1,28.0,3,0.1429,0.1429,0.1,0,0,0,0,1,29,52,82,0.0,2,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1582,229,38910,0.00055,0.507455,0.018164,45,1,0,0.0475,0.384,0.0008,0.3,0.1174,0.69,0,0,0,1460,12,2,0,0,0.0001,0.0327,1,5,5,0.000985,0.00074,6,3.624,0.130362,0,0.917,0.0,1,0,449,270,0.0011,0,12,9,4,1837,366164,0,0.0,0,0,514.0462,1035,1,214,1,0,773,0.529252,45.7274
456,3049,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4949,-0.0537,2,27.9,3,0.1429,0.1429,0.0923,0,0,0,0,1,31,55,87,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1587,242,38736,0.001047,0.507356,0.018162,95,1,1,0.0463,0.376,0.0004,0.09,0.1145,0.655,0,0,0,1121,4,0,0,0,0.0001,0.001,0,4,4,0.001173,0.000375,2,1.204,0.042306,0,0.8862,0.0,0,0,36,26,0.001,0,3,5,0,1891,365734,0,0.0,0,0,504.882,1031,0,213,0,1,771,0.528516,38.7032
457,3047,1796,4,0,4,5,1.6,1,0,0,0,0,0,0,0,3,1.7527,0.2578,1,26.6,3,0.1429,0.1429,0.1,0,0,0,0,1,32,56,89,0.0,2,1,1,0,0,4,0,0.0,0,0,0,0,1.0,2162,265,39753,0.001047,0.507356,0.018162,-95,-2,0,0.0459,0.282,0.0006,0.06,0.1138,0.665,0,0,0,1342,7,0,0,0,0.0001,0.001,0,4,4,0.00041,0.000288,1,2.486,0.077951,0,0.8865,0.0,0,0,13,9,0.001,0,33,9,17,1779,364968,0,0.0,0,0,521.1033,1048,4,217,4,0,785,0.52636,42.5783
458,3046,1894,1,0,1,4,1.0,1,0,0,0,0,0,0,0,3,1.9363,0.1835,1,27.9,3,0.1429,0.1429,0.075,0,0,0,0,1,32,56,89,0.0,2,1,1,0,0,1,0,0.0,0,0,1,0,1.0,1555,354,39642,0.00013,0.507356,0.018162,3,0,0,0.0467,0.244,0.0008,0.09,0.1152,0.61,0,0,0,1485,3,0,0,0,0.0001,0.001,0,2,2,0.000672,0.000667,0,0.924,0.031679,0,0.8832,0.0,0,0,4,2,0.001,0,8,16,4,1890,364132,0,0.0,0,0,516.0878,1035,1,218,1,0,788,0.539103,40.6574
459,3043,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8879,-0.0483,2,26.6,3,0.1429,0.1429,0.075,0,0,0,0,1,30,51,82,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1672,241,39645,0.000998,0.507445,0.018162,-90,0,1,0.0477,0.308,0.0008,0.12,0.1174,0.675,0,0,0,1521,0,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.8832,0.0,0,0,0,0,0,0,13,10,0,1801,363688,0,0.0,0,0,503.8791,1031,0,217,0,1,785,0.517586,34.9749
460,3043,1809,1,0,1,4,0.1667,1,0,0,0,0,0,0,0,3,1.8586,-0.0294,1,28.0,2,0.1429,0.1429,0.08,0,0,0,0,1,28,47,76,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2249,246,37420,0.00018,0.507445,0.018162,8,3,0,0.0483,0.34,0.0007,0.12,0.1193,0.685,0,0,0,1525,7,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,2,2.076,0.07739,0,0.8815,0.0,0,0,0,0,0.001,0,4,0,4,1805,363310,0,0.0,0,0,521.4152,1035,1,218,1,0,788,0.545687,48.1864
461,3040,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9808,0.1223,1,27.6,2,0.1429,0.1429,0.08,0,0,0,0,1,25,42,68,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2457,294,42268,0.001501,0.507445,0.018162,141,-3,0,0.0471,0.37,0.0008,0.27,0.1165,0.7,0,0,1,1763,12,4,0,0,0.0001,0.0107,1,4,4,0.000659,0.000468,1,3.676,0.123582,0,0.8968,0.0,0,1,13,9,0.001,0,12,6,4,1938,362534,0,0.0,0,0,508.0792,1035,1,216,0,2,783,0.527156,37.6507
462,3036,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7527,-0.2281,1,27.0,1,0.0,0.0,0.0,0,0,0,0,0,16,28,44,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1876,260,42323,0.00018,0.507447,0.018163,-8,-4,1,0.0473,0.326,0.0008,0.42,0.117,0.63,0,0,0,1632,12,3,0,0,0.0001,0.001,0,3,3,0.001108,2.3e-05,1,2.984,0.133852,0,0.8793,0.0,0,0,17,15,0.001,0,12,6,2,1791,362058,2,0.263,0,0,504.8642,1035,1,214,0,2,775,0.526685,40.6904
463,3031,1820,2,0,2,5,0.8,1,0,0,0,0,0,0,0,3,1.8339,0.0812,1,27.9,1,0.0,0.0,0.0,0,0,0,0,0,13,22,35,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1590,239,39628,0.00037,0.507447,0.018163,27,5,0,0.0463,0.342,0.001,0.12,0.1143,0.67,0,0,0,1389,8,0,0,0,0.0002,0.1844,2,4,4,0.001208,0.001208,1,2.484,0.087912,0,1.2037,1.6e-05,2,0,337,121,0.0012,0,19,6,12,1808,361192,0,0.0,0,0,523.0591,1047,3,216,3,1,782,0.535696,48.2634
