window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,r0_to_rplus,rplus_to_r0,total_rplus,total_r0,amplified_pairs,echo_deposits,echo_latent_total,reforms_alive,reformations,v_energy,v_recurrence_n,v_motifs,v_labels,v_born,v_died,v_torque_n,v_torque_mean,v_torque_success
1,5000,4644,37,0,37,4,0.8889,1,0,0,0,0,0,0,0,0,1.9993,1.9993,0,15.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,37,0,0.0,0,0,0,1,0.977,162238,18318,2889,0.0001,0.5,0.02,0,0,0,0.0764,0.1,0.0121,0.15,0.1532,0.25,0,0,0,2522,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1405,592,283,4361,797862,0,0.0,0,0,328.0776,283,74,74,74,0,275,0.517437,49.0761
2,5000,6211,46,0,46,8,1.5,2,0,0,0,0,0,0,0,0,1.9993,-0.0,0,17.7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,27,6,13,0,0.9038,0,0,0,2,0.942,254571,3917,2956,0.009265,0.5,0.02,1567,8,0,0.134,0.2,0.016,0.3,0.3004,0.5,0,0,0,167984,0,265,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,131,46,332,5879,805212,0,0.0,0,0,347.2143,332,81,87,13,0,325,0.588836,7.8911
3,5000,6037,57,0,57,7,0.8,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,20.5,2,0.9038,1.0,0.1317,0,0,0,1,3,79,92,175,0.25,0,3,3,23,11,21,2,0.7473,0,0,0,3,0.9389,317485,4016,2728,0.008938,0.4921,0.019803,1393,11,1,0.161,0.3,0.0193,0.45,0.3603,0.7,0,0,123,231365,1479,259,0,0,0.0033,0.2629,249,0,0,0.0,0.0,99,401.872,4.804054,5,16.6604,0.00031,142,107,8886,6897,0.0151,0,344,240,261,5776,810138,58,6.6175,0,0,470.9252,398,66,113,26,0,426,0.592104,30.6146
4,5000,5227,38,0,38,6,1.1429,4,0,0,0,0,0,0,0,0,1.9993,0.0,2,21.7,3,0.8244,1.0,0.331,0,0,0,3,7,208,321,539,0.3,25,4,4,18,8,11,1,0.7981,0,0,0,0,1.0,263335,3812,2918,0.006796,0.4921,0.019803,-810,-15,0,0.1415,0.4,0.0208,0.6,0.3161,0.7,0,108,32,171198,2276,245,0,0,0.003,0.2363,252,424,424,0.106686,0.061492,1365,672.21,8.197008,187,15.0383,0.000169,3,249,44836,44462,0.0017,0,212,196,156,5071,827088,21,2.5164,0,0,502.7082,353,41,123,10,0,463,0.619167,27.9327
5,5000,5442,43,0,43,6,1.25,5,0,0,0,0,0,0,0,0,1.9993,-0.0,0,22.7,4,0.817,1.0,0.375,0,0,0,3,8,404,638,1053,0.2727,30,5,5,21,8,8,6,0.7444,0,0,0,0,1.0,255259,3646,3068,0.005435,0.4921,0.019803,-595,2,0,0.1441,0.5,0.0201,0.75,0.3229,0.7,129,102,26,163486,1449,208,0,0,0.0038,0.1911,379,248,248,0.178465,0.095282,1385,412.692,5.202872,182,19.004,0.000222,2,377,33693,33456,0.0016,0,224,134,167,5275,834760,10,1.5774,0,0,555.8777,396,42,137,14,0,519,0.626757,29.4571
6,5000,5548,35,0,35,7,1.0,6,0,0,0,0,0,0,0,0,1.9993,0.0,2,24.0,5,0.7998,1.0,0.4954,0,0,0,6,9,522,791,1328,0.4,36,6,6,20,7,4,4,0.8069,0,0,0,0,1.0,260297,3759,3117,0.004634,0.494201,0.019748,-489,6,1,0.1416,0.6,0.0173,0.9,0.3215,0.7,90,90,35,168020,1623,142,0,0,0.0032,0.233,272,233,233,0.125841,0.05914,1189,474.074,5.689379,119,16.1293,0.000193,2,270,33969,33764,0.0015,0,156,101,147,5401,841036,3,0.3159,0,0,604.1854,395,38,151,14,0,569,0.619622,26.8341
7,5000,4755,28,0,28,5,1.5,7,0,0,0,0,0,0,0,0,1.9997,0.0004,2,25.8,6,0.8011,1.0,0.5711,0,0,0,8,11,682,1014,1715,0.4211,45,7,7,14,4,3,7,0.7963,0,0,0,1,0.9783,249694,6469,3046,0.006701,0.494201,0.019748,-793,59,0,0.143,0.7,0.0172,1.0,0.3241,0.7,67,68,29,160333,1587,104,0,0,0.0031,0.2607,299,303,303,0.169144,0.067712,1176,458.704,6.437796,100,15.5191,0.000195,1,298,33020,32782,0.002,0,172,134,119,4636,847412,6,0.6074,0,0,651.7328,398,30,164,13,0,613,0.627489,32.7518
8,5000,3013,15,0,15,5,1.0,8,0,0,0,0,0,0,0,0,1.9993,-0.0004,0,26.5,7,0.8005,1.0,0.5862,0,0,0,9,11,824,1216,2060,0.45,48,8,8,6,1,2,6,0.9429,0,0,0,0,1.0,172255,11212,3723,0.009975,0.494201,0.019748,-2535,88,0,0.1441,0.8,0.0165,1.0,0.3246,0.7,35,35,20,117704,1093,58,0,0,0.0026,0.1607,250,632,632,0.19563,0.084054,962,315.174,6.95288,64,12.7969,0.000148,1,249,19268,18888,0.0014,0,107,98,65,2948,855968,8,1.1861,0,0,673.0142,371,16,169,5,0,635,0.634217,33.2242
9,5000,1970,1,0,1,3,0.0,6,0,0,0,0,0,0,0,0,1.9981,-0.0012,0,26.0,8,0.8063,1.0,0.5784,0,0,0,9,11,910,1372,2302,0.45,53,6,6,1,0,0,0,1.0,0,0,0,0,1.0,98963,10846,4065,0.010084,0.50427,0.018089,-3578,83,1,0.1287,0.9,0.0126,1.0,0.2921,0.7,14,16,6,67707,718,35,0,0,0.0015,0.1792,137,831,831,0.170964,0.083773,752,209.188,6.982852,58,7.452,9e-05,0,137,9525,9017,0.0011,0,27,41,20,1950,867570,1,0.1857,0,0,666.5169,345,5,169,0,0,635,0.652201,29.6519
10,5000,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9952,-0.0029,0,26.4,8,0.8074,1.0,0.5784,0,0,0,9,11,950,1430,2400,0.45,53,0,0,0,0,0,0,0.0,0,0,0,0,1.0,61470,12077,4898,0.003874,0.50427,0.018089,-397,70,0,0.109,1.0,0.0059,1.0,0.2579,0.7,3,3,10,41701,428,15,0,0,0.0013,0.2141,109,670,670,0.15908,0.074621,492,127.586,5.311399,15,6.5222,9.5e-05,0,109,4336,3938,0.0013,0,11,14,3,1570,879218,2,0.238,0,0,655.6372,345,1,169,0,0,635,0.629489,31.468
11,5000,1266,1,0,1,4,0.5,1,0,0,0,0,0,0,0,0,1.9958,0.0006,0,28.2,8,0.8074,1.0,0.5784,0,0,0,9,11,954,1431,2405,0.45,53,1,1,0,0,1,0,0.0,0,0,0,0,1.0,41468,11921,6524,0.006169,0.50427,0.018089,-704,19,0,0.0947,0.502,0.0015,0.45,0.2315,0.7,1,0,4,28118,305,2,0,0,0.0007,0.2054,57,645,645,0.10251,0.08105,290,90.084,4.72722,11,3.4987,4.6e-05,0,57,2513,2144,0.0016,0,9,7,3,1263,888674,0,0.0,0,0,655.8051,348,1,170,1,0,638,0.623682,32.8341
12,5000,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9889,-0.007,0,28.8,8,0.8074,1.0,0.5726,0,0,0,9,11,954,1431,2405,0.45,53,0,0,0,0,0,0,0.0,0,0,0,0,1.0,27106,11652,8217,0.007078,0.509209,0.01758,-863,36,1,0.0755,0.33,0.0003,0.06,0.1874,0.7,0,0,2,17943,205,0,0,0,0.0004,0.1137,34,503,503,0.07076,0.06224,205,59.532,3.661939,5,2.065,2.2e-05,0,34,1541,1245,0.0013,0,3,5,0,1107,896918,0,0.0,0,0,658.6838,345,0,170,0,0,638,0.654967,35.6613
13,5000,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9843,-0.0045,0,29.7,8,0.8074,1.0,0.5726,0,0,0,9,11,954,1433,2407,0.45,53,0,0,0,0,0,0,0.0,0,0,0,0,1.0,17103,11490,10548,0.000709,0.509209,0.01758,-61,-27,0,0.0647,0.306,0.0001,0.06,0.1611,0.7,0,0,2,11181,111,0,0,0,0.0002,0.113,13,335,335,0.033693,0.029058,103,31.372,2.11444,2,1.1471,1.3e-05,0,13,828,608,0.0011,0,0,0,0,1046,902256,0,0.0,0,0,651.1091,345,0,170,0,0,638,0.625277,31.5168
14,5000,1040,1,0,1,5,1.6,5,0,0,0,0,0,0,0,0,1.9487,-0.0356,0,29.7,8,0.8074,1.0,0.5784,0,0,0,9,11,952,1422,2394,0.45,53,5,5,0,0,0,1,0.0,0,0,0,1,0.9697,11427,11130,12319,0.000769,0.509209,0.01758,-67,-32,0,0.0558,0.344,0.0004,0.06,0.1386,0.7,0,0,1,7648,87,0,0,0,0.0001,0.1016,5,222,222,0.028751,0.017419,36,24.424,1.669185,0,0.5934,4e-06,0,5,498,346,0.0011,0,12,4,5,1035,905578,0,0.0,0,0,648.6981,350,1,171,1,0,641,0.631265,33.136
15,5000,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9286,-0.0201,1,31.4,8,0.818,1.0,0.6506,0,0,0,6,11,828,1251,2096,0.3529,49,0,0,0,0,0,0,0.0,0,0,0,0,1.0,7321,10856,14742,0.001007,0.5093,0.017637,-91,-28,1,0.0496,0.33,0.0004,0.06,0.1228,0.695,0,0,0,4514,40,0,0,0,0.0001,0.0035,0,93,93,0.016764,0.014504,18,11.408,0.786995,0,0.3056,0.0,0,0,269,208,0.001,0,3,5,0,1016,907502,0,0.0,0,0,644.6887,345,0,171,0,0,641,0.648729,33.3965
16,5000,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8955,-0.0331,1,32.0,8,0.8315,1.0,0.63,0,0,0,6,8,759,1159,1932,0.4286,45,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4811,10197,17093,0.000839,0.5093,0.017637,74,2,0,0.0464,0.304,0.0002,0.06,0.1153,0.695,0,0,0,3229,34,0,0,0,0.0001,0.0506,1,66,66,0.009618,0.007257,8,9.752,0.623651,0,0.3659,1e-06,0,1,165,110,0.001,0,0,0,0,1090,908656,0,0.0,0,0,638.9575,345,0,171,0,0,641,0.639178,30.3385
17,5000,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8671,-0.0283,1,32.5,8,0.8763,1.0,0.4401,0,0,0,3,7,622,982,1614,0.3,37,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3658,9724,19283,0.001471,0.5093,0.017637,138,-9,0,0.0451,0.322,0.0001,0.06,0.1127,0.7,0,0,1,2513,23,0,0,0,0.0001,0.0408,3,46,46,0.004337,0.004142,7,6.44,0.398561,0,0.3858,1e-06,0,3,82,42,0.0011,0,0,0,0,1154,910248,0,0.0,0,0,635.4736,345,0,171,0,0,641,0.623629,34.2117
18,5000,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7763,-0.0908,1,32.7,8,0.8977,1.0,0.3671,0,0,0,3,2,414,679,1098,0.6,25,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2476,9147,22425,0.002351,0.508771,0.017707,229,-15,1,0.0433,0.276,0.0,0.0,0.1084,0.69,0,0,0,1593,18,0,0,0,0.0001,0.001,0,32,32,0.003367,0.003144,2,5.106,0.289136,0,0.3036,0.0,0,0,83,61,0.001,0,0,0,0,1245,911254,0,0.0,0,0,625.7328,345,0,171,0,0,641,0.620635,28.9886
19,5000,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7819,0.0056,1,33.8,8,0.9257,1.0,0.2588,0,0,0,0,2,165,276,443,0.0,12,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1653,8673,26631,0.00057,0.508771,0.017707,47,-18,0,0.0436,0.28,0.0001,0.06,0.1088,0.7,0,0,1,1054,13,0,0,0,0.0001,0.0063,0,33,33,0.002011,0.001991,2,3.64,0.201232,0,0.3182,0.0,0,0,68,39,0.0011,0,4,3,0,1292,911868,0,0.0,0,0,632.9919,345,0,171,0,0,641,0.640733,37.8497
20,5000,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6855,-0.0965,1,34.0,6,1.0,1.0,0.0,0,0,0,0,0,24,51,75,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1113,8278,27131,0.001725,0.508771,0.017707,164,-16,0,0.0427,0.264,0.0,0.06,0.1066,0.58,0,0,0,676,5,0,0,0,0.0001,0.001,0,6,6,0.001406,0.001049,0,1.4,0.070972,0,0.3151,0.0,0,0,29,25,0.001,0,0,0,0,1409,909612,0,0.0,0,0,620.075,345,0,171,0,0,641,0.622575,27.1737
21,4996,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.3145,1,34.1,5,1.0,1.0,0.0,0,0,0,0,0,8,28,36,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,944,7642,30302,0.002389,0.508225,0.017893,233,-39,1,0.0428,0.254,0.0,0.0,0.107,0.635,0,0,0,609,2,0,0,0,0.0001,0.001,0,0,0,0.000827,0.0,1,0.56,0.027064,0,0.3153,0.0,0,0,2,2,0.001,0,0,0,0,1478,902558,0,0.0,0,0,619.2474,345,0,171,0,0,641,0.623582,37.1337
22,4985,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.585,-0.415,1,34.4,5,1.0,1.0,0.0,0,0,0,0,0,8,28,36,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,442,7427,31306,0.00052,0.508225,0.017893,42,17,0,0.0421,0.23,0.0,0.0,0.1052,0.575,0,0,0,174,3,0,0,0,0.0001,0.001,0,5,5,0.000189,0.000158,1,0.84,0.039474,0,0.3159,0.0,0,0,8,3,0.001,0,0,0,0,1520,893936,0,0.0,0,0,608.9296,345,0,171,0,0,641,0.628231,27.5386
23,4966,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-0.585,1,34.8,5,1.0,1.0,0.0,0,0,0,0,0,8,26,34,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,493,6906,32512,0.001764,0.508225,0.017893,168,4,0,0.0421,0.248,0.0001,0.03,0.1052,0.62,0,0,0,325,1,0,0,0,0.0001,0.001,0,0,0,0.000275,0.0,0,0.28,0.012151,0,0.316,0.0,0,0,1,1,0.001,0,4,3,0,1646,883392,0,0.0,0,0,608.8729,345,0,171,0,0,641,0.634499,31.9451
24,4944,1759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-1.0,1,35.1,5,1.0,1.0,0.0,0,0,0,0,0,8,26,34,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,319,6514,37165,0.002838,0.507447,0.017882,281,2,1,0.042,0.248,0.0001,0.03,0.105,0.49,0,0,0,314,3,0,0,0,0.0001,0.001,0,3,3,8.5e-05,8.5e-05,0,0.84,0.03411,0,0.3139,0.0,0,0,4,1,0.001,0,6,0,3,1756,871942,0,0.0,0,0,601.1706,348,1,172,1,0,644,0.607397,28.5661
25,4913,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,35.2,5,1.0,1.0,0.0,0,0,0,0,0,8,26,34,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,59,5814,40188,0.000689,0.507447,0.017882,59,-6,0,0.0418,0.18,0.0001,0.03,0.1042,0.45,0,0,0,125,0,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3139,0.0,0,0,0,0,0,0,3,4,0,1818,861268,0,0.0,0,0,599.7871,345,0,172,0,0,644,0.628342,34.2405
26,4882,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,35.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,158,5375,41353,0.00019,0.507447,0.017882,9,-16,0,0.0433,0.228,0.0002,0.06,0.108,0.57,0,0,0,123,0,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3139,0.0,0,0,0,0,0,0,4,0,4,1764,851422,0,0.0,0,0,596.3868,349,1,173,1,0,644,0.616225,30.6798
27,4851,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,35.8,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,425,5051,39968,0.001334,0.507283,0.01798,124,-37,1,0.0438,0.248,0.0005,0.21,0.1092,0.45,0,0,0,303,0,4,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3139,0.0,0,0,0,0,0,0,0,0,4,1879,841322,0,0.0,0,0,596.9888,349,1,173,0,0,642,0.628476,32.8106
28,4831,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-1.0,1,36.1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,353,4613,45247,0.001881,0.507283,0.01798,180,-3,0,0.0448,0.302,0.0008,0.36,0.1116,0.7,0,0,1,492,1,4,0,0,0.0001,0.1394,2,0,0,0.0,0.0,0,0.28,0.009695,0,0.4729,4e-06,1,1,4,2,0.0011,0,7,4,4,2059,833556,0,0.0,0,0,592.8781,349,1,173,0,0,640,0.604538,35.1376
29,4806,2147,1,0,1,5,0.48,1,0,0,0,0,0,0,0,0,-0.0,0.0,1,36.7,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,214,4328,47848,0.00268,0.507283,0.01798,264,16,0,0.0438,0.402,0.0005,0.42,0.109,0.61,0,0,0,370,4,2,0,0,0.0001,0.001,0,2,2,8e-05,6.3e-05,0,0.614,0.037261,0,0.314,0.0,0,0,4,2,0.001,0,10,5,5,2142,827428,2,0.0845,0,0,597.6825,354,1,174,1,0,642,0.595328,39.4808
30,4778,2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,1,36.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,407,4208,48476,0.002389,0.506736,0.017961,233,4,1,0.0439,0.258,0.0006,0.21,0.1092,0.645,0,0,0,531,1,5,0,0,0.0001,0.001,0,7,7,0.000391,0.000301,0,0.438,0.009452,0,0.3158,0.0,0,0,14,10,0.0011,0,0,0,5,2111,817996,0,0.0,0,0,592.5246,354,1,173,0,1,638,0.607642,35.7058
31,4754,2147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,1,36.1,1,0.0,0.0,0.0,0,0,0,0,0,2,3,5,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,489,3696,48391,0.00041,0.506736,0.017961,31,-24,0,0.0444,0.324,0.001,0.36,0.1102,0.67,0,0,0,715,2,5,0,0,0.0001,0.001,0,0,0,6.6e-05,0.0,0,0.56,0.018631,0,0.3158,0.0,0,0,0,0,0.001,0,5,4,5,2142,813644,0,0.0,0,0,585.7249,354,1,173,0,0,633,0.612625,31.1175
32,4730,2197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,36.4,1,0.0,0.0,0.0,0,0,0,0,0,2,3,5,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,461,3232,51337,0.000908,0.506736,0.017961,81,-21,0,0.0437,0.424,0.0003,0.39,0.1087,0.665,0,0,0,573,7,2,0,0,0.0001,0.001,0,10,10,0.000168,0.000144,0,1.844,0.063723,0,0.3159,0.0,0,0,17,8,0.001,0,9,6,1,2196,807534,1,0.0201,0,0,582.6029,355,0,173,0,0,630,0.605919,32.8877
33,4708,2294,1,0,1,5,1.0,1,0,0,0,0,0,0,0,0,0.9183,-0.0817,1,36.5,1,0.0,0.0,0.0,0,0,0,0,0,2,3,5,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,369,2939,53652,0.001861,0.506408,0.018036,178,-20,1,0.0437,0.226,0.0002,0.06,0.1089,0.565,0,0,0,325,2,0,0,0,0.0001,0.001,0,3,3,0.000672,0.000514,1,0.718,0.017437,0,0.3164,0.0,0,0,8,4,0.001,0,5,1,5,2289,802740,0,0.0,0,0,584.7072,359,1,174,1,0,626,0.611601,30.0026
34,4690,2345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9183,0.0,1,36.6,1,0.0,0.0,0.0,0,0,0,0,0,2,3,5,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,374,2942,55564,0.00061,0.506408,0.018036,51,-12,0,0.0449,0.308,0.0001,0.09,0.1119,0.655,0,0,0,457,2,0,0,0,0.0001,0.0073,0,0,0,0.000122,0.0,0,0.56,0.017058,0,0.3237,0.0,0,0,0,0,0.001,0,0,3,0,2345,796802,0,0.0,0,0,576.0722,354,0,174,0,0,625,0.605122,32.4168
35,4667,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0817,1,36.1,1,0.0,0.0,0.0,0,0,0,0,0,5,4,9,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,186,2458,56595,0.00036,0.506408,0.018036,26,-7,0,0.0443,0.32,0.0001,0.09,0.1106,0.55,0,0,0,234,3,0,0,0,0.0001,0.001,0,2,2,0.000155,0.000129,2,0.928,0.025862,0,0.3157,0.0,0,0,4,1,0.0011,0,0,0,0,2320,789672,0,0.0,0,0,572.7639,354,0,174,0,0,623,0.638861,36.0578
36,4644,2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-1.0,1,34.9,1,0.0,0.0,0.0,0,0,0,0,0,5,4,9,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,138,2219,55662,0.001275,0.506259,0.018071,118,-14,1,0.0445,0.142,0.0,0.0,0.1113,0.355,0,0,0,70,0,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3157,0.0,0,0,0,0,0,0,0,0,0,2412,786262,0,0.0,0,0,560.4423,354,0,174,0,0,619,0.602804,34.0477
37,4635,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,33.8,1,0.0,0.0,0.0,0,0,0,0,0,5,4,9,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4,2163,58568,0.001334,0.506259,0.018071,124,4,0,0.0442,0.088,0.0,0.03,0.1104,0.22,0,0,0,4,0,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3157,0.0,0,0,0,0,0,0,3,1,0,2536,782004,0,0.0,0,0,565.9443,354,0,174,0,0,615,0.600776,43.0689
38,4619,2405,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,0,0.0,0.0,1,32.4,1,0.0,0.0,0.0,0,0,0,0,0,5,4,9,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,0,1887,58075,0.00017,0.506259,0.018071,-7,-4,0,0.0439,0.172,0.0001,0.03,0.1097,0.265,0,0,0,41,0,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3157,0.0,0,0,0,0,0,0,9,2,2,2403,779472,0,0.0,0,0,560.5058,356,1,175,1,0,615,0.610464,35.7172
39,4601,2468,1,0,1,5,1.0,1,0,0,0,0,0,0,0,2,1.5219,1.5219,1,31.2,1,0.0,0.0,0.0,0,0,0,0,0,5,4,9,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,261,1804,56622,0.000659,0.506222,0.018076,56,-4,1,0.0442,0.206,0.0002,0.06,0.1102,0.515,0,0,0,216,0,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3157,0.0,0,0,0,0,0,0,5,2,5,2463,777380,0,0.0,0,0,561.6398,359,1,176,1,0,618,0.611244,33.7052
40,4594,2688,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,1,1.5219,0.0,2,31.2,1,0.0,0.0,0.0,0,0,0,0,0,5,6,11,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,618,1692,58750,0.002265,0.506222,0.018076,220,-13,0,0.0448,0.276,0.0003,0.09,0.1117,0.555,0,0,0,462,0,0,0,0,0.0001,0.001,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3157,0.0,0,0,0,0,0,0,11,5,5,2683,774008,0,0.0,0,0,558.613,359,1,177,1,0,623,0.61746,35.3675
41,4585,2479,2,0,2,5,1.2,1,0,0,0,0,0,0,0,0,1.5567,0.0347,2,32.2,1,0.0,0.0,0.0,0,0,0,0,0,5,5,10,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1008,1457,59370,0.00021,0.506222,0.018076,11,-12,0,0.046,0.312,0.0005,0.12,0.1142,0.695,0,0,0,914,5,0,0,0,0.0001,0.1292,1,0,0,0.0,0.0,2,1.48,0.040339,0,0.4545,4e-06,1,0,84,53,0.0011,0,13,7,10,2469,772328,0,0.0,0,0,558.9508,364,2,179,2,0,630,0.606498,36.936
42,4576,2532,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9808,0.4242,2,32.4,1,0.0,0.0,0.0,0,0,0,0,0,5,6,11,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1459,1552,58232,0.000739,0.506174,0.018085,64,-6,1,0.0464,0.342,0.0008,0.27,0.1151,0.68,0,0,0,1375,5,5,0,0,0.0001,0.001,0,8,8,0.000382,0.000274,0,1.602,0.039494,0,0.3176,0.0,0,0,10,4,0.001,0,3,4,8,2524,766712,0,0.0,0,0,557.8975,362,2,179,1,1,632,0.611284,34.9917
43,4557,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8424,-0.1385,1,31.5,1,0.0,0.0,0.0,0,0,0,0,0,6,10,16,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1298,1388,59907,0.00048,0.506174,0.018085,38,-8,0,0.0465,0.35,0.0009,0.33,0.1151,0.625,0,0,0,1126,4,7,0,0,0.0001,0.001,0,0,0,0.000275,0.0,0,0.84,0.031128,0,0.3167,0.0,0,0,0,0,0.001,0,11,10,3,2567,763656,1,0.0611,0,0,553.7761,362,1,179,0,0,631,0.602388,36.5415
