window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3223,3,5,0,1.9911,0,153.2,0,0,0.0,1.0,0.0,15,1.0,5,9,4,107,0,0.038965,0.2703,424.2424,0,0.0,0.2297,0.0524,2,0,0,0,0.297297,0.015625,6,0.9474,0.2973,0.9379,1,0,4,816,1273,545,1.0,0.0,0,0,0,0.081081,0.081081,1.0,1.0,1,0.0,0.0,0,1.0
2,5000,3189,1,3,3,1.9299,0,151.2,0,0,0.0,1.0,0.0,9,1.0,12,10,3,172,0,0.020051,0.1636,195.6522,1,0.3,0.1091,0.036,0,0,0,0,0.163636,0.015625,11,0.9045,0.4609,0.8918,7,0,5,842,1260,502,1.0,0.0,0,0,0,0.018182,0.039148,0.4644,1.0,1,0.1895,0.7313,5,0.8105
3,4999,3153,1,5,3,1.8113,0,151.8,0,0,0.0,1.0,0.0,13,1.0,12,9,9,235,0,0.012386,0.1746,200.0,2,0.8,0.1429,0.045,1,0,0,0,0.174603,0.015625,16,0.9105,0.572,0.8474,5,1,6,767,1311,502,1.0,0.0,0,0,0,0.095238,0.067193,1.4174,1.0,1,0.3612,0.931,12,0.6388
4,4956,3180,0,0,3,1.9761,2,150.6,0,0,0.0,1.0,0.0,8,1.0,17,8,3,237,0,0.013373,0.1081,119.403,3,1.2,0.0946,0.0244,0,0,0,0,0.189189,0.015625,15,0.9174,0.6644,0.82,6,1,10,763,1301,553,1.0,0.0,0,0,0,0.013514,0.045721,0.2956,1.0,1,0.2729,0.8221,12,0.7271
5,4935,3255,1,5,3,1.9494,1,148.2,0,0,0.0,1.0,0.0,18,1.0,26,14,5,339,0,0.009704,0.1452,157.8947,4,1.2,0.0766,0.0271,1,0,0,0,0.145161,0.015625,21,0.8924,0.7203,0.7756,10,2,14,838,1296,548,1.0,0.0,0,0,0,0.008065,0.033169,0.2431,1.0,1,0.2956,0.7828,17,0.7044
6,4888,3046,1,5,3,1.9467,1,146.9,0,0,0.0,1.0,0.0,19,1.0,27,15,14,406,0,0.007568,0.0789,166.6667,5,1.6,0.0579,0.0155,1,0,0,0,0.078947,0.015625,26,0.8021,0.7817,0.738,10,3,14,786,1227,494,1.0,0.0,0,0,0,0.052632,0.03873,1.3589,1.0,1,0.3769,0.9721,26,0.6231
7,4845,3078,1,5,3,1.8424,2,144.5,0,0,0.0,1.0,0.0,5,1.0,18,1,10,339,0,0.007896,0.1091,49.0196,6,2.9,0.0773,0.0297,1,0,0,0,0.109091,0.015625,23,0.8568,0.8817,0.7215,7,3,8,783,1155,531,1.0,0.0,0,0,0,0.063636,0.044956,1.4155,1.0,1,0.5116,0.9617,27,0.4884
8,4826,3160,0,0,3,1.9258,2,142.5,0,0,0.0,1.0,0.0,3,1.0,16,3,5,272,0,0.009179,0.0988,39.4737,7,3.4,0.0741,0.0229,0,0,0,0,0.098765,0.015625,18,0.8418,0.9557,0.7083,7,1,8,823,1268,507,1.0,0.0,0,0,0,0.024691,0.040453,0.6104,1.0,1,0.5009,0.8991,18,0.4991
9,4814,3070,2,5,3,1.9789,1,141.9,0,0,0.0,1.0,0.0,29,1.0,31,23,8,434,0,0.007208,0.0616,221.374,8,2.2,0.0401,0.0134,1,0,0,0,0.136986,0.015625,23,0.8859,0.9694,0.6839,13,4,14,801,1198,517,1.0,0.0,0,0,0,0.006849,0.033732,0.203,1.0,1,0.2289,0.8415,16,0.7711
10,4788,3144,1,4,3,1.9127,1,141.6,0,0,0.0,1.0,0.0,17,1.0,35,15,11,516,0,0.005503,0.0798,114.094,9,2.2,0.0412,0.0155,0,0,0,0,0.092025,0.015625,28,0.8302,1.0185,0.6618,13,5,17,838,1221,489,1.0,0.0,0,0,0,0.030675,0.033176,0.9246,1.0,1,0.3884,0.8962,31,0.6116
