window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3148,0,0,1,1.9867,0,153.0,0,0,0.0,1.0,0.0,7,1.0,5,7,2,50,0,0.064642,0.2727,411.7647,0,0.0,0.0,0.0617,0,0,0,0,0.272727,0.015625,5,0.9427,0.2727,0.9347,1,0,4,792,1231,526,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0,0.0,0,1.0
2,5000,3128,1,3,3,1.9031,0,151.3,0,0,0.0,1.0,0.0,7,1.0,8,8,5,105,0,0.031413,0.2,233.3333,1,0.2,0.0,0.0597,0,0,0,0,0.2,0.015625,10,0.9219,0.3299,0.8698,3,0,5,787,1225,513,1.0,0.0,0,0,0,0.057143,0.038095,1.5,1.0,1,0.245,0.8722,5,0.755
3,4997,3271,0,0,3,1.8513,0,151.8,0,0,0.0,1.0,0.0,7,1.0,9,7,6,113,0,0.023745,0.2,205.8824,2,0.7,0.0,0.0404,0,0,0,0,0.2,0.015625,11,0.9219,0.3549,0.8239,2,1,6,806,1365,524,1.0,0.0,0,0,0,0.05,0.044048,1.1351,1.0,1,0.3322,0.907,8,0.6678
4,4972,3153,0,0,3,1.8997,1,151.1,0,0,0.0,1.0,0.0,4,1.0,10,4,3,96,0,0.021473,0.2083,181.8182,3,1.2,0.0,0.0464,0,0,0,0,0.208333,0.015625,10,0.925,0.3798,0.7956,2,0,8,770,1300,523,1.0,0.0,0,0,0,0.0,0.026429,0.0,1.0,1,0.3715,0.7374,9,0.6285
5,4959,3221,1,3,3,1.9304,1,149.7,0,0,0.0,1.0,0.0,12,1.0,17,13,6,200,0,0.014507,0.1013,176.4706,4,1.1,0.0,0.0213,0,0,0,0,0.126582,0.015625,17,0.8766,0.4557,0.7738,7,2,8,848,1229,542,1.0,0.0,0,0,0,0.037975,0.030277,1.2542,1.0,1,0.1965,0.884,10,0.8035
6,4939,3084,0,0,3,1.9982,1,148.6,0,0,0.0,1.0,0.0,10,1.0,20,10,7,221,0,0.011004,0.0959,153.8462,5,1.5,0.0,0.0214,0,0,0,0,0.09589,0.015625,20,0.8371,0.5201,0.7523,6,2,12,765,1246,525,1.0,0.0,0,0,0,0.027397,0.029454,0.9302,1.0,1,0.3556,0.7567,17,0.6444
7,4927,3098,1,5,3,1.9822,1,148.3,0,0,0.0,1.0,0.0,12,1.0,22,8,6,254,0,0.012726,0.1684,125.0,6,1.9,0.1684,0.032,1,0,0,0,0.168421,0.015625,23,0.9072,0.5622,0.7164,7,1,14,797,1226,534,1.0,0.0,0,0,0,0.021053,0.027354,0.7696,1.0,1,0.3706,0.7542,20,0.6294
8,4915,3119,0,0,3,1.8727,1,147.9,0,0,0.0,1.0,0.0,9,1.0,23,9,8,293,0,0.009596,0.1176,123.2877,7,2.1,0.1176,0.0213,0,0,0,0,0.117647,0.015625,26,0.8672,0.6563,0.6767,5,2,16,795,1233,492,1.0,0.0,0,0,0,0.058824,0.034347,1.7126,1.0,1,0.382,0.8859,22,0.618
9,4908,3118,0,0,3,1.9981,1,146.9,0,0,0.0,1.0,0.0,0,1.0,17,0,6,206,0,0.010133,0.1698,0.0,8,3.5,0.1698,0.0372,0,0,0,0,0.169811,0.015625,18,0.908,0.694,0.6534,5,0,12,802,1188,516,1.0,0.0,0,0,0,0.037736,0.035025,1.0774,1.0,1,0.6172,0.9784,23,0.3828
10,4905,3120,2,5,3,1.9574,1,147.5,0,0,0.0,1.0,0.0,20,1.0,24,15,8,302,0,0.009071,0.0686,222.2222,9,2.7,0.0588,0.0151,1,0,0,0,0.088235,0.015625,22,0.8229,0.7529,0.6261,8,1,15,803,1250,505,1.0,0.0,0,0,0,0.029412,0.034004,0.8649,1.0,1,0.299,0.9873,17,0.701
