window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3229,1,5,3,1.9997,0,152.9,0,0,0.0,1.0,0.0,9,1.0,3,5,2,45,0,0.092762,0.4583,409.0909,0,0.0,0.4583,0.09,1,0,0,0,0.458333,0.015625,3,0.9659,0.4583,0.9596,1,1,1,819,1259,543,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0,0.0,0,1.0
2,5000,3220,1,3,3,1.9371,0,151.2,0,0,0.0,1.0,0.0,7,1.0,6,6,3,79,0,0.041871,0.3,259.2593,1,0.2,0.3,0.0816,0,0,0,0,0.3,0.015625,6,0.9479,0.7583,0.9236,0,0,6,804,1316,513,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.2255,0.8758,3,0.7745
3,4998,3230,0,0,3,1.952,0,151.6,0,0,0.0,1.0,0.0,13,1.0,14,13,5,167,0,0.017975,0.125,342.1053,2,0.4,0.0625,0.0256,0,0,0,0,0.145833,0.015625,14,0.8929,0.8208,0.8613,4,0,10,829,1271,538,1.0,0.0,0,0,0,0.020833,0.010417,2.0,1.0,1,0.1603,0.7492,6,0.8397
4,4981,3090,0,0,3,1.9585,1,151.3,0,0,0.0,1.0,0.0,14,1.0,19,14,9,258,0,0.01096,0.125,285.7143,3,0.7,0.0781,0.0277,0,0,0,0,0.125,0.015625,20,0.875,0.899,0.8069,2,3,14,775,1237,499,1.0,0.0,0,0,0,0.078125,0.0375,2.0833,1.0,1,0.2995,0.9776,14,0.7005
5,4935,3184,0,0,3,1.9628,1,148.9,0,0,0.0,1.0,0.0,10,1.0,20,10,9,247,0,0.011527,0.0886,144.9275,4,1.3,0.0253,0.0225,0,0,0,0,0.101266,0.015625,21,0.8457,0.9243,0.7552,6,2,12,786,1303,508,1.0,0.0,0,0,0,0.037975,0.037658,1.0084,1.0,1,0.3428,0.8906,19,0.6572
6,4916,3204,0,0,3,1.8449,1,147.5,0,0,0.0,1.0,0.0,0,1.0,16,0,4,216,0,0.009676,0.1053,0.0,5,2.4,0.0351,0.0254,0,0,0,0,0.175439,0.015625,18,0.9109,0.9594,0.7487,4,1,11,816,1262,558,1.0,0.0,0,0,0,0.070175,0.046949,1.4947,1.0,1,0.545,0.8026,20,0.455
7,4886,3194,1,3,1,1.9486,1,146.5,0,0,0.0,1.0,0.0,2,1.0,12,1,5,152,0,0.016197,0.1628,47.619,6,3.4,0.1628,0.045,0,0,0,0,0.232558,0.015625,11,0.9328,1.1222,0.7616,3,1,8,791,1278,515,1.0,0.0,0,0,0,0.023256,0.041026,0.5669,1.0,1,0.5185,0.9798,16,0.4815
8,4844,3086,3,4,1,1.9767,1,144.4,0,0,0.0,1.0,0.0,15,1.0,17,11,6,231,0,0.011114,0.0984,254.5455,7,2.7,0.0984,0.017,0,0,0,0,0.114754,0.015625,17,0.8638,1.2205,0.7478,4,2,11,778,1238,490,1.0,0.0,0,0,0,0.032787,0.039195,0.8365,1.0,1,0.3291,0.9,12,0.6709
9,4809,3068,4,5,1,1.8558,2,142.2,0,0,0.0,1.0,0.0,24,1.0,20,12,9,316,0,0.010596,0.1062,228.5714,8,1.8,0.0885,0.0253,2,0,0,0,0.115044,0.015625,18,0.8642,1.3356,0.7211,8,3,9,835,1200,509,1.0,0.0,0,0,0,0.026549,0.036666,0.7241,1.0,1,0.334,0.8915,17,0.666
10,4775,2973,0,0,0,1.8467,2,141.1,0,0,0.0,1.0,0.0,10,1.0,22,10,8,339,0,0.008767,0.1139,144.9275,9,2.2,0.0338,0.0231,0,0,0,0,0.126582,0.015625,22,0.8766,1.3609,0.6872,8,2,12,749,1138,536,1.0,0.0,0,0,0,0.050633,0.039205,1.2915,1.0,1,0.3934,0.9158,20,0.6066
11,4751,3067,2,5,1,1.7424,1,139.1,0,0,0.0,1.0,0.0,9,1.0,19,4,7,316,0,0.008977,0.1,107.1429,10,2.9,0.0778,0.0235,1,0,0,0,0.111111,0.015625,20,0.8594,1.4609,0.6675,5,2,12,745,1247,514,1.0,0.0,0,0,0,0.044444,0.040078,1.1089,1.0,1,0.4829,0.8853,22,0.5171
12,4733,2966,2,4,3,1.9157,1,137.8,0,0,0.0,1.0,0.0,19,1.0,28,17,8,387,0,0.00809,0.0797,152.0,11,2.1,0.0598,0.0211,0,0,0,0,0.086957,0.015625,23,0.8203,1.5478,0.6369,8,3,17,737,1198,493,1.0,0.0,0,0,0,0.014493,0.036142,0.401,1.0,1,0.2697,0.8311,19,0.7303
13,4723,2980,0,0,3,1.9464,2,137.1,0,0,0.0,1.0,0.0,4,1.0,23,4,9,366,0,0.00708,0.0707,34.0909,12,3.3,0.0505,0.0179,0,0,0,0,0.141414,0.015625,21,0.8895,1.6892,0.6223,8,1,14,753,1204,489,1.0,0.0,0,0,0,0.050505,0.038194,1.3223,1.0,1,0.4429,0.7223,28,0.5572
14,4702,3008,1,3,1,1.9067,1,136.7,0,0,0.0,1.0,0.0,11,1.0,24,12,11,406,0,0.006078,0.0796,89.1089,13,3.5,0.0619,0.0173,0,0,0,0,0.106195,0.015625,26,0.8529,1.7954,0.6093,6,3,15,746,1181,519,1.0,0.0,0,0,0,0.079646,0.043721,1.8217,1.0,1,0.3402,0.8382,23,0.6598
15,4680,3033,1,5,3,1.9567,1,135.5,0,0,0.0,1.0,0.0,16,1.0,26,12,10,439,0,0.006101,0.1119,106.112,14,3.9,0.0507,0.0214,1,0,0,0,0.149254,0.015625,27,0.8953,1.8775,0.5942,7,2,17,816,1201,458,1.0,0.0,0,0,0,0.067164,0.046651,1.4397,1.0,1,0.3593,0.9291,24,0.6407
