window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
186,4756,2941,0,0,3,1.9054,2,40.5,6,2935,4.45,0.9983,2945.9,6,1.0,21,0,2,410,0.012257,0.0833,47.619,33,7.5,0.0505,0.0144,0,0,0,0
187,4754,2923,2,3,3,1.9654,1,39.8,10,2913,4.53,0.993,2943.7,10,1.0,19,2,4,427,0.011362,0.0863,62.0155,34,8.3,0.0554,0.0159,0,2,0,0
188,4754,2845,1,3,3,1.9509,1,40.6,3,2834,4.36,0.9696,2934.3,11,1.0,22,7,4,382,0.011694,0.0763,81.3008,35,7.5,0.0473,0.0145,0,0,0,0
189,4754,2861,0,0,3,1.9418,2,39.1,3,2853,4.42,0.9773,2927.3,8,1.0,20,0,2,368,0.013624,0.0841,80.8081,36,8.8,0.0561,0.0173,0,1,0,0
190,4753,2948,2,5,1,1.9307,1,39.7,2937,0,4.46,1.0064,2929.3,11,1.0,18,2,4,383,0.011829,0.0965,103.7736,25,8.2,0.0548,0.0222,1,2,0,0
191,4752,2877,0,0,1,1.8897,1,40.4,6,2871,4.47,0.9838,2924.3,6,1.0,13,0,5,312,0.015277,0.1124,72.2892,26,10.3,0.0787,0.024,0,1,0,0
192,4751,2900,2,3,3,1.8871,1,39.7,11,2886,4.46,0.9925,2922.0,14,1.0,16,8,5,328,0.014206,0.1038,122.449,27,9.2,0.0633,0.0203,0,0,0,0
193,4751,2936,3,5,3,1.7678,1,41.0,2914,0,4.5,1.0043,2923.3,22,1.0,20,6,2,359,0.013422,0.1094,183.3333,28,7.7,0.0732,0.0266,2,1,0,0
194,4751,2921,0,0,3,1.8288,2,40.2,10,2901,4.49,0.9993,2923.1,20,1.0,20,3,3,341,0.013026,0.1016,165.2893,29,8.6,0.0596,0.0211,0,0,0,0
195,4750,2837,0,0,3,1.8671,1,40.6,10,2822,4.43,0.9733,2914.9,15,1.0,19,0,1,336,0.014239,0.0909,144.2308,30,10.0,0.0591,0.0182,0,0,0,0
196,4747,2968,1,4,1,1.944,1,39.7,2961,0,4.54,1.0164,2920.0,7,1.0,18,2,3,358,0.013237,0.1217,63.6364,31,10.7,0.0641,0.0285,0,0,0,0
197,4746,2835,4,5,3,1.9742,1,40.0,11,2814,4.3,0.9736,2911.9,21,1.0,22,6,2,397,0.011282,0.0909,181.0345,32,8.6,0.0471,0.0174,2,0,0,0
198,4744,2933,2,6,3,1.9329,2,39.5,2913,0,4.48,1.0066,2913.9,20,1.0,19,2,5,417,0.012107,0.1029,161.2903,25,8.5,0.0471,0.0196,1,1,0,0
199,4743,2907,0,0,3,1.9299,2,40.1,8,2894,4.44,0.9979,2913.2,13,1.0,19,5,5,388,0.011788,0.1136,99.1736,26,8.2,0.0538,0.0282,0,0,0,0
200,4743,2975,0,0,3,1.887,1,39.3,2973,0,4.53,1.0195,2919.2,3,1.0,15,0,4,342,0.015404,0.13,32.2581,27,11.0,0.0667,0.0232,0,1,0,0
