seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
7,1,0,0,926,0,0,858,700,19.3115,1.5834,2614,A,B,A,B,0,0
7,2,0,0,257,0,0,257,688,19.8436,1.5849,765,A,B,A,B,1,1
7,3,0,0,42,0,0,44,679,18.4055,1.5823,124,A,B,A,B,3,1
7,4,0,0,14,1,3,23,675,19.201,1.5,47,A,B,A,B,1,1
7,5,0,0,6,0,0,11,681,19.487,1.5275,29,A,B,A,B,4,0
7,6,0,0,11,0,0,8,661,17.6818,1.5677,27,A,B,A,B,4,0
7,7,0,0,11,0,0,7,678,18.9079,1.5559,29,A,B,A,B,4,0
7,8,0,0,10,0,0,3,721,19.3703,1.4412,21,A,B,A,neutral,4,0
7,9,0,0,14,0,0,8,649,17.0681,1.5403,31,A,B,A,B,4,0
7,10,0,0,10,0,0,3,667,19.1932,1.3831,17,A,B,A,B,4,0
7,11,0,0,6,0,0,8,662,18.1,1.5262,26,A,B,A,B,4,0
7,12,0,0,10,0,0,3,642,18.1945,1.4282,23,A,neutral,A,B,4,0
7,13,0,0,6,0,0,4,600,16.2572,1.5486,17,A,B,A,B,4,0
7,14,0,0,12,0,0,6,717,19.5522,1.5275,29,A,B,A,B,4,0
7,15,0,0,11,0,0,8,733,19.8739,1.5677,27,A,B,A,B,4,0
7,16,0,0,7,0,0,11,693,19.5433,1.5343,24,A,B,A,B,4,0
7,17,0,0,2,0,0,11,657,18.2095,1.3378,23,A,B,neutral,B,1,1
7,18,1,3,9,0,0,6,676,18.5781,1.543,26,A,B,A,B,2,1
7,19,0,0,6,0,0,4,657,17.7096,1.5567,14,A,B,A,B,1,1
7,20,0,0,7,0,0,7,699,19.5054,1.5683,19,A,B,A,B,1,1
7,21,0,0,13,0,0,9,592,15.7884,1.5618,31,A,B,A,B,3,1
7,22,0,0,11,1,3,12,700,19.2586,1.5275,29,A,B,A,B,4,0
7,23,0,0,8,0,0,14,667,18.2818,1.5363,37,A,B,neutral,B,4,0
7,24,0,0,17,0,0,12,647,17.7356,1.5706,44,A,B,A,B,4,0
7,25,0,0,11,0,0,5,673,18.1391,1.5099,23,A,B,A,B,4,0
