seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
314,1,0,0,905,0,0,852,697,19.0173,1.5845,2648,A,B,A,B,0,0
314,2,0,0,285,0,0,230,668,18.7313,1.5782,752,A,B,A,B,1,1
314,3,0,0,54,0,0,54,664,17.9474,1.5736,149,A,B,A,B,4,1
314,4,0,0,10,0,0,25,655,17.5994,1.3374,41,A,B,A,B,4,1
314,5,1,1,12,0,0,9,668,19.1457,1.571,30,A,B,A,B,4,0
314,6,0,0,10,0,0,11,714,20.9029,1.57,35,A,B,A,B,4,0
314,7,0,0,6,0,0,9,674,19.3145,1.5567,21,A,B,A,B,4,0
314,8,0,0,12,0,0,12,700,20.719,1.5613,32,A,B,A,B,4,0
314,9,0,0,14,0,0,16,672,18.6133,1.5751,42,A,B,A,B,4,0
314,10,0,0,10,0,0,14,658,19.7179,1.5715,36,A,B,neutral,B,1,1
314,11,0,0,21,0,0,16,689,19.0443,1.5689,52,A,B,A,B,3,1
314,12,1,1,15,0,0,10,656,18.0582,1.5477,34,A,B,A,B,4,0
314,13,0,0,9,0,0,8,678,19.1606,1.5403,31,A,B,A,B,1,1
314,14,0,0,8,0,0,7,687,18.6447,1.5303,28,A,B,A,B,4,0
314,15,0,0,7,0,0,6,691,19.58,1.5052,16,A,B,A,B,1,1
314,16,0,0,11,0,0,13,638,17.8981,1.5409,31,A,B,A,B,4,0
314,17,0,0,16,0,0,7,742,20.5955,1.4635,30,A,B,A,B,4,0
314,18,0,0,13,0,0,4,651,18.1986,1.4466,27,A,B,A,B,4,0
314,19,0,0,14,0,0,11,649,17.7592,1.5487,33,A,B,A,B,4,0
314,20,0,0,12,0,0,11,665,18.4576,1.5749,32,A,B,A,B,3,1
314,21,0,0,9,0,0,12,674,19.0696,1.5365,38,A,B,A,B,4,0
314,22,0,0,7,0,0,5,684,18.8523,1.4692,25,A,B,A,neutral,4,0
314,23,0,0,13,0,0,9,700,20.7915,1.5653,35,A,B,A,B,4,0
314,24,0,0,10,0,0,7,659,17.4184,1.4142,39,A,neutral,A,B,4,0
314,25,0,0,11,0,0,9,669,17.7863,1.5426,36,A,B,A,B,4,0
