seed,window_id,step_start,step_end,island_count,max_island_size,island_sizes_str,loop3,loop4,loop5,strength_entropy,X_total,C,B,active_links
1337,1,300,500,4,4,"[4, 4, 3, 3]",0,0,0,1.6251,0.5294,0.3001,0.2293,205
1337,2,500,700,2,5,"[5, 3]",0,0,0,1.5305,0.4504,0.3408,0.1095,210
1337,3,700,900,1,3,[3],0,0,0,1.3638,0.4634,0.4126,0.0508,197
1337,4,900,1100,2,3,"[3, 3]",0,0,0,1.4423,0.4643,0.3788,0.0854,199
1337,5,1100,1300,0,0,[],0,0,0,1.5322,0.3968,0.3401,0.0567,194
1337,6,1300,1500,2,3,"[3, 3]",0,0,0,1.7319,0.467,0.2541,0.2129,202
1337,7,1500,1700,3,3,"[3, 3, 3]",0,0,0,1.4212,0.5088,0.3879,0.1209,215
1337,8,1700,1900,0,0,[],0,0,0,1.3714,0.5257,0.4094,0.1164,232
1337,9,1900,2100,2,4,"[4, 3]",0,0,0,1.1828,0.5549,0.4906,0.0643,171
1337,10,2100,2300,2,3,"[3, 3]",0,0,0,1.6009,0.4164,0.3105,0.1058,189
1337,11,2300,2500,1,3,[3],0,0,0,1.4944,0.457,0.3564,0.1006,169
1337,12,2500,2700,0,0,[],0,0,0,1.3247,0.4752,0.4295,0.0457,175
1337,13,2700,2900,1,3,[3],0,0,0,1.3207,0.5718,0.4312,0.1405,185
1337,14,2900,3100,3,5,"[5, 5, 4]",0,0,0,1.3602,0.4944,0.4142,0.0802,212
1337,15,3100,3300,0,0,[],0,0,0,1.2253,0.5131,0.4723,0.0408,196
1337,16,3300,3500,2,5,"[5, 5]",0,0,0,1.4638,0.4576,0.3696,0.088,216
1337,17,3500,3700,4,5,"[5, 4, 3, 3]",0,0,0,1.6298,0.4348,0.2981,0.1368,234
1337,18,3700,3900,2,4,"[4, 3]",0,0,0,1.476,0.495,0.3643,0.1307,176
1337,19,3900,4100,3,4,"[4, 3, 3]",0,0,0,1.5123,0.5083,0.3487,0.1596,213
1337,20,4100,4300,2,3,"[3, 3]",0,0,0,1.711,0.3736,0.2631,0.1105,190
1337,21,4300,4500,1,4,[4],0,0,0,1.6626,0.4038,0.284,0.1198,192
1337,22,4500,4700,0,0,[],0,0,0,1.2868,0.5092,0.4458,0.0634,205
1337,23,4700,4900,1,3,[3],0,0,0,1.4537,0.4545,0.3739,0.0806,211
1337,24,4900,5100,1,5,[5],0,0,0,1.6201,0.4279,0.3023,0.1256,199
1337,25,5100,5300,0,0,[],0,0,0,1.4115,0.445,0.3921,0.0529,227
