seed,e_syn,e_auto,cycles,cycles_per_1k,cycle_type_count,cycle_type_entropy,top1_share,syn_count,auto_count,syn_auto_ratio,mean_island,coexistence_rate,island_births,island_deaths,spr,X,min_links,runaway,elapsed
999,0.16,0.01,245,49.0,2,0.971,0.6,152,38,4.0,1.84,0.52,46,45,0.12,0.4731,178,False,26.7
123,0.16,0.03,277,55.4,2,0.9242,0.6606,152,62,2.452,1.76,0.48,44,42,0.1297,0.4749,183,False,26.7
1337,0.16,0.03,272,54.4,2,0.9367,0.6471,148,77,1.922,1.84,0.6,46,42,0.1176,0.4684,169,False,26.8
2024,0.16,0.03,243,48.6,2,0.9478,0.6337,150,40,3.75,1.52,0.52,38,36,0.1066,0.4733,171,False,26.6
314,0.16,0.03,220,44.0,2,0.9341,0.65,138,53,2.604,1.48,0.36,37,34,0.1083,0.4836,174,False,26.8
42,0.16,0.03,251,50.2,2,0.9625,0.6135,145,49,2.959,1.44,0.48,36,35,0.1304,0.4729,176,False,27.3
456,0.16,0.03,237,47.4,2,0.9663,0.6076,150,38,3.947,1.64,0.56,41,40,0.1172,0.4838,174,False,26.6
55,0.16,0.03,198,39.6,2,0.9733,0.596,120,40,3.0,1.56,0.44,39,37,0.1268,0.4691,165,False,26.8
7,0.16,0.03,254,50.8,2,0.9741,0.5945,156,35,4.457,1.8,0.6,45,44,0.1032,0.4773,170,False,27.2
789,0.16,0.03,243,48.6,2,0.9541,0.6255,139,55,2.527,1.96,0.6,49,49,0.126,0.4711,164,False,26.8
999,0.16,0.03,246,49.2,2,0.97,0.6016,152,39,3.897,1.84,0.52,46,45,0.12,0.4731,178,False,26.6
