seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
22,5,5,20,1,unformed,,0.0,0.0,0.0,0.0,0.955724,0.0,0.0,0.0,0.980331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.638364,0.312578,0.139535,0.28723,0.105747,0.717802,0.384111,cold_start,16,0.031499,0.391634,1.358581
22,65,15,20,1,unformed,,0.666667,0.0,0.0,0.0,0.840416,0.0,0.0,0.0,0.963205,0.0,0.0,0.0,12.283156,0.0,0.0,0.0,34.164214,0.411721,0.313953,0.240911,0.245022,0.847,0.293203,cold_start,32,0.021424,0.348316,-1.749439
22,66,16,20,1,unformed,,0.0,0.0,0.0,0.0,0.864662,0.0,0.0,0.0,0.931875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.28177,0.313528,0.05814,0.410641,0.213975,0.571355,0.383119,cold_start,8,0.034196,0.529966,0.437478
22,67,17,20,1,unformed,,0.333333,0.0,0.0,0.0,0.775054,0.0,0.0,0.0,0.950434,0.0,0.0,0.0,13.819448,0.0,0.0,0.0,10.934901,0.519169,0.104651,0.58696,0.610536,0.774531,0.218804,cold_start,11,0.033274,0.386885,-1.003102
22,68,18,20,1,unformed,,0.0,0.0,0.0,0.0,0.870965,0.0,0.0,0.0,0.960511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.828246,0.285356,0.081395,0.076802,0.156942,0.826286,0.413677,cold_start,9,0.021908,0.644229,-2.829922
22,20,20,20,1,unformed,,0.0,0.0,0.0,0.0,0.917901,0.0,0.0,0.0,0.99168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.557737,0.323549,0.023256,0.002206,0.85498,0.413755,0.372802,cold_start,4,0.011764,0.138743,-0.16634
22,22,22,20,1,unformed,,0.0,0.0,0.0,0.0,0.860802,0.0,0.0,0.0,0.922598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.576052,0.24677,0.034884,0.10674,0.561603,0.283852,0.459526,cold_start,5,0.031422,0.401668,1.187031
22,72,22,20,1,unformed,,0.666667,0.0,0.0,0.0,0.824677,0.0,0.0,0.0,0.955949,0.0,0.0,0.0,12.700317,0.0,0.0,0.0,25.706197,0.480233,0.453488,0.467717,0.613897,0.38583,0.243286,cold_start,43,0.025371,0.06024,1.457995
22,73,23,20,1,unformed,,0.333333,0.0,0.0,0.0,0.741229,0.0,0.0,0.0,0.906303,0.0,0.0,0.0,9.910478,0.0,0.0,0.0,26.634471,0.436836,0.27907,0.326043,0.253067,0.889164,0.273815,cold_start,28,0.030318,0.204397,1.786013
22,74,24,20,1,unformed,,0.0,0.0,0.0,0.0,0.868055,0.0,0.0,0.0,0.929535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.445511,0.230744,0.116279,0.005405,0.538109,0.263183,0.48003,cold_start,12,0.02535,0.395496,2.113341
22,29,29,20,1,unformed,,0.666667,0.0,0.0,0.0,0.892722,0.0,0.0,0.0,0.959221,0.0,0.0,0.0,6.307545,0.0,0.0,0.0,33.271132,0.658138,0.709302,0.262746,0.671827,0.988677,0.149849,cold_start,66,0.025019,0.179788,2.036862
22,30,30,20,1,unformed,,0.333333,0.0,0.0,0.0,0.829227,0.0,0.0,0.0,0.938143,0.0,0.0,0.0,19.197074,0.0,0.0,0.0,26.891176,0.33432,0.325581,0.201216,0.402847,0.407636,0.362023,cold_start,32,0.026487,0.176586,0.426172
22,31,31,20,1,unformed,,0.0,0.0,0.0,0.0,0.817605,0.0,0.0,0.0,0.953972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.461464,0.440226,0.174419,0.495065,0.633601,0.45782,0.271298,cold_start,19,0.022454,0.130263,-3.068135
22,32,32,20,1,unformed,,0.333333,0.0,0.0,0.0,0.814091,0.0,0.0,0.0,0.943121,0.0,0.0,0.0,19.120362,0.0,0.0,0.0,34.490318,0.429916,0.430233,0.231694,0.094138,0.963599,0.279026,cold_start,42,0.028987,0.381625,-1.610506
22,83,33,20,1,unformed,,0.0,0.0,0.0,0.0,0.84439,0.0,0.0,0.0,0.936513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97765,0.46604,0.069767,0.029296,0.798733,0.966363,0.252877,cold_start,8,0.024903,0.198609,-2.670097
22,34,34,20,1,unformed,,0.0,0.0,0.0,0.0,0.796406,0.0,0.0,0.0,0.909922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.691545,0.133181,0.034884,0.071556,0.37815,0.048135,0.626162,cold_start,5,0.032713,0.620709,1.761761
22,36,36,20,1,unformed,,0.333333,0.0,0.0,0.0,0.661441,0.0,0.0,0.0,0.936788,0.0,0.0,0.0,22.85342,0.0,0.0,0.0,33.867001,0.463968,0.906977,0.321042,0.254774,0.373079,0.254308,cold_start,83,0.037188,0.243811,-2.374922
22,87,37,20,1,unformed,,1.0,0.0,0.0,0.0,0.804614,0.0,0.0,0.0,0.919303,0.0,0.0,0.0,13.044637,0.0,0.0,0.0,25.695168,0.526893,0.104651,0.346427,0.753261,0.903233,0.214249,cold_start,13,0.053148,0.126074,-3.012563
22,43,43,20,1,unformed,,1.0,0.0,0.0,0.0,0.833374,0.0,0.0,0.0,0.947704,0.0,0.0,0.0,11.517903,0.0,0.0,0.0,32.993761,0.698732,1.081395,0.31878,0.604915,0.789837,0.134162,cold_start,98,0.030318,0.238649,1.587149
22,49,49,20,1,unformed,,0.5,0.0,0.0,0.0,0.760285,0.0,0.0,0.0,0.931029,0.0,0.0,0.0,17.272857,0.0,0.0,0.0,34.150399,0.506412,0.511628,0.255082,0.412502,0.846438,0.226541,cold_start,49,0.028331,0.129451,-2.78515
22,5,55,20,2,unformed,,0.75,0.75,0.0,0.0,0.725287,-0.230437,0.0,0.0,0.892613,-0.087718,0.0,0.0,7.765601,7.765601,0.0,0.0,26.638364,0.501697,0.488372,0.290825,0.309147,0.918443,0.22947,cold_start,46,0.027904,0.188234,0.215811
22,65,65,20,2,unformed,,0.4,-0.266667,0.0,0.0,0.799225,-0.041192,0.0,0.0,0.943602,-0.019604,0.0,0.0,14.764922,2.481767,0.0,0.0,34.164214,0.448147,0.662791,0.234075,0.539329,0.356391,0.265508,cold_start,62,0.02826,0.054008,2.992452
22,66,66,20,2,unformed,,0.0,0.0,0.0,0.0,0.780059,-0.084602,0.0,0.0,0.909675,-0.0222,0.0,0.0,0.0,0.0,0.0,0.0,19.28177,0.254139,0.081395,0.415829,0.464709,0.054622,0.450393,cold_start,10,0.029007,0.7807,-1.529089
22,67,67,20,2,unformed,,0.2,-0.133333,0.0,0.0,0.791946,0.016891,0.0,0.0,0.93838,-0.012054,0.0,0.0,17.054105,3.234657,0.0,0.0,10.934901,0.360141,0.093023,0.595849,0.350143,0.401547,0.337435,cold_start,10,0.024384,0.647278,-2.174865
22,68,68,20,2,unformed,,0.0,0.0,0.0,0.0,0.821629,-0.049336,0.0,0.0,0.960557,4.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,11.828246,0.260622,0.127907,0.077202,0.698295,0.139083,0.442509,cold_start,13,0.021508,0.102876,0.202876
22,20,70,20,2,unformed,,0.0,0.0,0.0,0.0,0.796769,-0.121131,0.0,0.0,0.747902,-0.243778,0.0,0.0,0.0,0.0,0.0,0.0,12.557737,0.256993,0.046512,0.026147,0.598266,0.357047,0.446905,cold_start,6,0.040116,0.395457,-2.587887
22,22,72,20,2,unformed,,0.0,0.0,0.0,0.0,0.767124,-0.093678,0.0,0.0,0.861164,-0.061434,0.0,0.0,0.0,0.0,0.0,0.0,11.576052,0.284463,0.0,0.138162,0.360371,0.639319,0.414684,cold_start,2,0.0,0.602899,2.303766
22,72,72,20,2,unformed,,0.4,-0.266667,0.0,0.0,0.603727,-0.22095,0.0,0.0,0.941917,-0.014032,0.0,0.0,11.490571,-1.209746,0.0,0.0,25.706197,0.297119,0.209302,0.467091,0.401986,0.110095,0.400632,cold_start,22,0.025998,0.272152,0.591748
22,73,73,20,2,unformed,,0.4,0.066667,0.0,0.0,0.742313,0.001084,0.0,0.0,0.942956,0.036654,0.0,0.0,17.02884,7.118361,0.0,0.0,26.634471,0.227638,0.5,0.330707,0.025449,0.054396,0.484108,cold_start,47,0.025655,0.432016,-1.178267
22,74,74,20,2,unformed,,0.0,0.0,0.0,0.0,0.867156,-0.000899,0.0,0.0,0.928768,-0.000768,0.0,0.0,0.0,0.0,0.0,0.0,12.445511,0.338301,0.069767,0.009292,0.649669,0.624474,0.358119,cold_start,8,0.029237,0.283936,0.978313
22,29,79,20,2,unformed,,0.8,0.133333,0.0,0.0,0.730585,-0.162137,0.0,0.0,0.953482,-0.005738,0.0,0.0,10.572378,4.264833,0.0,0.0,33.271132,0.552085,0.232558,0.259127,0.731872,0.984782,0.20004,cold_start,25,0.028638,0.119743,2.120243
22,30,80,20,2,unformed,,0.4,0.066667,0.0,0.0,0.718308,-0.110919,0.0,0.0,0.949309,0.011166,0.0,0.0,12.846316,-6.350758,0.0,0.0,26.891176,0.455464,0.151163,0.199866,0.563143,0.907685,0.260268,cold_start,17,0.027837,0.01629,-1.144776
22,31,81,20,2,unformed,,0.0,0.0,0.0,0.0,0.782401,-0.035204,0.0,0.0,0.941566,-0.012405,0.0,0.0,0.0,0.0,0.0,0.0,25.461464,0.420319,0.337209,0.491628,0.704598,0.147843,0.286416,cold_start,33,0.025891,0.059267,-1.165386
22,32,82,20,2,unformed,,0.4,0.066667,0.0,0.0,0.82868,0.01459,0.0,0.0,0.940513,-0.002609,0.0,0.0,9.149543,-9.970819,0.0,0.0,34.490318,0.378156,0.639535,0.230862,0.404676,0.237549,0.321275,cold_start,60,0.02982,0.071087,2.163013
22,83,83,20,2,unformed,,0.0,0.0,0.0,0.0,0.788237,-0.056152,0.0,0.0,0.91975,-0.016763,0.0,0.0,0.0,0.0,0.0,0.0,11.97765,0.276681,0.046512,0.021926,0.783065,0.255223,0.423568,cold_start,6,0.032273,0.214276,1.378976
22,34,84,20,2,unformed,,0.0,0.0,0.0,0.0,0.817216,0.02081,0.0,0.0,0.869127,-0.040795,0.0,0.0,0.0,0.0,0.0,0.0,11.691545,0.205004,0.034884,0.082736,0.545443,0.156952,0.514896,cold_start,5,0.021533,0.453416,2.406061
22,36,86,20,2,unformed,,1.0,0.666667,0.0,0.0,0.639183,-0.022258,0.0,0.0,0.937392,0.000603,0.0,0.0,12.879139,-9.974281,0.0,0.0,33.867001,0.363341,0.081395,0.333961,0.071307,0.966701,0.334506,cold_start,12,0.024268,0.427278,-0.510004
22,87,87,20,2,unformed,,0.6,-0.4,0.0,0.0,0.736534,-0.06808,0.0,0.0,0.92826,0.008957,0.0,0.0,11.802094,-1.242543,0.0,0.0,25.695168,0.461862,0.476744,0.375989,0.720604,0.274111,0.255771,cold_start,45,0.023586,0.158731,1.294177
22,43,93,20,2,unformed,,0.714286,-0.285714,0.0,0.0,0.740145,-0.093229,0.0,0.0,0.943682,-0.004022,0.0,0.0,11.868376,0.350473,0.0,0.0,32.993761,0.490742,0.325581,0.318924,0.700022,0.61844,0.236421,cold_start,33,0.030175,0.143542,1.04869
22,49,99,20,2,unformed,,0.428571,-0.071429,0.0,0.0,0.670207,-0.090078,0.0,0.0,0.930581,-0.000448,0.0,0.0,15.829005,-1.443853,0.0,0.0,34.150399,0.245632,0.127907,0.254595,0.264457,0.33557,0.460952,cold_start,16,0.028819,0.277496,0.928237
22,5,105,20,3,unformed,,0.428571,-0.321429,0.0,0.0,0.650341,-0.074946,0.0,0.0,0.949583,0.056969,0.0,0.0,16.557369,8.791768,0.0,0.0,26.638364,0.54617,0.616279,0.296467,0.403179,0.868757,0.203289,cold_start,57,0.022262,0.094202,0.059717
22,65,115,20,3,unformed,,0.428571,0.028571,0.0,0.0,0.762766,-0.036459,0.0,0.0,0.952128,0.008527,0.0,0.0,10.895704,-3.869218,0.0,0.0,34.164214,0.575291,0.883721,0.235016,0.494814,0.687614,0.187786,cold_start,81,0.027319,0.098524,-0.287386
