window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6117,17,5,0,1.9999,0,35.1,0,0,6.58,1.0,6117.0,696,1.0,430,663,233,2379,0.000824,0.0084,403.2445,0,0.0,0.008,0.001,2,0,0,0
2,5000,3854,6,5,0,1.9998,0,39.1,529,3261,5.33,0.839,4627.0,593,1.0,365,26,91,2491,0.000989,0.0078,247.1221,1,0.9,0.0057,0.001,4,0,0,0
3,5000,3435,0,0,1,1.9998,0,52.6,305,3147,4.96,0.8565,4046.5,288,1.0,312,0,53,2280,0.001227,0.0097,263.3028,2,1.9,0.0077,0.0014,0,0,0,0
4,5000,3240,2,5,0,1.9998,0,68.3,77,3186,4.65,0.8756,3736.7,54,1.0,222,2,92,2065,0.001492,0.0179,73.0028,3,2.9,0.0088,0.0021,1,0,0,0
5,5000,3084,4,5,0,1.9998,0,84.2,4,3071,4.44,0.8764,3519.1,13,1.0,151,4,75,1727,0.001945,0.0174,25.7937,4,3.8,0.012,0.0029,2,0,0,0
6,5000,3062,1,3,0,1.9998,0,95.1,4,3058,4.51,0.9036,3388.5,4,1.0,104,3,50,1308,0.002853,0.0312,10.6383,5,4.6,0.0165,0.0048,0,0,0,0
7,5000,3011,1,5,0,1.9989,2,106.8,0,3006,4.39,0.914,3294.1,5,1.0,78,1,27,1031,0.003908,0.0294,18.0505,6,5.4,0.0216,0.0058,1,0,0,0
8,5000,3134,0,0,1,1.9983,2,111.8,0,3129,4.45,0.9618,3258.6,5,1.0,57,0,21,847,0.004876,0.0531,24.5098,7,6.4,0.0274,0.0082,0,0,0,0
9,5000,2968,1,3,0,1.9972,1,124.7,5,2958,4.43,0.9274,3200.4,10,1.0,40,6,23,731,0.005817,0.0542,44.6927,8,6.6,0.0345,0.0123,0,0,0,0
10,5000,3031,1,4,0,1.9985,1,135.5,7,3024,4.43,0.9563,3169.6,7,1.0,36,1,5,570,0.007659,0.0577,47.2973,9,7.2,0.0365,0.0125,0,0,0,0
11,5000,3178,2,5,3,1.9944,2,144.4,3164,0,4.56,1.0022,3171.0,14,1.0,27,2,11,564,0.008281,0.0659,81.0811,10,7.3,0.0443,0.0148,1,1,0,0
12,5000,3044,1,5,0,1.9788,2,149.5,12,3032,4.4,0.9659,3151.5,12,1.0,19,1,9,448,0.010756,0.1074,113.2075,11,7.5,0.0545,0.0204,1,1,0,0
13,5000,3133,0,0,1,1.9175,2,158.3,12,3121,4.5,0.995,3148.8,12,1.0,17,0,2,352,0.013843,0.125,112.1495,12,8.1,0.0661,0.0276,0,0,0,0
14,5000,3051,1,3,3,1.8187,1,161.6,8,3043,4.34,0.973,3135.8,8,1.0,13,1,5,347,0.013407,0.1122,87.9121,13,8.4,0.0804,0.0204,0,2,0,0
15,5000,3123,1,5,3,1.8096,1,161.7,9,3109,4.54,0.9964,3134.2,14,1.0,13,2,2,303,0.0172,0.1395,158.5366,14,8.3,0.0788,0.0283,1,0,0,0
16,5000,2978,0,0,3,1.8973,2,170.1,4,2974,4.39,0.9558,3115.8,4,1.0,11,1,3,284,0.019268,0.129,51.7241,15,9.0,0.0896,0.0229,0,0,0,0
17,5000,3058,1,4,3,1.9717,1,167.9,7,3046,4.45,0.9835,3109.4,12,1.0,13,6,4,290,0.017371,0.1341,162.1622,16,7.4,0.0784,0.0303,0,2,0,0
18,5000,3093,2,5,3,1.9712,1,176.0,11,3072,4.48,0.9953,3107.7,21,1.0,14,2,1,292,0.017228,0.1744,253.012,17,7.7,0.0685,0.0403,2,0,0,0
19,5000,3009,2,5,3,1.9628,2,186.6,7,2982,4.45,0.9713,3097.8,27,1.0,14,2,2,331,0.014745,0.114,250.0,18,7.5,0.0754,0.023,2,1,0,0
20,5000,3036,1,5,3,1.9571,2,176.5,5,3011,4.5,0.9819,3091.9,25,1.0,13,2,3,323,0.016892,0.1262,244.898,19,8.5,0.075,0.0289,1,0,0,0
21,5000,3143,2,5,3,1.904,2,187.2,3120,0,4.51,1.0149,3096.8,23,1.0,16,5,2,340,0.014387,0.1081,221.1538,20,7.4,0.0638,0.0217,1,0,0,0
22,5000,2950,1,5,3,1.8787,2,175.4,9,2933,4.37,0.9569,3082.8,17,1.0,16,1,1,353,0.013875,0.0901,158.8785,21,8.4,0.0617,0.016,1,0,0,0
23,5000,3072,3,5,3,1.8836,2,177.3,12,3055,4.45,0.9968,3081.8,17,1.0,21,9,4,438,0.010863,0.1034,107.9137,22,7.0,0.0498,0.0184,1,0,0,0
24,5000,3087,0,0,3,1.8355,2,199.0,3079,0,4.46,1.0015,3082.3,8,1.0,18,0,3,415,0.012812,0.0962,81.6327,23,9.2,0.0495,0.0211,0,0,0,0
25,4999,3005,0,0,3,1.8619,1,195.2,4,3001,4.45,0.9773,3074.9,4,1.0,16,0,2,378,0.013613,0.1209,44.9438,24,10.9,0.0589,0.0257,0,0,0,0
26,4998,3087,2,5,3,1.8705,1,205.2,3075,0,4.51,1.0036,3076.1,12,1.0,18,2,0,403,0.013531,0.1324,89.5522,25,10.6,0.0569,0.0238,1,0,0,0
27,4997,3034,0,0,3,1.9699,1,202.2,0,3034,4.47,0.9876,3072.1,0,1.0,17,0,1,378,0.014365,0.1158,0.0,26,11.8,0.0549,0.0226,0,1,0,0
28,4994,3055,1,3,3,1.9305,1,199.0,2,3053,4.46,0.995,3070.4,2,1.0,15,1,3,389,0.013742,0.1121,18.5185,27,10.5,0.069,0.0208,0,3,0,0
29,4992,3075,1,5,1,1.8824,1,201.4,3070,0,4.52,1.0013,3070.9,5,1.0,14,1,2,347,0.014371,0.172,56.1798,28,10.9,0.0785,0.0349,1,2,0,0
30,4990,3029,1,3,1,1.9257,2,206.0,0,3025,4.43,0.9876,3066.9,4,1.0,13,3,4,321,0.015463,0.1529,51.9481,29,9.2,0.0882,0.036,0,2,0,0
31,4989,3031,2,5,1,1.9474,2,203.1,5,3022,4.36,0.9894,3063.5,9,1.0,14,4,3,318,0.015393,0.1169,112.6761,30,9.0,0.0693,0.0224,1,0,0,0
32,4988,3095,1,5,1,1.987,2,208.3,3088,0,4.47,1.0093,3066.5,7,1.0,12,1,3,307,0.017642,0.1237,78.6517,31,11.0,0.0836,0.0281,1,1,0,0
33,4988,3052,0,0,1,1.9733,2,209.6,3,3049,4.44,0.9957,3065.1,3,1.0,10,0,2,259,0.020453,0.1282,41.6667,31,10.9,0.0929,0.0297,0,1,0,0
34,4986,3130,0,0,3,1.9801,1,202.6,3123,0,4.52,1.0191,3071.3,7,1.0,13,4,1,233,0.02186,0.1358,94.5946,32,8.9,0.0926,0.0316,0,0,0,0
35,4984,3125,0,0,3,1.9544,1,213.1,3119,0,4.56,1.0158,3076.4,6,1.0,12,0,1,228,0.021835,0.1351,84.507,33,10.7,0.0929,0.0275,0,0,0,0
36,4984,3150,2,5,3,1.9178,1,209.8,3135,0,4.56,1.0216,3083.4,15,1.0,16,4,0,277,0.017363,0.1364,182.9268,34,8.8,0.077,0.0284,1,0,0,0
37,4983,2996,0,0,3,1.944,1,215.2,0,2991,4.43,0.9743,3075.1,5,1.0,10,0,6,277,0.018388,0.1463,69.4444,35,10.5,0.0854,0.0337,0,1,0,0
38,4979,2975,1,4,1,1.9476,1,215.1,4,2966,4.42,0.9705,3065.5,9,1.0,9,1,2,237,0.02102,0.15,120.0,36,10.9,0.0946,0.0229,0,1,0,0
39,4976,3094,3,5,1,1.9907,1,216.1,3081,0,4.49,1.0084,3068.3,13,1.0,11,3,1,266,0.020224,0.1714,191.1765,37,8.5,0.0796,0.0451,1,1,0,0
40,4974,3008,2,4,1,1.9708,2,211.6,8,2995,4.37,0.9822,3062.5,13,1.0,15,5,1,282,0.016992,0.1075,149.4253,19,4.5,0.0914,0.0276,0,1,0,0
41,4973,2947,2,5,1,1.9576,2,212.3,13,2920,4.35,0.9657,3051.5,27,1.0,17,9,7,335,0.012933,0.1262,290.3226,20,4.6,0.0583,0.026,1,0,0,0
42,4971,3062,0,0,1,1.9506,2,201.1,3049,0,4.41,1.0031,3052.5,13,1.0,17,2,2,319,0.013818,0.09,129.0323,21,5.2,0.0714,0.0211,0,0,0,0
43,4968,3032,3,5,3,1.9877,1,204.8,6,3016,4.43,0.9939,3050.6,16,1.0,17,3,3,352,0.013297,0.0982,150.9434,22,5.2,0.0714,0.0204,2,1,0,0
44,4966,3014,2,3,3,1.9839,1,205.7,13,2997,4.4,0.9891,3047.1,17,1.0,21,12,8,371,0.010085,0.0796,166.6667,23,4.4,0.0569,0.022,0,1,0,0
