window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6177,14,5,0,1.9992,0,31.3,0,0,6.64,1.0,6177.0,665,1.0,419,637,218,2239,0.000861,0.0057,412.2753,0,0.0,0.0048,0.001,1,0,0,0
2,5000,3699,1,4,0,1.9992,0,33.3,491,3216,5.24,0.8222,4556.3,483,1.0,396,21,44,2289,0.001041,0.0053,375.2914,1,1.0,0.0053,0.001,0,0,0,0
3,5000,3410,2,3,0,1.9992,0,43.6,272,3151,4.84,0.8594,3994.7,259,1.0,321,10,85,2214,0.001158,0.007,257.2283,2,1.9,0.0031,0.0013,0,0,0,0
4,5000,3122,1,4,0,1.9992,0,64.8,61,3092,4.53,0.8619,3658.0,30,1.0,198,2,125,1921,0.001568,0.0159,44.6571,3,2.9,0.0053,0.0021,0,0,0,0
5,5000,3030,1,5,0,1.9992,0,76.6,5,3020,4.42,0.8786,3448.7,10,1.0,137,2,63,1480,0.002312,0.0214,19.6078,4,3.8,0.0156,0.0031,1,0,0,0
6,5000,3137,0,0,1,1.9994,0,92.8,4,3133,4.47,0.9337,3359.6,4,1.0,99,0,38,1154,0.003119,0.0262,11.6279,5,4.8,0.0236,0.0043,0,0,0,0
7,5000,3082,2,5,0,1.9943,1,104.8,9,3068,4.48,0.9367,3290.2,14,1.0,82,2,19,961,0.003876,0.0405,47.4576,6,5.7,0.0327,0.0067,2,0,0,0
8,5000,3073,0,0,1,1.9911,1,116.9,0,3073,4.46,0.9479,3241.9,0,1.0,52,0,30,741,0.005313,0.0569,0.0,7,6.5,0.0403,0.0102,0,0,0,0
9,5000,3144,1,4,0,1.992,1,127.8,6,3138,4.46,0.9757,3222.4,6,1.0,45,3,10,606,0.006489,0.0514,30.8642,8,7.1,0.0357,0.0095,0,0,0,0
10,5000,3051,1,5,0,1.9816,1,128.5,7,3044,4.47,0.9561,3191.2,7,1.0,43,3,5,556,0.007479,0.0582,38.0435,9,7.4,0.0349,0.0107,1,0,0,0
11,5000,3081,0,0,1,1.9952,2,146.8,5,3076,4.46,0.9711,3172.8,5,1.0,38,0,5,522,0.008059,0.0779,33.557,10,8.2,0.0416,0.0131,0,0,0,0
12,5000,3103,0,0,0,1.9776,1,153.5,5,3098,4.46,0.9813,3162.1,5,1.0,26,0,12,401,0.011172,0.0976,42.735,11,9.5,0.0683,0.0222,0,0,0,0
13,5000,3149,0,0,0,1.9712,1,160.4,0,3149,4.48,0.9964,3160.2,0,1.0,18,0,8,337,0.013081,0.12,0.0,12,10.1,0.0925,0.0277,0,1,0,0
14,5000,3097,0,0,0,1.974,1,161.3,0,3097,4.43,0.9826,3151.8,0,1.0,14,0,4,244,0.018588,0.1,0.0,13,10.8,0.0656,0.0181,0,0,0,0
15,5000,3085,1,5,1,1.9252,1,169.7,5,3080,4.52,0.9814,3143.4,5,1.0,11,1,4,243,0.020542,0.1714,76.9231,14,10.0,0.0971,0.0428,1,0,0,0
16,5000,3157,1,5,3,1.8967,1,175.8,3148,0,4.56,1.0038,3145.0,9,1.0,12,1,0,228,0.021943,0.1528,125.0,15,10.1,0.1019,0.0284,1,0,0,0
17,5000,3084,0,0,3,1.9583,2,174.7,11,3073,4.46,0.9827,3138.3,11,1.0,12,6,6,270,0.016676,0.1667,149.2537,16,6.5,0.0923,0.0374,0,1,0,0
18,5000,3160,1,5,3,1.9778,1,182.9,3152,0,4.58,1.0062,3140.5,8,1.0,12,4,4,240,0.017245,0.1444,83.3333,17,6.2,0.1111,0.0407,1,0,0,0
