window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,5986,13,4,0,1.9989,0,33.5,0,0,6.46,1.0,5986.0,567,1.0,355,539,184,1977,0.001016,0.0061,402.1277,0,0.0,0.0,0.0011,0,0,0,0
2,5000,3577,3,5,0,1.9989,0,38.3,454,3121,5.07,0.8197,4399.3,456,1.0,295,8,68,2014,0.001244,0.0066,319.4939,1,1.0,0.0062,0.001,2,0,0,0
3,5000,3342,2,5,0,1.9989,0,52.8,274,3080,4.86,0.8678,3885.7,262,1.0,258,7,44,1868,0.001535,0.0126,283.5333,2,1.9,0.0086,0.0018,2,0,0,0
4,5000,3044,1,5,0,1.999,0,68.1,62,3003,4.49,0.8634,3561.4,41,1.0,170,2,90,1673,0.001834,0.0194,75.0469,3,2.9,0.0136,0.0026,1,0,0,0
5,5000,3028,3,5,0,1.999,0,79.2,3,3005,4.44,0.8949,3383.6,23,1.0,123,11,58,1380,0.00239,0.0249,54.1176,4,3.6,0.0172,0.0041,3,0,0,0
6,5000,3113,1,4,0,1.9987,2,97.0,4,3094,4.49,0.9415,3306.3,19,1.0,95,1,29,1107,0.003356,0.0351,56.8862,5,4.5,0.0203,0.0054,0,0,0,0
7,5000,3078,0,0,1,1.9972,2,106.5,3,3066,4.54,0.9473,3249.2,12,1.0,76,3,22,935,0.004092,0.0519,42.7046,6,5.2,0.0248,0.0078,0,0,0,0
8,5000,3117,1,5,3,1.9927,1,120.5,3,3109,4.51,0.9681,3219.8,8,1.0,59,1,18,787,0.005234,0.0484,34.632,7,6.2,0.0269,0.009,1,0,0,0
9,5000,3065,1,5,0,1.9947,1,121.3,0,3060,4.44,0.9612,3188.9,5,1.0,55,1,5,673,0.006177,0.0413,23.9234,8,7.0,0.0271,0.0084,1,0,0,0
10,5000,3072,0,0,3,1.9972,2,132.9,0,3072,4.45,0.9698,3167.6,0,1.0,46,0,9,639,0.006559,0.069,0.0,9,7.8,0.0355,0.0121,0,0,0,0
11,5000,3081,0,0,3,1.986,1,143.1,6,3075,4.46,0.9771,3153.2,6,1.0,41,6,11,587,0.007165,0.0782,29.9401,10,7.7,0.0363,0.0134,0,0,0,0
12,5000,3015,2,5,1,1.9979,1,146.7,17,2998,4.39,0.9627,3131.9,17,1.0,32,7,16,563,0.007763,0.0654,107.9137,11,7.2,0.0386,0.014,1,0,0,0
13,5000,3127,1,5,3,1.9938,1,156.0,17,3110,4.5,0.9987,3131.2,17,1.0,25,1,8,471,0.00957,0.0855,124.0876,12,7.6,0.0493,0.0193,1,2,0,0
14,5000,3074,0,0,3,1.9984,2,156.9,13,3061,4.43,0.9841,3123.6,13,1.0,20,0,5,391,0.012216,0.0787,109.2437,13,8.0,0.0567,0.0192,0,0,0,0
15,5000,3160,1,5,3,1.9885,1,170.1,3142,0,4.53,1.0102,3128.1,18,1.0,17,1,4,364,0.013829,0.1,121.9512,14,8.8,0.0601,0.0216,1,0,0,0
16,5000,3101,0,0,3,1.9716,1,171.1,0,3101,4.56,0.9923,3124.9,0,1.0,11,0,6,333,0.014698,0.1048,0.0,15,9.5,0.081,0.021,0,1,0,0
17,5000,3042,1,5,3,1.9499,1,177.6,1,3036,4.41,0.9763,3115.7,6,1.0,12,2,1,283,0.018199,0.1429,72.4638,16,9.7,0.0844,0.0298,1,0,0,0
18,5000,3020,2,5,3,1.8788,1,178.6,3,3012,4.46,0.9724,3105.7,8,1.0,13,3,2,321,0.017111,0.1524,68.6275,16,8.5,0.077,0.0384,1,0,0,0
19,5000,3071,0,0,3,1.8366,2,194.3,0,3071,4.45,0.9899,3102.2,0,1.0,13,0,0,300,0.018943,0.1194,0.0,17,9.5,0.0746,0.0226,0,0,0,0
20,5000,3094,1,5,3,1.8078,1,185.2,0,3089,4.47,0.9976,3101.4,5,1.0,14,1,0,325,0.016696,0.1485,50.0,18,9.8,0.0731,0.0302,1,0,0,0
21,5000,3049,0,0,3,1.7652,1,186.2,3,3046,4.43,0.9847,3096.4,3,1.0,15,3,2,340,0.016217,0.1023,35.2941,19,8.8,0.071,0.0212,0,1,0,0
22,5000,3088,1,5,3,1.7296,1,190.4,3,3081,4.49,0.9975,3095.6,7,1.0,14,1,2,343,0.01555,0.0978,80.4598,20,9.2,0.0725,0.0151,1,1,0,0
23,5000,3082,0,0,3,1.6172,1,199.8,3,3079,4.5,0.996,3094.3,3,1.0,13,0,1,313,0.016511,0.1325,37.037,21,9.6,0.0767,0.0292,0,1,0,0
24,5000,3114,1,4,1,1.8323,1,194.8,3106,0,4.47,1.0058,3096.2,8,1.0,15,3,1,310,0.015046,0.1023,94.1176,22,9.2,0.0713,0.0217,0,0,0,0
25,5000,3100,2,5,3,1.6895,1,198.5,3082,0,4.55,1.0011,3096.6,18,1.0,15,5,5,355,0.014235,0.112,159.292,23,9.3,0.0625,0.0197,1,1,0,0
26,5000,3184,1,5,3,1.8829,2,199.0,3171,0,4.6,1.0261,3105.1,15,1.0,14,1,2,331,0.014581,0.1441,132.7434,24,9.7,0.0686,0.0299,1,1,0,0
27,5000,3075,1,4,3,1.9814,2,202.6,0,3070,4.48,0.9912,3102.2,5,1.0,12,1,3,317,0.017138,0.1262,52.6316,22,8.2,0.0787,0.0188,0,2,0,0
28,4998,3076,1,3,1,1.994,2,203.0,0,3066,4.5,0.9923,3099.7,10,1.0,12,4,4,286,0.017135,0.1466,96.1538,23,7.1,0.0973,0.0317,0,2,0,0
29,4998,3121,0,0,3,1.987,2,202.7,3112,0,4.49,1.0062,3101.7,9,1.0,13,4,3,255,0.017572,0.1622,132.3529,24,7.3,0.0753,0.032,0,0,0,0
30,4998,3047,1,5,3,1.9532,1,203.6,4,3033,4.45,0.984,3096.5,14,1.0,11,1,3,254,0.018747,0.1596,141.1765,25,9.1,0.0864,0.029,1,0,0,0
31,4998,3045,0,0,3,1.9258,1,207.3,6,3034,4.43,0.9849,3091.6,11,1.0,10,2,3,248,0.021478,0.1266,125.0,26,9.5,0.1013,0.0245,0,1,0,0
32,4998,3123,0,0,3,1.8248,1,204.9,3118,0,4.42,1.0092,3094.6,5,1.0,8,0,2,198,0.028184,0.1731,102.0408,27,9.8,0.1314,0.0352,0,1,0,0
33,4998,3022,0,0,3,1.9251,1,208.1,2,3020,4.36,0.9787,3087.7,2,1.0,7,2,3,184,0.028628,0.2368,28.5714,28,11.6,0.1632,0.066,0,1,0,0
