window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6138,18,5,0,1.9996,0,34.0,0,0,6.57,1.0,6138.0,584,1.0,371,550,179,2068,0.000973,0.0064,400.8236,0,0.0,0.0064,0.0011,1,0,0,0
2,5000,3742,2,5,0,1.9997,0,39.3,447,3286,5.26,0.8273,4562.0,456,1.0,351,16,36,2115,0.001188,0.0098,381.59,1,1.0,0.0074,0.0013,2,0,0,0
3,5000,3396,3,5,0,1.9996,0,52.1,265,3138,4.85,0.8566,3990.0,258,1.0,292,17,76,2138,0.001227,0.0102,275.3469,2,1.9,0.0074,0.0016,1,0,0,0
4,5000,3095,4,5,0,1.9996,0,67.8,65,3030,4.55,0.8585,3646.0,65,1.0,194,7,105,1842,0.001648,0.0183,97.561,3,2.7,0.011,0.0025,3,0,0,0
5,5000,3118,0,0,1,1.9997,0,80.5,8,3089,4.53,0.8986,3470.0,29,1.0,133,2,63,1435,0.002403,0.0269,63.0435,4,3.6,0.0186,0.0042,0,0,0,0
6,5000,3095,4,5,0,1.9996,1,96.7,0,3072,4.44,0.9203,3362.9,23,1.0,96,6,43,1192,0.003112,0.0293,62.6703,5,4.3,0.0209,0.0052,2,0,0,0
7,5000,3042,2,5,0,1.9945,1,107.7,0,3032,4.44,0.9267,3282.6,10,1.0,74,4,26,951,0.004203,0.0436,36.3636,6,5.0,0.0252,0.008,1,0,0,0
8,5000,3127,2,4,1,1.9931,2,115.8,4,3123,4.51,0.9627,3248.1,4,1.0,64,4,14,863,0.004446,0.0377,14.8148,7,5.5,0.0253,0.008,0,0,0,0
9,5000,3077,0,0,0,1.993,2,129.4,4,3073,4.41,0.9574,3213.8,4,1.0,57,4,11,781,0.005194,0.0404,19.0476,8,6.1,0.0215,0.009,0,0,0,0
10,5000,3127,1,3,3,1.9733,1,133.2,4,3123,4.45,0.9778,3198.1,4,1.0,48,3,12,693,0.005876,0.0657,20.202,9,6.5,0.0355,0.0125,0,1,0,0
11,5000,3015,0,0,0,1.9241,1,145.3,4,3011,4.42,0.9518,3167.5,4,1.0,37,0,11,633,0.006733,0.0588,28.3688,10,7.6,0.0283,0.0099,0,0,0,0
12,5000,3057,1,3,3,1.9695,1,149.6,4,3048,4.41,0.9703,3150.5,9,1.0,31,4,10,572,0.007788,0.0769,60.8108,11,8.1,0.0407,0.0131,0,1,0,0
13,5000,3078,0,0,3,1.9491,1,158.8,4,3070,4.43,0.9802,3140.2,8,1.0,25,4,10,489,0.009238,0.0685,61.0687,12,7.5,0.0471,0.0149,0,0,0,0
14,5000,3144,4,5,3,1.9649,1,164.8,3127,0,4.49,1.0011,3140.7,17,1.0,24,5,6,499,0.009458,0.0676,117.6471,13,7.5,0.0436,0.0141,3,0,0,0
15,5000,3138,1,5,3,1.8875,1,172.8,0,3128,4.5,0.9993,3140.3,10,1.0,20,1,5,466,0.010833,0.0909,81.9672,14,8.0,0.0537,0.0175,1,1,0,0
16,5000,3044,0,0,3,1.8851,2,175.8,0,3039,4.41,0.9728,3129.0,5,1.0,14,0,6,389,0.013822,0.0992,46.2963,15,9.3,0.0661,0.0167,0,2,0,0
17,5000,3046,2,5,3,1.6909,1,174.6,9,3032,4.49,0.9763,3119.8,14,1.0,15,3,2,349,0.014276,0.125,144.4444,16,8.9,0.0771,0.0292,1,0,0,0
