window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
111,4825,2982,1,3,3,1.802,2,32.8,2982,0,4.49,1.0002,2981.5,0,1.0,12,1,1,239,0.021279,0.1176,0.0
112,4822,2948,2,5,1,1.8443,2,32.8,3,2940,4.44,0.9898,2978.3,8,1.0,12,3,3,262,0.0195,0.1333,98.5915
113,4822,2890,0,0,1,1.922,2,33.9,0,2890,4.42,0.9731,2969.9,0,1.0,11,0,1,229,0.022233,0.1346,0.0
114,4821,2967,2,3,3,1.9334,1,32.8,7,2960,4.43,0.9991,2969.6,7,1.0,16,5,0,263,0.016571,0.1149,84.3373
115,4821,3000,1,5,3,1.9387,1,33.9,2990,0,4.56,1.0092,2972.5,10,1.0,18,6,4,305,0.01435,0.115,94.3396
116,4816,2970,2,3,1,1.988,2,32.9,7,2953,4.44,0.9992,2972.3,17,1.0,22,10,6,335,0.012349,0.1102,151.7857
117,4815,2958,0,0,3,1.9699,2,33.8,5,2943,4.51,0.9957,2970.9,15,1.0,19,1,4,300,0.013092,0.1019,150.5376
118,4813,2984,1,5,1,1.9505,1,33.1,2979,0,4.38,1.004,2972.2,5,1.0,15,1,5,289,0.016612,0.1034,64.1026
119,4811,2942,1,5,1,1.9427,1,34.2,0,2937,4.41,0.9908,2969.3,5,1.0,12,1,4,279,0.017637,0.1333,59.5238
120,4811,2890,0,0,1,1.9419,2,32.9,0,2890,4.46,0.9758,2961.7,0,1.0,10,0,2,228,0.022833,0.1786,0.0
121,4811,3003,0,0,0,1.9785,1,33.0,3002,0,4.5,1.0126,2965.7,1,1.0,9,1,2,209,0.025709,0.1628,0.0
122,4809,2981,0,0,0,1.9183,1,34.2,2981,0,4.47,1.0047,2967.1,0,1.0,7,0,2,178,0.030622,0.2037,0.0
123,4809,2918,0,0,0,1.9547,1,33.0,0,2918,4.39,0.985,2962.4,0,1.0,6,0,1,136,0.037177,0.2162,0.0
124,4807,2935,2,5,3,1.969,1,33.9,0,2925,4.42,0.9916,2959.8,10,1.0,10,5,1,181,0.024512,0.1746,166.6667
125,4805,2979,1,5,3,1.926,1,32.8,2961,0,4.47,1.0059,2961.7,18,1.0,13,4,1,217,0.019097,0.1519,243.2432
126,4803,2852,2,5,3,1.9269,2,32.8,8,2829,4.3,0.9664,2951.2,23,1.0,15,6,4,272,0.016683,0.0879,270.5882
127,4801,2925,1,5,1,1.9583,2,33.8,4,2916,4.46,0.992,2948.7,9,1.0,12,1,4,293,0.015897,0.1275,100.0
128,4801,2895,2,5,2,1.9576,2,32.8,14,2876,4.42,0.9835,2943.6,19,1.0,14,5,3,296,0.015434,0.1196,226.1905
129,4799,2839,2,3,1,1.9463,2,33.9,10,2825,4.32,0.968,2933.7,14,1.0,14,3,3,298,0.016793,0.1647,168.8312
130,4797,3011,0,0,0,1.9247,2,32.8,3011,0,4.57,1.0247,2941.4,3,1.0,13,0,1,246,0.0214,0.1579,40.5405
131,4797,2946,0,0,0,1.9547,1,33.9,2943,0,4.41,1.0014,2941.8,3,1.0,10,0,3,213,0.024031,0.1724,56.6038
132,4795,2871,1,4,3,1.9363,1,32.9,8,2863,4.41,0.9782,2935.1,8,1.0,8,2,4,213,0.022664,0.1731,152.1739
133,4795,2977,0,0,3,1.9261,1,32.9,2970,0,4.47,1.0129,2939.1,7,1.0,7,0,1,163,0.029382,0.18,148.9362
134,4794,2779,1,3,3,1.8729,1,34.0,8,2771,4.33,0.9505,2923.8,8,1.0,7,3,3,168,0.025851,0.2245,173.913
135,4793,2959,1,4,3,1.8992,1,32.9,2946,0,4.43,1.0109,2927.2,13,1.0,12,7,2,177,0.020999,0.1481,250.0
136,4789,2961,2,5,1,1.9003,2,34.0,2945,0,4.45,1.0104,2930.4,16,1.0,12,4,4,222,0.021244,0.1558,202.8986
