window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
1,5000,6000,17,5,0,1.9993,0,18.3,0,0,6.63,1.0,6000.0,604,1.0,376,574,198,2082,0.000972,0.0084,413.9822,0,0.0,0.0084,0.0012,1,0,0,0,0.036959,0.015625,64,0.5772,0.037,0.2368,108,190,78,2088,1394,1433
2,5000,4099,10,5,0,1.9992,0,17.5,434,3616,5.51,0.8674,4742.7,483,1.0,356,29,49,2231,0.001038,0.0096,378.1447,1,0.9,0.0067,0.0012,3,0,0,0,0.044964,0.015625,64,0.6525,0.0756,0.2354,107,169,80,1342,1306,743
3,5000,3648,2,5,0,1.9993,0,17.2,253,3380,5.04,0.8732,4208.8,268,1.0,294,7,69,2115,0.001099,0.0116,255.9923,2,1.9,0.0087,0.0016,1,0,0,0,0.042669,0.015625,64,0.6338,0.1183,0.2398,96,127,71,1000,1345,641
4,5000,3379,0,0,1,1.9992,0,17.1,89,3294,4.89,0.8748,3884.5,85,1.0,199,0,95,1869,0.00129,0.0151,117.2414,3,2.9,0.0104,0.0023,0,0,0,0,0.035921,0.015625,63,0.565,0.1542,0.2423,84,68,47,893,1330,561
5,5000,3272,0,0,0,1.9992,0,16.7,21,3255,4.71,0.8908,3683.3,17,1.0,165,0,34,1432,0.001706,0.025,33.9321,4,3.9,0.0154,0.0039,0,0,0,0,0.053846,0.015625,60,0.7098,0.1926,0.2546,72,54,39,875,1278,476
6,5000,3234,1,5,0,1.9995,0,16.7,3,3227,4.58,0.9097,3555.0,7,1.0,150,4,19,1359,0.001804,0.0384,15.5556,5,4.8,0.0217,0.005,1,0,0,0,0.055437,0.015625,58,0.7181,0.2332,0.269,68,44,38,833,1311,526
7,5000,3269,2,5,0,1.9985,1,16.6,6,3258,4.66,0.9384,3483.5,11,1.0,141,3,12,1348,0.001803,0.0265,22.8311,6,5.7,0.0185,0.005,2,0,0,0,0.059603,0.015625,57,0.7378,0.2845,0.288,63,41,37,835,1301,508
8,5000,3168,1,5,0,1.995,2,16.6,5,3163,4.57,0.9281,3413.4,5,1.0,129,1,13,1273,0.001822,0.0259,12.0773,7,6.7,0.0173,0.0048,1,0,0,0,0.058962,0.015625,54,0.735,0.334,0.3025,58,37,34,831,1201,554
9,5000,3224,0,0,1,1.9974,2,16.6,0,3224,4.65,0.9551,3375.5,0,1.0,114,0,15,1169,0.001959,0.0275,0.0,8,7.6,0.0174,0.0054,0,0,0,0,0.057851,0.015625,51,0.7299,0.3919,0.3169,50,31,33,852,1243,515
10,5000,3351,0,0,0,1.995,1,16.6,3,3348,4.66,0.9941,3371.0,3,1.0,109,3,8,1137,0.001842,0.0289,8.1967,9,8.4,0.0181,0.0059,0,0,0,0,0.060526,0.015625,51,0.7418,0.4291,0.3287,51,27,31,798,1425,524
11,5000,3085,1,5,3,1.9895,1,16.6,1,3079,4.44,0.9283,3323.4,6,1.0,98,2,13,1071,0.002059,0.0379,14.9701,10,9.4,0.0227,0.0075,1,1,0,0,0.078717,0.015625,49,0.8015,0.5078,0.3445,48,23,27,803,1145,564
12,5000,3122,0,0,0,1.9747,1,16.7,0,3117,4.48,0.9482,3292.4,5,1.0,94,0,4,1019,0.002079,0.0377,16.2866,11,10.5,0.0248,0.0068,0,0,0,0,0.072327,0.015625,47,0.784,0.5613,0.3597,47,21,26,780,1233,525
13,5000,3176,1,4,1,1.9236,1,16.6,5,3166,4.62,0.9695,3275.8,10,1.0,88,2,8,968,0.002239,0.0436,34.0136,12,11.3,0.0239,0.0074,0,0,0,0,0.07047,0.015625,47,0.7783,0.6183,0.3692,46,16,26,775,1281,540
14,5000,3170,0,0,1,1.887,1,16.6,5,3163,4.53,0.9719,3261.7,7,1.0,86,7,9,966,0.001923,0.0342,19.3548,13,11.9,0.0214,0.007,0,1,0,0,0.065217,0.015625,46,0.7604,0.6835,0.3789,46,16,24,784,1236,539
15,5000,3172,1,3,3,1.9319,1,16.6,4,3163,4.53,0.9759,3250.5,9,1.0,86,5,5,936,0.002004,0.0328,33.9623,14,12.4,0.0201,0.0075,0,0,0,0,0.072993,0.015625,46,0.7859,0.7565,0.3854,47,14,25,812,1251,495
16,5000,3307,2,5,3,1.9661,1,16.6,3308,0,4.7,1.0205,3259.3,18,1.0,88,11,9,982,0.00198,0.035,52.3077,15,12.4,0.0211,0.0063,1,0,0,0,0.075802,0.015625,47,0.7939,0.8323,0.391,45,14,29,790,1363,559
17,5000,3163,0,0,3,1.9568,2,16.7,3,3155,4.61,0.9736,3248.6,8,1.0,77,0,11,881,0.002306,0.0444,28.9855,16,13.6,0.0262,0.0083,0,0,0,0,0.136519,0.015625,42,0.8855,0.9313,0.3998,39,11,27,781,1303,511
18,5000,3308,1,4,1,1.9852,1,16.7,3343,0,4.71,1.0273,3259.1,5,1.0,75,1,3,879,0.002124,0.0339,18.1818,17,14.7,0.0203,0.0069,0,0,0,0,0.084746,0.015625,42,0.8156,1.0089,0.4061,39,9,27,826,1305,556
19,5000,3180,1,4,1,1.9695,1,16.7,0,3175,4.54,0.9781,3251.2,5,1.0,72,3,6,835,0.002132,0.0328,19.0114,18,15.0,0.0195,0.0063,0,0,0,0,0.083942,0.015625,41,0.8139,1.0864,0.4105,40,5,27,787,1253,555
20,5000,3115,0,0,0,1.9713,2,16.7,0,3110,4.47,0.9619,3238.2,5,1.0,68,0,4,816,0.002064,0.0403,18.797,19,16.5,0.0236,0.0085,0,0,0,0,0.080586,0.015625,41,0.8061,1.1515,0.4173,37,5,26,797,1228,515
21,5000,3169,2,5,1,1.9304,1,16.7,7,3157,4.57,0.9806,3231.6,12,1.0,67,2,3,823,0.002155,0.0449,46.1538,20,16.9,0.0213,0.0084,1,0,0,0,0.074906,0.015625,41,0.7914,1.2264,0.4213,36,4,27,811,1259,514
22,5000,3196,0,0,1,1.8238,1,16.6,0,3196,4.66,0.99,3228.2,0,1.0,66,0,1,809,0.002246,0.0476,0.0,21,18.1,0.0282,0.0109,0,0,0,0,0.080586,0.015625,40,0.8061,1.307,0.4258,36,4,26,826,1247,508
23,5000,3235,1,4,1,1.6982,1,16.7,3246,0,4.59,1.0055,3230.1,2,1.0,64,3,5,811,0.002033,0.035,3.9526,22,18.8,0.0226,0.008,0,0,0,0,0.105058,0.015625,40,0.8513,1.412,0.429,35,4,25,763,1324,537
24,5000,3218,3,5,1,1.8056,1,16.6,8,3205,4.61,0.9966,3229.0,13,1.0,62,3,5,827,0.00242,0.0491,50.9804,23,19.2,0.028,0.0102,2,0,0,0,0.098113,0.015625,40,0.8407,1.5102,0.4269,35,3,24,813,1274,542
25,5000,3231,1,4,2,1.9441,2,16.7,3228,0,4.6,1.0017,3229.5,7,1.0,63,4,3,825,0.002362,0.0353,21.8978,24,19.5,0.0247,0.0086,0,0,0,0,0.070671,0.015625,40,0.7789,1.5808,0.4281,34,4,25,817,1291,564
26,5000,3100,0,0,3,1.9544,2,21.8,6,3094,4.45,0.9636,3217.2,6,1.0,60,2,5,812,0.002296,0.035,19.8413,25,20.1,0.0272,0.0093,0,0,0,0,0.070039,0.015625,39,0.7769,1.6353,0.4288,32,4,24,744,1248,488
27,4999,3214,0,0,3,1.9567,1,16.8,11,3203,4.63,0.9991,3216.9,11,1.0,62,7,5,808,0.002227,0.0394,41.1985,26,20.0,0.0248,0.0083,0,0,0,0,0.078853,0.015625,38,0.8018,1.7142,0.4321,34,4,24,797,1298,557
28,4997,3210,0,0,3,1.987,1,16.7,9,3201,4.65,0.9981,3216.2,9,1.0,59,1,4,785,0.002223,0.0354,32.1285,27,20.7,0.0236,0.009,0,0,0,0,0.074803,0.015625,38,0.7911,1.789,0.4347,32,4,23,837,1212,552
29,4995,3123,0,0,3,1.9299,1,16.9,4,3119,4.5,0.9737,3207.4,4,1.0,55,0,4,743,0.002156,0.0445,16.5975,28,21.7,0.024,0.0102,0,0,0,0,0.093117,0.015625,37,0.8322,1.8821,0.4363,31,4,20,803,1218,537
30,4993,3196,1,5,1,1.9476,1,16.8,4,3187,4.61,0.9968,3206.3,9,1.0,53,1,3,732,0.002275,0.0413,38.2979,29,22.4,0.0302,0.0103,1,0,0,0,0.057851,0.015625,36,0.7299,1.9399,0.436,32,4,17,801,1283,529
31,4992,3116,0,0,3,1.9837,1,16.8,3,3108,4.54,0.9745,3197.7,8,1.0,52,3,4,726,0.002224,0.0583,26.087,30,22.7,0.0301,0.0104,0,0,0,0,0.0875,0.015625,36,0.8214,2.0066,0.4367,33,4,15,779,1230,528
32,4990,3126,0,0,3,1.9814,1,16.8,0,3121,4.56,0.9797,3190.9,5,1.0,51,0,1,689,0.002376,0.0548,23.4742,31,23.6,0.027,0.0108,0,0,0,0,0.068493,0.015625,35,0.7719,2.0751,0.438,32,4,15,785,1235,522
33,4987,3207,1,5,3,1.9955,1,16.7,3214,0,4.59,1.0088,3193.8,8,1.0,52,5,4,698,0.002401,0.0516,33.0579,32,22.9,0.0256,0.0101,1,1,0,0,0.063492,0.015625,37,0.7539,2.1108,0.4377,33,4,15,839,1255,505
34,4985,3234,3,5,3,1.9975,1,16.7,3250,0,4.62,1.0187,3200.1,10,1.0,54,4,2,723,0.002577,0.0545,40.8163,33,22.3,0.0314,0.0117,1,0,0,0,0.066148,0.015625,37,0.7638,2.1614,0.4368,32,4,18,801,1264,571
35,4985,3214,0,0,3,1.9957,2,16.6,3217,0,4.61,1.0056,3202.0,3,1.0,50,0,4,696,0.002375,0.0476,12.1457,34,23.6,0.03,0.0116,0,0,0,0,0.083333,0.015625,35,0.8125,2.1931,0.4365,31,3,16,767,1303,546
36,4984,3195,2,4,3,1.9936,1,16.5,3,3186,4.56,0.998,3201.3,9,1.0,51,3,2,714,0.002353,0.0437,35.7143,35,23.4,0.0296,0.0098,0,0,0,0,0.056769,0.015625,35,0.7248,2.2455,0.4374,31,3,17,804,1265,560
37,4983,3136,0,0,3,1.9861,1,16.6,4,3132,4.58,0.9815,3195.1,4,1.0,49,1,3,710,0.002371,0.0437,13.5135,36,24.6,0.0234,0.0094,0,0,0,0,0.091703,0.015625,34,0.8296,2.2936,0.4383,29,3,17,776,1195,562
38,4982,3135,4,5,3,1.9871,1,16.5,12,3118,4.52,0.9829,3189.4,17,1.0,52,7,4,776,0.002413,0.0593,66.3717,37,23.9,0.0232,0.0108,1,0,0,0,0.063559,0.015625,38,0.7542,2.3571,0.4368,31,3,18,789,1303,493
39,4981,3202,1,4,3,1.9603,1,16.6,3193,0,4.58,1.0047,3191.0,13,1.0,53,3,2,754,0.002494,0.0444,54.1667,38,23.6,0.0263,0.0093,0,0,0,0,0.064516,0.015625,38,0.7578,2.3773,0.4354,30,5,18,846,1308,501
