window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
1,5000,6028,11,4,0,1.9983,0,20.0,0,0,6.62,1.0,6028.0,582,1.0,369,561,192,2041,0.000971,0.0065,411.8896,0,0.0,0.0,0.0011,0,0,0,0,0.035403,0.015625,64,0.5587,0.0354,0.2507,100,177,92,2081,1388,1463
2,5000,4041,5,5,0,1.9984,0,25.2,400,3605,5.46,0.8602,4710.7,436,1.0,344,17,42,2098,0.001126,0.0085,369.4915,1,1.0,0.0075,0.0013,2,0,0,0,0.033854,0.015625,64,0.5385,0.066,0.2514,105,149,90,1362,1286,711
3,5000,3573,2,5,0,1.9984,0,24.4,254,3323,5.1,0.8655,4152.3,250,1.0,286,4,62,2030,0.001083,0.012,247.2799,2,1.9,0.0088,0.0016,1,0,0,0,0.034318,0.015625,64,0.5447,0.0976,0.2526,103,109,74,1043,1305,603
4,5000,3338,0,0,1,1.9984,0,24.2,70,3276,4.76,0.8745,3831.8,62,1.0,196,3,93,1761,0.001336,0.0159,96.5732,3,2.9,0.0132,0.0024,0,0,0,0,0.042384,0.015625,64,0.6313,0.1292,0.2569,81,67,48,896,1316,543
5,5000,3291,1,5,0,1.9984,0,16.5,15,3275,4.69,0.902,3652.9,16,1.0,169,1,28,1374,0.001759,0.0212,33.1263,4,3.9,0.0188,0.0035,1,0,0,0,0.05,0.015625,58,0.6875,0.1657,0.2642,72,56,41,868,1310,520
6,5000,3286,0,0,3,1.999,1,16.5,2,3284,4.7,0.9261,3548.0,2,1.0,157,2,14,1306,0.001763,0.0199,4.1754,5,4.8,0.0144,0.0035,0,0,0,0,0.043825,0.015625,58,0.6435,0.1956,0.2693,68,49,40,860,1293,522
7,5000,3202,0,0,3,1.9989,1,16.3,1,3201,4.56,0.925,3461.5,1,1.0,142,1,16,1232,0.001739,0.0187,0.0,6,5.8,0.0117,0.0038,0,0,0,0,0.070093,0.015625,58,0.7771,0.2657,0.2769,62,42,38,822,1256,517
8,5000,3205,2,5,0,1.9994,1,16.3,11,3194,4.65,0.9414,3404.5,11,1.0,132,3,13,1178,0.001894,0.0323,25.8398,7,6.7,0.0203,0.005,2,0,0,0,0.069479,0.015625,57,0.7751,0.3352,0.2849,56,37,39,812,1266,521
9,5000,3256,2,4,0,1.9984,1,16.3,0,3251,4.71,0.9648,3374.8,5,1.0,124,5,13,1138,0.001945,0.0319,13.8122,8,7.4,0.0199,0.0054,0,0,0,0,0.058511,0.015625,53,0.733,0.3884,0.294,52,31,41,809,1280,545
10,5000,3151,2,5,0,1.9886,2,16.3,8,3134,4.65,0.9451,3334.1,17,1.0,123,8,9,1148,0.001875,0.0265,42.8212,9,8.1,0.0145,0.0049,1,0,0,0,0.079518,0.015625,54,0.8035,0.4679,0.3018,54,28,41,793,1289,491
