window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
1,5000,5941,11,8,0,1.9988,0,18.7,0,0,6.53,1.0,5941.0,583,1.0,365,551,186,2012,0.000999,0.0121,418.5212,0,0.0,0.0,0.0012,0,0,0,0,0.03082,0.015625,63,0.493,0.0308,0.2423,102,170,93,2079,1327,1410
2,5000,4089,6,5,0,1.9988,0,17.6,453,3599,5.54,0.8703,4717.7,490,1.0,354,25,36,2112,0.001077,0.0155,395.7997,1,0.9,0.0062,0.0014,2,0,0,0,0.030941,0.015625,64,0.495,0.0618,0.2327,103,158,93,1344,1283,775
3,5000,3507,1,4,0,1.9989,0,17.0,248,3257,5.01,0.8557,4122.8,250,1.0,279,2,77,2051,0.001103,0.0099,257.732,2,1.9,0.0062,0.0017,0,0,0,0,0.037037,0.015625,64,0.5781,0.093,0.2421,93,109,77,1005,1217,601
4,5000,3396,0,0,1,1.9989,0,23.1,77,3329,4.77,0.8886,3837.7,67,1.0,204,0,75,1799,0.001308,0.0175,99.2593,3,2.9,0.01,0.0024,0,0,0,0,0.038653,0.015625,63,0.5958,0.1267,0.2559,87,62,55,918,1280,547
5,5000,3337,2,4,0,1.9989,0,23.7,19,3322,4.72,0.9102,3672.8,15,1.0,189,5,20,1508,0.001609,0.0216,28.463,4,3.8,0.0144,0.0035,0,0,0,0,0.034234,0.015625,60,0.5436,0.1537,0.2607,76,57,56,872,1326,528
6,5000,3236,0,0,1,1.9988,1,23.5,4,3232,4.66,0.9121,3548.0,4,1.0,166,0,23,1388,0.001667,0.0266,7.8278,5,4.8,0.0114,0.0038,0,0,0,0,0.043643,0.015625,60,0.642,0.1916,0.2707,67,47,52,825,1275,507
7,5000,3260,1,4,3,1.9924,1,23.7,7,3253,4.59,0.9379,3476.0,7,1.0,155,1,12,1340,0.001612,0.0194,15.7658,6,5.7,0.0075,0.0037,0,0,0,0,0.040948,0.015625,57,0.6184,0.2261,0.2817,61,42,52,837,1269,551
8,5000,3205,2,4,0,1.9942,1,24.2,5,3200,4.63,0.9383,3415.8,5,1.0,151,2,6,1321,0.001628,0.0207,10.7991,7,6.7,0.0124,0.0037,0,0,0,0,0.060166,0.015625,58,0.7403,0.2863,0.287,59,40,52,813,1255,546
9,5000,3209,2,3,0,1.9899,2,18.3,5,3199,4.69,0.951,3374.4,10,1.0,142,7,16,1276,0.001686,0.0349,22.5225,8,7.4,0.0185,0.0048,0,0,0,0,0.050109,0.015625,58,0.6882,0.3364,0.2891,56,37,49,804,1244,547
10,5000,3223,2,4,0,1.9648,2,16.7,6,3212,4.65,0.963,3346.9,11,1.0,134,5,13,1215,0.001701,0.0218,25.3456,9,8.1,0.0207,0.0043,0,0,0,0,0.054585,0.015625,58,0.7137,0.391,0.2855,57,31,46,851,1264,509
11,5000,3244,1,3,1,1.9738,2,16.7,10,3224,4.58,0.9742,3329.7,20,1.0,134,8,8,1215,0.001687,0.0226,47.7327,10,8.7,0.0045,0.0041,0,0,0,0,0.085973,0.015625,57,0.8183,0.477,0.2887,54,30,50,833,1303,517
12,5000,3238,1,5,3,1.9579,2,16.6,12,3221,4.67,0.9766,3315.6,17,1.0,130,3,7,1207,0.001627,0.0341,41.1311,11,9.5,0.0195,0.0046,1,0,0,0,0.077859,0.015625,57,0.7993,0.5548,0.2905,53,28,49,812,1300,529
13,5000,3234,2,5,1,1.9004,2,16.6,15,3210,4.55,0.9788,3304.0,24,1.0,121,2,11,1199,0.001724,0.0301,63.1579,12,10.6,0.0201,0.0055,2,0,0,0,0.080201,0.015625,53,0.8052,0.635,0.2946,50,25,46,825,1303,544
14,5000,3141,0,0,3,1.9339,2,16.6,3,3133,4.54,0.957,3282.2,8,1.0,109,0,12,1073,0.001886,0.0485,22.409,13,11.5,0.0248,0.0067,0,0,0,0,0.09434,0.015625,51,0.8344,0.6754,0.302,44,21,44,807,1193,523
15,5000,3245,0,0,3,1.9287,1,16.6,0,3245,4.59,0.9901,3277.6,0,1.0,100,0,9,1030,0.001763,0.0389,0.0,14,12.7,0.0217,0.0066,0,0,0,0,0.066667,0.015625,50,0.7656,0.7338,0.3107,41,18,41,835,1314,507
