window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
1,5000,6012,11,7,0,1.9983,0,18.5,0,0,6.65,1.0,6012.0,603,1.0,375,575,200,2046,0.000972,0.0099,405.6604,0,0.0,0.0078,0.0012,2,0,0,0,0.035975,0.015625,63,0.5657,0.036,0.2436,97,178,100,2049,1406,1443
2,5000,4072,3,5,0,1.9985,0,17.4,467,3596,5.49,0.8656,4738.0,476,1.0,358,27,44,2118,0.001064,0.0086,383.3737,1,1.0,0.007,0.0012,1,0,0,0,0.035099,0.015625,64,0.5548,0.0665,0.2412,97,162,99,1292,1283,765
3,5000,3599,1,4,0,1.9985,0,17.0,292,3342,5.1,0.8695,4191.0,257,1.0,292,4,70,2045,0.001124,0.01,248.5437,2,1.9,0.0087,0.0016,0,0,0,0,0.038491,0.015625,64,0.5941,0.1022,0.2418,89,119,84,908,1313,664
4,5000,3323,2,5,0,1.9985,0,16.9,85,3253,4.76,0.8691,3854.6,70,1.0,195,7,104,1862,0.001287,0.0205,101.4493,3,2.8,0.01,0.0026,1,0,0,0,0.03744,0.015625,64,0.5827,0.1294,0.2425,70,61,64,878,1272,519
5,5000,3290,0,0,3,1.9985,0,16.5,5,3285,4.68,0.8973,3666.4,5,1.0,148,0,47,1465,0.001672,0.0229,9.8814,4,3.8,0.0185,0.0037,0,0,0,0,0.042328,0.015625,61,0.6309,0.159,0.2476,56,42,50,880,1274,557
6,5000,3389,0,0,0,1.9983,1,16.4,0,3389,4.77,0.9448,3587.1,0,1.0,130,0,18,1164,0.002081,0.0263,0.0,5,4.8,0.0211,0.0046,0,0,0,0,0.039474,0.015625,60,0.6042,0.1906,0.2514,48,35,47,855,1339,580
7,5000,3207,2,5,0,1.9988,1,16.4,4,3198,4.56,0.9184,3492.1,9,1.0,116,2,16,1103,0.002181,0.0402,26.7857,6,5.7,0.0206,0.0062,2,0,0,0,0.074713,0.015625,55,0.7909,0.2363,0.2713,43,31,42,840,1298,510
8,5000,3247,0,0,1,1.9984,1,16.5,0,3242,4.63,0.9445,3437.6,5,1.0,106,0,10,1042,0.002105,0.0367,14.7059,7,6.7,0.0202,0.0056,0,0,0,0,0.062147,0.015625,53,0.7486,0.2815,0.2862,42,25,39,798,1294,545
9,5000,3214,3,5,0,1.9954,1,16.3,6,3193,4.61,0.9473,3392.9,21,1.0,103,4,7,1062,0.002413,0.0375,60.0601,8,7.5,0.0205,0.0064,3,0,0,0,0.051873,0.015625,52,0.6988,0.3218,0.2933,37,24,42,788,1335,504
10,5000,3324,2,5,0,1.9955,1,16.3,4,3301,4.72,0.9833,3380.4,23,1.0,97,2,8,1047,0.002409,0.0357,65.1558,9,8.3,0.0209,0.0064,1,0,0,0,0.054945,0.015625,51,0.7156,0.3542,0.3027,35,22,40,838,1312,522
11,5000,3168,1,4,1,1.9923,2,16.3,14,3140,4.61,0.9471,3345.0,28,1.0,95,7,9,1009,0.002453,0.0384,79.5455,10,8.7,0.0186,0.0069,0,0,0,0,0.046575,0.015625,50,0.6645,0.3932,0.3079,35,19,41,831,1221,502
12,5000,3291,1,5,3,1.9938,2,16.4,19,3267,4.68,0.9863,3336.7,24,1.0,88,1,8,970,0.00238,0.0478,73.3945,11,9.5,0.016,0.0079,1,0,0,0,0.065672,0.015625,47,0.7621,0.4356,0.3143,31,16,41,849,1281,541
13,5000,3270,1,5,1,1.9995,2,16.3,16,3246,4.7,0.9828,3327.2,24,1.0,86,3,5,970,0.002314,0.0321,70.9877,12,10.2,0.0197,0.0066,1,0,0,0,0.043732,0.015625,47,0.6427,0.4735,0.3208,30,16,40,801,1324,515
14,5000,3144,4,5,1,1.9462,2,16.3,23,3116,4.56,0.9519,3302.7,28,1.0,87,4,3,1021,0.002405,0.0327,85.8896,13,10.7,0.0198,0.007,3,0,0,0,0.080357,0.015625,47,0.8056,0.5122,0.3273,33,15,39,831,1234,502
15,5000,3206,2,5,1,1.9511,2,16.3,4,3197,4.59,0.9743,3290.6,9,1.0,80,2,9,1015,0.002549,0.038,27.6923,14,11.6,0.0228,0.0083,1,0,0,0,0.055556,0.015625,49,0.7188,0.5649,0.3315,33,12,35,792,1276,543
16,5000,3248,2,3,3,1.9221,2,16.4,5,3234,4.63,0.9885,3285.6,14,1.0,85,11,6,1016,0.002223,0.0312,42.6829,15,11.3,0.019,0.0067,0,0,0,0,0.0625,0.015625,49,0.75,0.6217,0.3351,37,13,35,851,1258,543
17,5000,3262,0,0,3,1.9426,2,16.4,5,3252,4.68,0.9936,3283.0,10,1.0,80,0,5,986,0.002114,0.0329,30.9598,16,12.3,0.02,0.0076,0,0,0,0,0.053892,0.015625,48,0.7101,0.6666,0.3365,36,12,32,856,1252,553
18,5000,3273,0,0,3,1.9608,1,16.4,6,3267,4.66,0.9973,3281.9,6,1.0,75,1,6,958,0.002083,0.0305,17.4825,17,13.4,0.0193,0.0071,0,0,0,0,0.064407,0.015625,47,0.7574,0.7276,0.3405,34,10,31,811,1284,538
19,5000,3181,0,0,3,1.902,1,16.4,0,3181,4.59,0.9722,3271.9,0,1.0,71,0,4,921,0.002081,0.0347,0.0,18,14.4,0.0211,0.0075,0,0,0,0,0.072917,0.015625,46,0.7857,0.7866,0.3454,31,9,31,771,1267,549
20,5000,3149,0,0,3,1.9075,1,16.6,2,3147,4.57,0.9659,3260.2,2,1.0,67,2,6,903,0.002267,0.0383,3.5714,19,15.6,0.0231,0.0084,0,0,0,0,0.062718,0.015625,43,0.7509,0.8424,0.3516,29,8,30,784,1297,527
21,5000,3201,1,5,3,1.9259,1,16.7,5,3196,4.63,0.9836,3254.5,5,1.0,65,1,3,889,0.002317,0.053,18.1159,20,16.2,0.0241,0.0101,1,0,0,0,0.077739,0.015625,43,0.799,0.8948,0.3546,28,8,29,773,1282,539
22,5000,3140,0,0,3,1.9543,1,16.8,5,3135,4.49,0.9681,3243.6,5,1.0,61,0,4,878,0.002427,0.0542,17.6056,21,17.5,0.0255,0.0118,0,0,0,0,0.088136,0.015625,41,0.8227,0.9626,0.3607,25,8,28,789,1249,489
23,5000,3214,2,5,3,1.9785,1,16.5,9,3195,4.59,0.9917,3240.8,19,1.0,59,6,8,865,0.002373,0.0502,66.6667,22,17.2,0.0258,0.0104,2,1,0,0,0.073579,0.015625,39,0.7876,1.0228,0.3658,22,8,29,834,1224,545
24,5000,3249,3,4,3,1.8674,1,16.9,3241,0,4.62,1.0051,3242.5,18,1.0,62,6,3,910,0.002596,0.0435,51.9481,23,16.9,0.024,0.0098,0,0,0,0,0.07764,0.015625,40,0.7988,1.0631,0.3679,22,8,32,825,1281,543
