window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
1,5000,6121,15,4,0,1.9989,0,18.8,0,0,6.7,1.0,6121.0,644,1.0,405,618,213,2206,0.000903,0.0058,403.7618,0,0.0,0.0,0.001,0,0,0,0,0.038703,0.015625,64,0.5963,0.0387,0.2373,127,186,92,2149,1374,1468
2,5000,4082,4,5,0,1.999,0,17.8,486,3573,5.52,0.8591,4775.7,509,1.0,378,16,43,2259,0.00104,0.0092,379.7753,1,1.0,0.0072,0.0011,2,0,0,0,0.041522,0.015625,64,0.6237,0.0802,0.235,126,169,83,1301,1314,785
3,5000,3568,5,5,0,1.999,0,17.2,286,3271,5.1,0.8599,4188.8,297,1.0,320,11,69,2251,0.001031,0.0121,261.9469,2,1.9,0.0088,0.0016,4,0,0,0,0.041903,0.015625,64,0.6271,0.1221,0.243,118,125,77,985,1290,596
4,5000,3346,1,5,0,1.9992,0,17.1,103,3240,4.8,0.8723,3860.1,106,1.0,228,3,95,2007,0.001226,0.018,133.1658,3,2.9,0.0108,0.0024,1,0,0,0,0.034995,0.015625,64,0.5535,0.1539,0.2351,94,70,64,880,1258,552
5,5000,3260,1,5,0,1.9992,0,17.0,17,3235,4.7,0.892,3662.4,25,1.0,161,2,69,1658,0.0015,0.0198,41.0959,4,3.8,0.0152,0.0031,1,0,0,0,0.041159,0.015625,64,0.6204,0.1799,0.2327,73,45,43,843,1295,519
6,5000,3251,0,0,3,1.9992,2,16.8,4,3243,4.71,0.9171,3544.9,8,1.0,121,0,40,1362,0.001754,0.0276,17.3536,5,4.8,0.0148,0.0042,0,0,0,0,0.03937,0.015625,63,0.6031,0.1976,0.24,58,27,36,862,1309,491
7,5000,3112,0,0,0,1.9998,1,16.6,2,3110,4.51,0.9055,3436.6,2,1.0,95,0,26,1123,0.002083,0.0303,5.4945,6,5.8,0.0152,0.0049,0,0,0,0,0.042929,0.015625,57,0.636,0.2203,0.248,46,20,29,832,1192,515
8,5000,3228,1,4,0,2.0,1,16.5,3,3225,4.6,0.9521,3390.3,3,1.0,92,1,4,973,0.002447,0.0311,9.5541,7,6.7,0.0198,0.0058,0,0,0,0,0.052795,0.015625,54,0.704,0.2576,0.2536,45,19,28,791,1288,524
9,5000,3144,2,4,0,1.997,1,16.6,0,3141,4.51,0.941,3341.0,3,1.0,88,3,7,957,0.002347,0.0311,6.3291,8,7.5,0.0202,0.0061,0,0,0,0,0.059006,0.015625,54,0.7352,0.2918,0.2636,41,17,30,793,1233,490
10,5000,3192,2,5,0,1.9994,2,16.5,0,3182,4.6,0.9632,3313.9,10,1.0,85,2,5,949,0.002495,0.0408,32.1543,9,8.2,0.0241,0.0076,2,0,0,0,0.059561,0.015625,53,0.7377,0.32,0.2709,39,14,32,817,1258,527
