window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
68,4954,3177,2,4,3,1.8774,1,16.4,3162,0,4.58,1.001,3174.9,16,1.0,57,3,1,1070,0.001746,0.0382,49.3421,67,32.4,0.0202,0.0088,0,0,0,0,0.05414,0.015625,38,0.7114,4.0932,0.4273,24,5,28,833,1243,514
69,4952,3149,0,0,3,1.9438,1,16.4,0,3149,4.59,0.9926,3172.4,0,1.0,57,0,0,1062,0.001582,0.041,0.0,68,33.4,0.0192,0.0086,0,0,0,0,0.085324,0.015625,37,0.8169,4.1785,0.4279,24,5,28,792,1270,498
70,4951,3144,1,5,3,1.8955,1,16.4,0,3139,4.55,0.9919,3169.7,5,1.0,55,1,3,1066,0.001624,0.0456,16.835,69,34.5,0.0207,0.0076,1,0,0,0,0.068404,0.015625,37,0.7716,4.2469,0.4283,23,5,27,763,1274,532
71,4947,3056,0,0,3,1.9799,1,16.3,2,3050,4.45,0.9674,3158.9,6,1.0,55,6,6,1058,0.001554,0.0475,13.1579,70,35.3,0.0207,0.0085,0,1,0,0,0.063291,0.015625,38,0.7531,4.3007,0.4287,23,6,26,778,1184,503
72,4945,3144,0,0,3,1.9591,1,16.5,0,3144,4.57,0.9957,3157.4,0,1.0,54,0,1,1019,0.001444,0.0399,0.0,71,36.9,0.0216,0.0076,0,0,0,0,0.070552,0.015625,35,0.7785,4.3652,0.4291,23,5,26,809,1248,512
73,4941,3203,0,0,3,1.9077,1,16.3,3220,0,4.67,1.0193,3163.9,5,1.0,57,5,2,1033,0.001444,0.037,14.7493,72,35.9,0.0189,0.0074,0,0,0,0,0.065527,0.015625,36,0.7615,4.4136,0.4298,24,5,28,805,1289,502
74,4938,3111,1,5,3,1.9621,1,16.4,8,3098,4.56,0.9849,3158.8,13,1.0,59,4,2,1065,0.001514,0.0431,41.6667,73,35.7,0.0186,0.0076,1,0,0,0,0.092308,0.015625,37,0.8307,4.4659,0.4306,25,5,29,799,1188,536
75,4935,3203,0,0,3,1.9716,1,16.4,3223,0,4.68,1.0201,3165.5,6,1.0,58,1,2,1054,0.001464,0.0314,14.881,74,36.9,0.019,0.0072,0,0,0,0,0.071429,0.015625,36,0.7812,4.5202,0.4309,25,5,28,816,1266,527
76,4935,3136,2,5,3,1.9788,1,16.3,5,3127,4.6,0.9916,3162.7,9,1.0,58,2,2,1092,0.001404,0.0426,26.3158,75,37.7,0.0191,0.0076,2,0,0,0,0.059659,0.015625,35,0.7381,4.5628,0.4316,23,6,29,789,1265,520
77,4934,3147,1,6,3,1.9837,1,22.5,11,3136,4.55,0.9955,3161.2,11,1.0,60,7,5,1136,0.001664,0.0442,26.393,76,37.2,0.0192,0.0077,0,0,0,0,0.060773,0.015625,38,0.7429,4.6153,0.4313,24,5,31,795,1261,514
78,4933,3187,2,5,3,1.9958,2,23.7,3191,0,4.61,1.0114,3165.0,10,1.0,62,2,0,1146,0.001574,0.0387,30.03,77,37.0,0.0184,0.0084,2,0,0,0,0.065476,0.015625,38,0.7614,4.654,0.4303,25,5,32,849,1232,519
79,4930,3175,0,0,3,1.9858,2,21.7,3182,0,4.65,1.0049,3166.6,0,1.0,61,0,1,1146,0.001348,0.0296,0.0,78,38.5,0.0189,0.0072,0,0,0,0,0.061828,0.015625,38,0.7473,4.7077,0.43,25,5,31,841,1229,525
80,4929,3136,0,0,3,1.9827,1,16.5,0,3136,4.6,0.9912,3163.7,0,1.0,60,0,1,1140,0.001309,0.032,0.0,79,40.1,0.0174,0.0066,0,0,0,0,0.055233,0.015625,37,0.7171,4.7572,0.4297,25,5,30,821,1236,512
81,4926,3152,3,5,3,1.9797,1,16.4,3,3139,4.65,0.9967,3162.6,13,1.0,62,3,1,1178,0.001441,0.0357,34.1207,80,39.7,0.0182,0.0073,2,0,0,0,0.089286,0.015625,38,0.825,4.8464,0.4291,26,5,31,804,1236,528
82,4922,3149,1,3,3,1.9735,1,16.4,3,3141,4.57,0.9961,3161.3,8,1.0,62,1,1,1179,0.001388,0.0312,21.3333,81,40.5,0.0165,0.0072,0,0,0,0,0.080729,0.015625,38,0.8065,4.9272,0.4287,26,6,30,825,1275,493
83,4921,3076,0,0,3,1.9628,2,16.4,0,3071,4.53,0.9755,3153.2,5,1.0,61,0,1,1153,0.001194,0.0341,14.6199,82,42.0,0.0166,0.0066,0,0,0,0,0.076705,0.015625,38,0.7963,5.0039,0.429,26,6,29,766,1216,511
84,4919,3160,0,0,3,1.9153,1,16.3,3155,0,4.65,1.002,3153.8,5,1.0,60,0,1,1136,0.001197,0.0339,13.3333,83,42.4,0.0174,0.0068,0,0,0,0,0.080729,0.015625,38,0.8065,5.0846,0.4293,26,6,28,795,1216,524
85,4919,3100,0,0,3,1.8648,1,16.5,0,3100,4.67,0.9845,3148.7,0,1.0,58,0,2,1122,0.001191,0.0331,0.0,84,43.3,0.0191,0.0069,0,0,0,0,0.055096,0.015625,38,0.7164,5.1397,0.4293,25,6,27,823,1220,484
86,4916,3107,1,5,3,1.9197,1,16.2,0,3102,4.58,0.988,3144.7,5,1.0,59,1,0,1129,0.001135,0.036,14.4509,85,43.6,0.0182,0.0078,1,0,0,0,0.066482,0.015625,39,0.765,5.2062,0.4294,25,6,28,813,1236,530
87,4914,3084,1,5,3,1.9015,1,16.3,10,3074,4.5,0.9825,3138.9,10,1.0,60,6,5,1150,0.001229,0.0319,30.3951,86,43.6,0.0182,0.0075,1,2,0,0,0.069565,0.015625,39,0.7754,5.2758,0.429,24,6,30,787,1221,467
88,4913,3135,0,0,3,1.8295,2,16.3,11,3124,4.58,0.9989,3138.6,11,1.0,59,1,2,1137,0.001229,0.0421,28.9855,87,45.1,0.0178,0.008,0,0,0,0,0.061798,0.015625,38,0.7472,5.3179,0.4289,23,6,30,763,1287,516
