window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
1,5000,5810,17,6,0,1.9989,0,18.7,0,0,6.39,1.0,5810.0,547,1.0,331,508,177,1890,0.001097,0.01,418.3908,0,0.0,0.0053,0.0013,1,0,0,0,0.043684,0.015625,63,0.6423,0.0437,0.2434,98,171,62,1993,1356,1365
2,5000,4026,4,6,0,1.999,0,17.7,448,3556,5.43,0.8729,4632.7,470,1.0,329,31,33,2012,0.001147,0.0121,398.4571,1,0.9,0.0069,0.0014,2,0,0,0,0.03766,0.015625,64,0.5851,0.0813,0.2292,104,158,67,1308,1316,722
3,5000,3661,3,5,0,1.999,0,24.7,287,3387,5.1,0.8853,4155.8,274,1.0,281,5,53,1936,0.001166,0.0156,278.7386,2,1.9,0.0094,0.0018,2,0,0,0,0.035304,0.015625,62,0.5574,0.1117,0.2342,102,121,58,983,1340,634
4,5000,3313,1,5,0,1.999,0,24.3,119,3218,4.75,0.8717,3828.3,95,1.0,200,1,82,1780,0.00133,0.0168,136.2984,3,2.9,0.0106,0.0025,1,0,0,0,0.034772,0.015625,62,0.5506,0.1453,0.2475,85,73,42,914,1260,526
5,5000,3286,0,0,1,1.999,0,24.1,14,3277,4.7,0.9018,3649.2,9,1.0,175,0,25,1445,0.001677,0.0336,17.7165,4,3.9,0.0177,0.0041,0,0,0,0,0.046642,0.015625,58,0.665,0.1919,0.261,75,63,37,853,1282,536
6,5000,3240,0,0,0,1.9989,0,18.3,0,3240,4.64,0.9173,3532.3,0,1.0,154,0,21,1325,0.001775,0.0234,0.0,5,4.9,0.0156,0.0041,0,0,0,0,0.044586,0.015625,57,0.6496,0.2132,0.2792,66,52,36,841,1261,530
7,5000,3187,1,5,0,1.9993,1,16.6,0,3182,4.57,0.9248,3446.0,5,1.0,139,1,16,1256,0.001843,0.0342,11.8765,6,5.8,0.0186,0.0048,1,0,0,0,0.045662,0.015625,56,0.6578,0.2588,0.2863,59,45,35,804,1249,528
8,5000,3228,2,5,0,1.9979,1,16.7,6,3212,4.56,0.9501,3397.5,16,1.0,131,6,14,1245,0.001849,0.025,37.9147,7,6.6,0.0179,0.005,1,0,0,0,0.054545,0.015625,56,0.7135,0.2838,0.2915,56,37,38,786,1294,555
9,5000,3360,3,5,3,1.9948,2,16.7,11,3340,4.72,0.9911,3390.0,20,1.0,128,6,9,1241,0.001864,0.0291,46.2963,8,7.2,0.0186,0.0053,1,0,0,0,0.053691,0.015625,54,0.709,0.3241,0.304,58,32,38,832,1356,573
10,5000,3249,1,3,0,1.9957,2,16.6,11,3229,4.68,0.9657,3364.4,20,1.0,120,6,14,1213,0.001923,0.0301,46.3415,9,8.0,0.0154,0.0057,0,0,0,0,0.05787,0.015625,54,0.73,0.3496,0.3141,56,28,36,811,1340,520
11,5000,3258,0,0,3,1.9883,2,16.6,3,3250,4.62,0.9735,3346.7,8,1.0,116,0,4,1185,0.001733,0.0293,18.648,10,9.1,0.0183,0.0052,0,0,0,0,0.054176,0.015625,54,0.7116,0.4002,0.3204,55,27,34,840,1348,510
12,5000,3108,2,3,3,1.9842,1,16.6,0,3105,4.51,0.939,3309.9,3,1.0,113,3,6,1162,0.001784,0.0378,7.7519,11,9.9,0.0171,0.0062,0,0,0,0,0.052897,0.015625,55,0.7046,0.4425,0.327,54,24,35,803,1248,478
13,5000,3179,1,5,3,1.9726,1,16.9,2,3172,4.57,0.9659,3291.2,7,1.0,109,3,7,1143,0.001771,0.0296,16.4835,12,10.7,0.0124,0.0053,1,0,0,0,0.06469,0.015625,54,0.7585,0.4776,0.3303,53,22,34,780,1302,533
14,5000,3318,3,5,1,1.9816,2,17.0,3317,0,4.69,1.0115,3297.1,18,1.0,102,4,11,1126,0.001746,0.031,45.6989,13,11.5,0.0194,0.0061,2,0,0,0,0.046512,0.015625,54,0.6641,0.5189,0.3349,53,17,32,822,1348,523
15,5000,3162,1,4,3,1.9887,2,17.0,4,3153,4.57,0.964,3280.2,9,1.0,98,1,5,1091,0.00193,0.0366,22.7273,14,12.3,0.0224,0.0073,0,0,0,0,0.068293,0.015625,53,0.7712,0.5531,0.338,51,16,31,793,1276,534
16,5000,3287,2,5,3,1.968,2,17.0,3276,0,4.66,1.0029,3281.5,15,1.0,92,3,9,1084,0.002031,0.04,38.3562,15,13.1,0.0215,0.0074,2,0,0,0,0.056,0.015625,54,0.721,0.6083,0.341,48,15,29,882,1300,520
17,5000,3156,0,0,3,1.9578,2,16.8,4,3152,4.48,0.9659,3267.5,4,1.0,89,0,3,1038,0.001974,0.0356,11.3314,16,14.0,0.0207,0.0071,0,0,0,0,0.049315,0.015625,50,0.6832,0.6577,0.3441,46,15,28,780,1235,522
18,5000,3125,1,5,1,1.8958,1,16.5,4,3116,4.49,0.9608,3252.5,9,1.0,85,1,5,1027,0.002005,0.035,27.1903,17,14.8,0.0212,0.008,1,0,0,0,0.075802,0.015625,47,0.7939,0.7335,0.3504,43,15,27,782,1239,542
19,5000,3250,1,5,3,1.8506,1,16.6,0,3240,4.63,0.9993,3252.3,10,1.0,84,1,2,1029,0.001837,0.0423,28.8184,18,15.7,0.0222,0.0082,1,0,0,0,0.064789,0.015625,47,0.7588,0.7983,0.3572,43,13,28,811,1306,546
20,5000,3173,1,5,3,1.9525,2,16.5,6,3157,4.54,0.9779,3244.7,16,1.0,84,2,2,1014,0.00189,0.0299,44.9438,19,16.3,0.0205,0.0076,1,0,0,0,0.070652,0.015625,47,0.7788,0.839,0.3638,44,11,29,803,1250,505
21,5000,3207,1,3,3,1.8028,2,16.6,4,3193,4.68,0.9895,3241.1,14,1.0,83,3,4,1022,0.001936,0.0422,35.8056,20,16.8,0.0201,0.0078,0,0,0,0,0.059553,0.015625,46,0.7376,0.8986,0.3672,44,10,29,835,1268,527
22,5000,3234,0,0,3,1.7916,2,16.5,3,3231,4.59,0.998,3240.4,3,1.0,79,3,7,1014,0.001944,0.0474,0.0,21,17.6,0.021,0.0094,0,0,0,0,0.08078,0.015625,46,0.8066,0.9487,0.3719,42,10,27,821,1257,521
23,5000,3141,1,6,3,1.7015,1,16.6,10,3131,4.55,0.9722,3231.0,10,1.0,81,5,3,1022,0.001779,0.0316,29.8013,22,17.6,0.0175,0.0077,0,0,0,0,0.072785,0.015625,46,0.7853,1.0215,0.3757,44,10,27,779,1262,487
24,5000,3199,3,5,3,1.5079,1,19.4,5,3184,4.59,0.991,3227.9,15,1.0,77,3,7,1035,0.001829,0.03,46.2963,23,18.4,0.0194,0.0076,3,1,0,0,0.057057,0.015625,43,0.7262,1.0695,0.3801,39,9,29,842,1229,531
25,5000,3228,2,5,3,1.6502,2,16.7,3210,0,4.61,1.0003,3228.0,19,1.0,79,9,7,1044,0.001993,0.0393,55.7185,24,18.2,0.0197,0.0073,1,0,0,0,0.064607,0.015625,41,0.7582,1.1089,0.3831,41,9,29,803,1318,537
26,5000,3216,0,0,3,1.7374,2,16.6,9,3207,4.56,0.9966,3226.9,9,1.0,75,0,4,1016,0.001844,0.0414,22.8571,25,19.5,0.0215,0.0079,0,0,0,0,0.060773,0.015625,39,0.7429,1.1696,0.3875,39,9,27,786,1297,507
27,4999,3226,2,5,3,1.7997,1,16.8,12,3204,4.67,0.9998,3226.8,22,1.0,75,6,6,1051,0.001744,0.0316,57.377,26,19.8,0.0184,0.0069,2,0,0,0,0.057895,0.015625,40,0.7301,1.2275,0.3906,40,8,27,822,1318,500
28,4997,3115,2,5,3,1.9129,1,16.6,9,3101,4.5,0.9685,3216.2,14,1.0,76,2,1,1075,0.002016,0.0347,42.1687,27,20.1,0.0207,0.0085,2,0,0,0,0.066474,0.015625,41,0.7649,1.2709,0.3913,40,8,28,752,1280,513
29,4994,3195,0,0,3,1.9344,2,16.6,4,3186,4.65,0.994,3214.1,9,1.0,76,0,0,1075,0.001781,0.04,23.0179,28,21.1,0.02,0.0077,0,0,0,0,0.06,0.015625,41,0.7396,1.3284,0.3938,40,8,28,829,1269,537
30,4990,3135,0,0,3,1.9489,1,16.6,4,3126,4.62,0.9777,3206.6,9,1.0,72,0,4,1053,0.001789,0.0507,27.5229,29,22.0,0.019,0.009,0,0,0,0,0.059701,0.015625,41,0.7383,1.3642,0.3966,38,7,27,748,1233,531
31,4984,3231,0,0,3,1.9576,1,16.6,3237,0,4.62,1.0094,3209.8,3,1.0,69,3,6,1035,0.001711,0.0367,0.0,30,22.7,0.02,0.0084,0,0,0,0,0.058104,0.015625,41,0.7311,1.404,0.3986,36,7,26,834,1280,511
32,4982,3220,1,3,3,1.9555,1,16.5,3223,0,4.75,1.0051,3211.5,5,1.0,68,3,4,1035,0.001645,0.0414,12.4224,31,23.4,0.0176,0.0085,0,0,0,0,0.071006,0.015625,42,0.7799,1.4572,0.3998,36,6,26,798,1300,549
33,4979,3073,2,4,3,1.9373,1,16.4,9,3056,4.49,0.9608,3198.3,17,1.0,71,10,7,1076,0.001548,0.035,27.3857,32,23.3,0.0175,0.0064,0,0,0,0,0.061224,0.015625,45,0.7448,1.5184,0.401,36,7,28,764,1220,491
34,4977,3160,2,4,3,1.9713,2,16.5,6,3144,4.54,0.9891,3194.7,16,1.0,74,5,2,1068,0.001577,0.0306,46.2428,33,23.3,0.0163,0.0064,0,0,0,0,0.055556,0.015625,43,0.7188,1.5323,0.401,35,9,30,775,1264,503
35,4975,3122,1,4,3,1.9877,2,16.8,3,3114,4.6,0.9794,3187.8,8,1.0,69,1,6,1054,0.001619,0.0353,24.7678,34,24.5,0.0181,0.0072,0,0,0,0,0.070588,0.015625,41,0.7786,1.6029,0.403,33,8,28,796,1273,524
36,4973,3193,1,3,3,1.9926,2,17.0,3192,0,4.59,1.0023,3188.5,4,1.0,70,2,1,1049,0.001672,0.0345,11.6618,35,25.1,0.0195,0.0082,0,0,0,0,0.074713,0.015625,41,0.7909,1.6776,0.405,34,8,28,819,1262,527
37,4973,3151,1,3,3,1.922,2,16.7,7,3144,4.65,0.9893,3185.0,7,1.0,71,6,5,1077,0.001462,0.0348,21.3415,36,25.1,0.0176,0.0074,0,0,0,0,0.063768,0.015625,41,0.755,1.724,0.406,36,8,27,791,1261,509
