window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
1,5000,5906,12,6,0,1.9993,0,18.5,0,0,6.53,1.0,5906.0,554,1.0,348,528,180,1936,0.001034,0.0111,417.2336,0,0.0,0.0,0.0012,0,0,0,0,0.045534,0.015625,64,0.6569,0.0455,0.2555,86,172,90,2056,1327,1395
2,5000,3974,2,5,0,1.9993,0,17.5,417,3539,5.26,0.8618,4627.3,435,1.0,334,21,35,1995,0.001137,0.0098,394.0217,1,1.0,0.0098,0.0013,1,0,0,0,0.037657,0.015625,64,0.5851,0.0832,0.2569,84,160,90,1260,1250,746
3,5000,3488,2,3,0,1.9993,0,17.1,239,3265,5.0,0.8634,4071.2,223,1.0,268,4,70,1940,0.001174,0.0122,240.3017,2,1.9,0.0052,0.0017,0,0,0,0,0.042609,0.015625,64,0.6333,0.1258,0.2654,79,116,73,918,1304,632
4,5000,3261,0,0,1,1.9993,0,16.9,73,3199,4.71,0.8731,3753.5,62,1.0,239,10,39,1697,0.001371,0.0153,95.5316,3,2.9,0.0125,0.0027,0,0,0,0,0.054092,0.015625,63,0.7111,0.1799,0.2809,77,95,67,919,1231,505
5,5000,3280,2,3,0,1.9994,0,16.7,18,3258,4.68,0.9124,3596.0,22,1.0,213,2,28,1590,0.001462,0.0256,40.2194,4,3.8,0.0119,0.003,0,0,0,0,0.047782,0.015625,61,0.673,0.2174,0.2933,71,79,63,838,1300,526
6,5000,3111,1,4,0,1.9991,1,16.6,16,3088,4.45,0.8998,3457.4,23,1.0,185,4,32,1473,0.00151,0.0174,44.7154,5,4.7,0.0135,0.0034,0,0,0,0,0.046332,0.015625,62,0.6628,0.2638,0.2998,66,64,55,833,1237,520
7,5000,3185,1,5,0,1.9907,2,16.6,6,3169,4.62,0.9397,3389.3,16,1.0,169,6,22,1389,0.001559,0.021,32.2581,6,5.6,0.0115,0.0036,1,0,0,0,0.049618,0.015625,60,0.6851,0.3096,0.3098,65,52,52,870,1273,486
8,5000,3217,0,0,3,1.9973,2,16.5,3,3209,4.56,0.96,3351.0,8,1.0,155,0,14,1308,0.001556,0.024,18.2648,7,6.6,0.0131,0.0039,0,0,0,0,0.054466,0.015625,59,0.7131,0.351,0.3127,59,48,48,842,1278,533
9,5000,3160,1,4,3,1.9945,1,16.6,8,3147,4.59,0.9539,3312.8,13,1.0,142,3,16,1225,0.001653,0.0224,30.6604,8,7.4,0.0157,0.0042,0,0,0,0,0.067114,0.015625,59,0.7672,0.3912,0.3183,54,42,46,786,1253,527
10,5000,3144,1,5,3,1.9976,1,16.6,10,3134,4.5,0.9579,3282.1,10,1.0,130,1,13,1192,0.00169,0.0286,24.6914,9,8.4,0.0151,0.0049,1,0,0,0,0.040476,0.015625,58,0.614,0.4222,0.321,48,39,43,777,1202,546
11,5000,3250,0,0,3,1.9949,2,16.6,5,3245,4.52,0.9918,3276.8,5,1.0,122,0,8,1130,0.001759,0.0269,13.7741,10,9.4,0.0215,0.0051,0,0,0,0,0.056452,0.015625,55,0.7232,0.4625,0.3242,47,35,40,794,1281,573
12,5000,3222,1,4,3,1.9925,1,16.6,3,3219,4.67,0.9858,3268.3,3,1.0,110,1,13,1070,0.001757,0.0271,9.2593,11,10.3,0.0131,0.0055,0,0,0,0,0.066265,0.015625,53,0.7642,0.5073,0.3316,46,29,35,790,1270,572
13,5000,3257,0,0,3,1.9855,1,16.6,2,3255,4.58,0.997,3266.7,2,1.0,105,2,7,1044,0.00176,0.028,3.1949,12,11.2,0.0177,0.0057,0,0,0,0,0.05296,0.015625,52,0.705,0.554,0.3366,45,28,32,818,1298,542
14,5000,3216,1,3,0,1.989,1,16.6,5,3211,4.55,0.9865,3260.0,5,1.0,98,4,11,998,0.001783,0.0276,12.6984,13,11.8,0.0184,0.0058,0,0,0,0,0.052147,0.015625,49,0.7004,0.6,0.3414,37,28,33,753,1293,552
15,5000,3170,1,5,1,1.9532,1,16.6,0,3165,4.6,0.9758,3248.7,5,1.0,90,1,9,933,0.00198,0.0438,18.6567,14,12.7,0.0255,0.0066,1,0,0,0,0.069343,0.015625,46,0.7747,0.6292,0.345,32,25,33,784,1327,480
16,5000,3157,1,5,3,1.9764,2,16.6,0,3148,4.56,0.975,3237.9,9,1.0,87,1,4,906,0.002126,0.0368,31.25,15,13.5,0.0274,0.008,1,0,0,0,0.063545,0.015625,45,0.7541,0.676,0.3491,29,24,34,781,1288,512
17,5000,3212,1,5,3,1.9964,2,16.5,5,3202,4.5,0.9929,3235.0,10,1.0,81,1,7,878,0.002295,0.0429,33.7838,16,14.3,0.0286,0.0082,1,0,0,0,0.062706,0.015625,45,0.7508,0.7024,0.3532,27,21,33,780,1314,526
18,5000,3074,0,0,3,1.9816,2,16.5,4,3070,4.47,0.9552,3218.1,4,1.0,81,3,3,858,0.002065,0.041,10.6762,17,14.9,0.0245,0.0078,0,0,0,0,0.05802,0.015625,46,0.7307,0.7229,0.3576,26,21,34,839,1209,487
19,5000,3129,2,4,1,1.9758,1,16.6,10,3119,4.53,0.975,3209.2,10,1.0,78,2,5,857,0.002129,0.0403,37.594,18,15.6,0.022,0.0082,0,0,0,0,0.080586,0.015625,44,0.8061,0.761,0.3647,25,20,33,808,1266,496
20,5000,3238,0,0,3,1.9517,1,16.7,3256,0,4.63,1.014,3213.9,3,1.0,77,3,4,851,0.002073,0.0424,10.8696,19,16.1,0.0218,0.0078,0,0,0,0,0.067138,0.015625,46,0.7673,0.7963,0.3668,23,20,34,822,1264,567
21,5000,3178,2,5,1,1.8339,1,16.7,10,3163,4.59,0.9899,3210.5,15,1.0,81,10,6,888,0.002087,0.0453,47.0219,20,15.5,0.0272,0.0078,1,0,0,0,0.057402,0.015625,47,0.7278,0.8205,0.3682,24,23,34,773,1288,509
22,5000,3212,1,3,3,1.9592,1,16.6,3202,0,4.59,1.0004,3210.6,10,1.0,81,4,4,878,0.002,0.0363,35.2113,21,15.7,0.0245,0.0077,0,0,0,0,0.059406,0.015625,47,0.737,0.8535,0.3678,26,22,33,816,1271,541
23,5000,3157,1,3,3,1.981,2,16.6,4,3144,4.54,0.9849,3205.5,13,1.0,74,3,10,871,0.002257,0.0507,49.4297,22,17.1,0.0238,0.0088,0,0,0,0,0.050725,0.015625,47,0.692,0.8825,0.3672,23,19,32,772,1351,484
24,5000,3209,1,4,1,1.972,2,16.7,3201,0,4.59,1.0013,3206.0,9,1.0,71,2,5,831,0.002405,0.041,31.9149,23,17.5,0.0297,0.0087,0,0,0,0,0.044369,0.015625,45,0.6478,0.9166,0.365,23,16,32,769,1328,546
25,5000,3189,1,3,1,1.9948,2,16.8,3,3186,4.54,0.9952,3204.3,3,1.0,65,1,7,802,0.002221,0.0372,12.6582,24,18.2,0.0283,0.0088,0,0,0,0,0.053719,0.015625,44,0.7091,0.966,0.3663,22,12,31,790,1274,545
26,5000,3098,1,5,1,1.9924,2,16.7,8,3090,4.48,0.9699,3194.2,8,1.0,56,1,10,740,0.002477,0.0513,34.9345,25,19.4,0.0278,0.0113,1,0,0,0,0.068376,0.015625,40,0.7715,1.0258,0.3704,20,9,27,823,1232,496
27,5000,3204,4,5,3,1.9611,2,16.8,3187,0,4.56,1.0056,3196.1,27,1.0,64,9,1,815,0.002447,0.0496,98.9011,26,17.8,0.0245,0.01,4,0,0,0,0.088652,0.015625,43,0.8237,1.0967,0.3695,23,9,32,840,1265,510
28,5000,3205,0,0,1,1.9531,2,16.6,3203,0,4.6,1.0056,3198.0,13,1.0,64,0,0,815,0.00274,0.0465,52.0,27,18.8,0.0268,0.0115,0,0,0,0,0.089147,0.015625,43,0.8247,1.1394,0.3697,23,9,32,794,1287,529
