window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
104,4860,3112,0,0,3,1.9861,1,17.9,1,3107,4.56,0.996,3124.4,5,1.0,63,0,2,1227,0.000686,0.0302,13.0208,103,59.2,0.0173,0.0063,0,0,0,0,0.09068,0.015625,37,0.8277,4.5788,0.4282,22,3,38,801,1218,517,0.0009,0.9991,543.8,4.0,0.0543,0.007557,0.00688,1.0984,1.0295,0
105,4858,3148,1,5,3,1.8903,1,15.8,3159,0,4.68,1.0115,3128.2,5,1.0,63,1,1,1228,0.00099,0.0325,13.2275,104,59.9,0.0172,0.0073,1,0,0,0,0.095,0.015625,38,0.8355,4.6738,0.4286,22,4,37,829,1214,539,0.0005,0.9995,554.6,4.1,0.0542,0.0025,0.006463,0.3868,0.816,0
106,4856,3108,2,5,1,1.9295,1,22.8,0,3099,4.58,0.9942,3126.3,9,1.0,65,4,2,1225,0.000805,0.0381,23.5602,105,57.1,0.0168,0.0068,1,0,0,0,0.083756,0.015625,40,0.8134,4.7296,0.4286,20,4,41,815,1228,511,0.0013,0.9987,594.0,3.8,0.0537,0.0,0.005847,0.0,0.8,0
107,4856,3052,3,5,1,1.9338,2,23.2,9,3038,4.5,0.9785,3119.2,14,1.0,67,3,1,1266,0.000972,0.0307,37.037,106,56.4,0.0153,0.0062,2,0,0,0,0.081841,0.015625,41,0.8091,4.8012,0.4285,20,5,42,784,1241,455,0.0007,0.9993,579.1,4.0,0.0529,0.005115,0.005778,0.8853,0.9656,0
108,4854,3125,0,0,3,1.9692,2,23.5,3124,0,4.63,1.0028,3120.1,5,1.0,66,0,1,1257,0.000934,0.0299,13.089,107,56.6,0.0155,0.0064,0,0,0,0,0.082294,0.015625,40,0.8101,4.8661,0.4284,20,5,41,795,1235,511,0.0008,0.9992,560.6,4.1,0.053,0.0,0.005227,0.0,0.8,0
109,4852,3047,0,0,3,1.9673,1,23.4,0,3042,4.51,0.9788,3113.2,5,1.0,64,0,2,1256,0.000685,0.0282,14.6628,108,59.3,0.0164,0.0059,0,0,0,0,0.073239,0.015625,40,0.7867,4.9308,0.4288,20,5,39,754,1203,501,0.0011,0.9989,526.9,4.1,0.0537,0.008451,0.005534,1.527,1.1581,0
110,4851,3078,1,3,1,1.9309,1,23.5,2,3072,4.52,0.9898,3109.8,6,1.0,65,3,2,1266,0.001039,0.0323,11.396,109,59.4,0.0166,0.0069,0,0,0,0,0.077957,0.015625,39,0.7996,4.9846,0.4287,20,5,40,764,1203,540,0.0008,0.9992,525.7,4.1,0.0534,0.008065,0.005775,1.3964,1.1189,0
111,4847,3115,2,4,1,1.9257,1,23.3,3110,0,4.63,1.0021,3110.5,7,1.0,64,2,3,1233,0.00099,0.0371,17.9028,110,59.2,0.0163,0.0067,0,1,0,0,0.091584,0.015625,40,0.8294,5.0762,0.4291,19,5,40,771,1321,455,0.0014,0.9986,544.0,4.1,0.0528,0.0,0.005225,0.0,0.8,0
112,4847,3094,0,0,1,1.9287,2,23.4,7,3087,4.6,0.9952,3108.9,7,1.0,63,0,1,1233,0.000747,0.0318,17.6322,111,61.1,0.0161,0.0057,0,0,0,0,0.075795,0.015625,40,0.7939,5.1373,0.4293,19,5,39,795,1235,484,0.0019,0.9981,566.1,3.9,0.0526,0.00489,0.005193,0.9416,0.9825,0
113,4847,3114,0,0,3,1.7749,1,23.2,3110,0,4.53,1.0024,3109.7,7,1.0,63,0,0,1221,0.000929,0.0361,18.7166,112,62.1,0.0166,0.0074,0,0,0,0,0.085052,0.015625,39,0.8163,5.2043,0.4296,19,5,39,764,1292,489,0.0007,0.9993,547.8,4.0,0.0526,0,0.004699,0.0,0.8,0
114,4847,3122,1,5,1,1.8799,1,23.3,3122,0,4.54,1.0071,3112.0,12,1.0,63,1,1,1224,0.000768,0.0297,33.5196,113,62.3,0.0171,0.0071,1,1,0,0,0.097297,0.015625,38,0.8394,5.2827,0.43,19,5,39,803,1252,495,0.0009,0.9991,529.2,4.1,0.0519,0.0,0.004251,0.0,0.8,0
115,4846,3067,1,4,1,1.9329,1,23.2,10,3052,4.58,0.9869,3107.7,15,1.0,63,1,1,1240,0.000786,0.043,41.4365,114,63.1,0.0163,0.0079,0,0,0,0,0.104839,0.015625,39,0.851,5.3875,0.4303,20,5,38,752,1252,494,0.0007,0.9993,514.3,4.2,0.0529,0.002688,0.004102,0.6553,0.8966,0
116,4845,3003,1,5,2,1.9462,2,23.3,0,2994,4.53,0.9694,3097.7,9,1.0,64,1,0,1246,0.000895,0.0517,23.7467,115,63.1,0.017,0.0078,1,0,0,0,0.085271,0.015625,39,0.8168,5.4651,0.4306,21,5,38,767,1202,454,0.001,0.999,491.2,4.2,0.0528,0,0.003712,0.0,0.8,0
117,4845,3087,1,3,3,1.9437,2,23.3,9,3078,4.51,0.9969,3096.7,9,1.0,70,8,2,1266,0.000767,0.0335,24.1287,116,57.5,0.0158,0.0054,0,1,0,0,0.082474,0.015625,40,0.8105,5.5192,0.4307,23,7,40,782,1247,483,0.0009,0.9991,534.5,3.9,0.0521,0.0,0.003358,0.0,0.8,0
118,4843,3023,1,3,1,1.9252,2,22.8,10,3013,4.5,0.9784,3089.7,10,1.0,70,4,4,1261,0.000735,0.0338,22.9592,117,56.8,0.0159,0.0061,0,1,0,0,0.084541,0.015625,38,0.8152,5.5941,0.4312,23,8,39,792,1204,517,0.0005,0.9995,485.7,4.0,0.0534,0.004831,0.003498,1.3809,1.1143,0
119,4842,3158,2,5,1,1.9554,2,21.2,3214,0,4.7,1.0386,3102.3,8,1.0,67,2,5,1289,0.001082,0.033,18.2648,118,60.3,0.016,0.0064,1,0,0,0,0.07489,0.015625,38,0.7914,5.669,0.4316,23,6,38,843,1230,529,0.0011,0.9989,515.9,4.0,0.0534,0.015419,0.004634,3.3275,1.2,0
120,4841,3069,1,5,1,1.9639,2,15.5,5,3059,4.48,0.9903,3099.1,10,1.0,64,1,4,1281,0.00115,0.0288,25.0627,119,64.0,0.0158,0.0055,1,0,0,0,0.105516,0.015625,37,0.8519,5.7289,0.4323,22,5,37,803,1197,504,0.0006,0.9994,548.3,4.1,0.0535,0.01199,0.005334,2.2478,1.2,0
121,4841,3104,0,0,3,1.9462,2,15.8,3101,0,4.55,1.002,3099.8,5,1.0,63,0,1,1253,0.001147,0.0385,12.3762,120,65.8,0.0164,0.0075,0,1,0,0,0.088942,0.015625,37,0.8243,5.8178,0.4329,22,4,37,787,1213,525,0.0012,0.9988,551.4,4.1,0.054,0.002404,0.005055,0.4755,0.8427,0
122,4841,3020,0,0,3,1.9325,1,19.2,0,3020,4.54,0.9767,3092.2,0,1.0,62,0,1,1226,0.000689,0.0355,0.0,121,67.5,0.0163,0.0067,0,0,0,0,0.10929,0.015625,36,0.857,5.8752,0.4341,22,4,36,725,1236,504,0.0016,0.9984,564.0,4.1,0.0541,0.0,0.004574,0.0,0.8,0
123,4839,3055,0,0,3,1.9544,1,21.3,0,3055,4.57,0.9891,3088.6,0,1.0,62,0,0,1225,0.000632,0.0334,0.0,122,68.5,0.017,0.0061,0,0,0,0,0.133676,0.015625,36,0.8831,5.9421,0.4349,22,4,36,784,1257,444,0.0013,0.9987,567.7,4.2,0.0541,0,0.004138,0.0,0.8,0
124,4837,3006,0,0,3,1.9784,1,15.7,0,3006,4.59,0.9757,3080.8,0,1.0,61,0,1,1225,0.000625,0.0368,0.0,123,70.3,0.0176,0.0071,0,1,0,0,0.089474,0.015625,36,0.8254,6.0263,0.4358,22,3,36,816,1153,484,0.001,0.999,551.4,4.2,0.0542,0.002632,0.003995,0.6588,0.8976,0
125,4837,3148,0,0,3,1.9547,1,15.8,3174,0,4.65,1.0273,3089.7,0,1.0,61,0,0,1205,0.000668,0.0376,0.0,124,71.3,0.0176,0.0067,0,0,0,0,0.115591,0.015625,36,0.8648,6.1069,0.4368,22,3,36,844,1214,526,0.001,0.999,529.6,4.2,0.0542,0,0.003614,0.0,0.8,0
126,4837,3136,2,5,1,1.9941,1,15.5,3152,0,4.69,1.0208,3096.4,9,1.0,63,2,0,1247,0.000713,0.0366,24.1287,125,70.0,0.017,0.0064,1,0,0,0,0.115183,0.015625,36,0.8643,6.1724,0.4375,22,4,37,805,1277,522,0.0009,0.9991,525.7,4.1,0.0541,0,0.00327,0.0,0.8,0
127,4837,3038,1,4,1,1.9837,1,15.5,8,3022,4.49,0.9829,3090.9,16,1.0,66,5,2,1274,0.000662,0.0276,42.1053,126,67.8,0.0155,0.005,0,0,0,0,0.08794,0.015625,39,0.8223,6.2377,0.4379,23,4,39,753,1202,532,0.0013,0.9987,549.5,4.0,0.0545,0.01005,0.003916,2.5666,1.2,0
128,4835,3112,1,3,1,1.981,2,15.6,3126,0,4.6,1.0114,3094.6,4,1.0,65,1,2,1281,0.001032,0.0344,9.7561,127,69.8,0.0169,0.0066,0,0,0,0,0.09633,0.015625,38,0.8378,6.2904,0.4382,23,4,38,822,1224,500,0.0005,0.9995,536.5,4.2,0.0545,0.011468,0.004635,2.4742,1.2,0
129,4832,3050,1,4,3,1.9964,2,15.5,8,3042,4.54,0.9869,3090.4,8,1.0,65,1,1,1277,0.000958,0.0293,20.202,128,70.6,0.0165,0.0065,0,0,0,0,0.078049,0.015625,38,0.7998,6.3441,0.4385,22,4,39,808,1160,487,0.0006,0.9994,543.4,4.1,0.0536,0.002439,0.004426,0.5511,0.8653,0
130,4832,3087,1,5,1,1.987,2,15.5,0,3082,4.63,0.999,3090.0,5,1.0,66,1,0,1280,0.00077,0.0317,13.7363,129,70.5,0.0158,0.0062,1,0,0,0,0.100264,0.015625,37,0.8442,6.4048,0.4386,22,5,39,780,1262,487,0.0008,0.9992,514.2,4.1,0.0536,0,0.004004,0.0,0.8,0
131,4831,3075,1,4,3,1.9733,2,15.4,4,3071,4.51,0.9956,3088.6,4,1.0,66,1,1,1294,0.000619,0.0287,11.0193,130,71.5,0.0156,0.0057,0,0,0,0,0.08094,0.015625,38,0.807,6.4675,0.4392,22,5,39,793,1244,516,0.0011,0.9989,548.0,4.1,0.0525,0.005222,0.00412,1.2674,1.0802,0
132,4828,3073,1,5,3,1.976,2,15.4,0,3068,4.64,0.9954,3087.1,5,1.0,67,1,0,1303,0.000945,0.0375,12.8205,131,71.4,0.0158,0.0066,1,0,0,0,0.0775,0.015625,38,0.7984,6.53,0.4394,23,5,39,814,1163,528,0.0008,0.9992,531.6,4.1,0.0523,0,0.003728,0.0,0.8,0
133,4826,3105,1,5,3,1.9837,2,15.4,3119,0,4.64,1.0108,3090.6,5,1.0,68,1,0,1320,0.000723,0.0367,12.6582,132,71.3,0.0154,0.0057,1,0,0,0,0.090465,0.015625,39,0.8273,6.5935,0.4396,24,5,39,749,1274,524,0.0005,0.9995,546.6,4.2,0.0525,0,0.003373,0.0,0.8,0
134,4825,2964,0,0,3,1.9257,2,15.5,0,2964,4.46,0.9628,3078.6,0,1.0,68,0,0,1320,0.00062,0.0302,0.0,133,72.3,0.016,0.0054,0,0,0,0,0.080605,0.015625,39,0.8062,6.6515,0.44,24,5,39,736,1168,489,0.0005,0.9995,564.6,4.2,0.0525,0,0.003052,0.0,0.8,0
135,4823,3066,2,5,3,1.8656,1,15.3,8,3058,4.59,0.9963,3077.4,8,1.0,69,3,2,1341,0.000677,0.0277,16.7064,134,70.6,0.0148,0.0054,1,0,0,0,0.099307,0.015625,40,0.8427,6.7046,0.44,25,5,39,775,1237,486,0.001,0.999,552.4,4.0,0.0522,0.002309,0.002981,0.7747,0.9324,0
136,4822,3075,1,5,1,1.8638,1,15.4,0,3075,4.6,0.9993,3077.1,0,1.0,70,1,0,1349,0.000869,0.0365,0.0,135,70.6,0.0146,0.0068,1,0,0,0,0.077859,0.015625,40,0.7993,6.7362,0.4399,26,5,39,814,1187,525,0.0007,0.9993,545.5,4.1,0.0522,0,0.002697,0.0,0.8,0
137,4819,3029,0,0,3,1.8973,2,15.4,2,3027,4.56,0.9858,3072.6,2,1.0,68,2,4,1345,0.000661,0.0286,2.4876,136,72.1,0.0158,0.0057,0,0,0,0,0.083333,0.015625,40,0.8125,6.8005,0.4399,25,5,38,739,1242,496,0.001,0.999,554.0,4.0,0.0522,0.011905,0.003574,3.331,1.2,0
138,4817,3068,3,5,1,1.8787,1,15.4,8,3055,4.55,0.9987,3072.1,13,1.0,69,3,2,1370,0.001111,0.033,31.477,137,71.7,0.0158,0.0064,2,1,0,0,0.073113,0.015625,41,0.7863,6.8524,0.4397,24,4,41,785,1234,480,0.0016,0.9984,537.5,4.0,0.0526,0.004717,0.003683,1.2808,1.0842,0
