window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3118,0,0,3,1.9951,0,149.5,0,0,0.0,1.0,0.0,5,1.0,3,5,2,30,0,0.10723,0.4211,312.5,0,0.0,0.0,0.0895,0,0,0,0,0.421053,0.015625,3,0.9629,0.4211,0.9597,2,0,1,765,1239,515,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0,0.0,0,1.0
2,5000,3150,1,5,1,1.8512,0,147.9,0,0,0.0,1.0,0.0,5,1.0,3,1,1,55,0,0.0514,0.5625,333.3333,1,0.7,0.5625,0.1768,1,0,0,0,0.5625,0.015625,4,0.9722,0.5625,0.9419,1,0,2,775,1248,544,1.0,0.0,0,0,0,0.0625,0.041667,1.5,1.0,1,0.4351,0.808,3,0.5649
3,4999,3277,1,4,1,1.8674,0,149.1,0,0,0.0,1.0,0.0,13,1.0,9,10,4,123,0,0.029515,0.1961,295.4545,2,0.3,0.1961,0.0463,0,0,0,0,0.196078,0.015625,9,0.9203,0.7586,0.9095,5,0,4,860,1328,502,1.0,0.0,0,0,0,0.019608,0.030637,0.64,1.0,1,0.1084,0.5972,3,0.8916
4,4987,3228,1,3,3,1.8858,2,148.0,0,0,0.0,1.0,0.0,12,1.0,11,10,8,169,0,0.019093,0.1698,239.1304,3,0.7,0.0566,0.0397,0,0,0,0,0.169811,0.015625,14,0.908,0.8152,0.8717,5,1,5,802,1309,508,1.0,0.0,0,0,0,0.056604,0.041024,1.3798,1.0,1,0.303,0.8631,9,0.697
5,4942,3190,0,0,3,1.914,2,146.3,0,0,0.0,1.0,0.0,5,1.0,12,5,4,175,0,0.017085,0.1154,111.1111,4,1.3,0.1154,0.0266,0,0,0,0,0.115385,0.015625,15,0.8646,0.9306,0.8417,6,2,4,797,1256,561,1.0,0.0,0,0,0,0.057692,0.04658,1.2386,1.0,1,0.3774,0.7579,11,0.6226
6,4894,3209,2,5,3,1.9532,1,143.7,0,0,0.0,1.0,0.0,23,1.0,18,15,9,248,0,0.013755,0.1222,275.0,5,1.2,0.1111,0.0312,2,0,0,0,0.122222,0.015625,20,0.8722,1.0306,0.7866,7,3,8,870,1234,502,1.0,0.0,0,0,0,0.022222,0.039621,0.5609,1.0,1,0.2387,0.8584,12,0.7613
7,4886,3104,1,3,1,1.9421,1,143.1,0,0,0.0,1.0,0.0,17,1.0,23,15,10,317,0,0.00921,0.0943,184.7826,6,1.3,0.0692,0.0188,0,0,0,0,0.09434,0.015625,23,0.8344,1.0872,0.7496,9,2,12,849,1208,517,1.0,0.0,0,0,0,0.037736,0.039149,0.9639,1.0,1,0.307,0.9801,18,0.693
8,4873,3153,1,5,3,1.944,2,142.4,0,0,0.0,1.0,0.0,7,1.0,21,4,6,292,0,0.00933,0.1059,87.5,7,2.0,0.0676,0.0183,1,0,0,0,0.105882,0.015625,21,0.8524,1.146,0.7108,9,2,10,809,1287,502,1.0,0.0,0,0,0,0.023529,0.035678,0.6595,1.0,1,0.4781,0.8547,23,0.5219
9,4858,3147,1,5,1,1.9571,2,141.0,0,0,0.0,1.0,0.0,12,1.0,21,8,8,337,0,0.008387,0.1287,119.5652,8,2.3,0.0644,0.024,1,1,0,0,0.128713,0.015625,22,0.8786,1.1955,0.685,8,1,12,810,1249,517,1.0,0.0,0,0,0,0.049505,0.038444,1.2877,1.0,1,0.3619,0.9574,21,0.6381
10,4815,3048,1,4,1,1.8708,2,140.6,0,0,0.0,1.0,0.0,9,1.0,23,7,5,312,0,0.008752,0.1,97.8261,9,2.6,0.07,0.0219,0,0,0,0,0.1,0.015625,21,0.8438,1.2155,0.6608,7,1,15,755,1184,500,1.0,0.0,0,0,0,0.02,0.03509,0.57,1.0,1,0.42,0.9047,21,0.58
