window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3223,3,5,0,1.9911,0,153.4,0,0,4.65,1.0,3223.0,15,1.0,5,9,4,107,0,0.038965,0.2703,424.2424,0,0.0,0.2297,0.0524,2,0,0,0,0.297297,0.015625,6,0.9474,0.2973,0.9379,1,0,4,816,1273,545,1.0,0.0,0,0,0,0.081081,0.081081,1.0,1.0,1,0.0,0.0,0,1.0
2,5000,3178,1,3,3,1.8547,0,152.4,0,3173,4.59,0.9978,3185.1,5,1.0,8,6,3,133,0,0.026478,0.1509,104.1667,1,0.5,0.1226,0.0163,0,0,0,0,0.226415,0.015625,8,0.931,0.5237,0.9054,3,0,5,809,1265,515,1.0,0.0,0,0,0,0.018868,0.039606,0.4764,1.0,1,0.2472,0.7365,5,0.7528
3,4997,3192,1,3,0,1.99,0,152.1,3,3189,4.58,0.9978,3199.1,3,1.0,9,1,0,138,0,0.020533,0.2571,85.7143,2,1.3,0.1714,0.079,0,0,0,0,0.314286,0.015625,8,0.9503,0.838,0.8963,3,0,6,789,1271,536,1.0,0.0,0,0,0,0,0.019803,0.0,1.0,1,0.5548,0.8777,8,0.4452
4,4976,3081,0,0,3,1.96,2,151.7,0,3081,4.58,0.981,3140.6,0,1.0,6,0,3,138,0,0.019714,0.2308,0.0,3,2.3,0.1346,0.041,0,0,0,0,0.230769,0.015625,8,0.9323,1.0303,0.8971,2,0,4,787,1244,498,1.0,0.0,0,0,0,0.115385,0.058036,1.9882,1.0,1,0.5644,0.823,9,0.4356
5,4963,3125,1,3,3,1.9516,1,150.2,0,3115,4.53,0.9929,3147.5,10,1.0,14,9,1,183,0,0.016668,0.1321,227.2727,4,1.4,0.1038,0.032,0,0,0,0,0.188679,0.015625,11,0.9172,1.1624,0.8811,5,0,9,827,1247,478,1.0,0.0,0,0,0,0.0,0.03869,0.0,1.0,1,0.2109,0.6704,6,0.7891
6,4944,3180,1,5,3,1.6153,1,149.3,3184,0,4.61,1.0073,3172.0,11,1.0,13,7,8,228,0,0.013921,0.1714,163.9344,5,2.2,0.119,0.0417,1,0,0,0,0.171429,0.015625,15,0.9089,1.2052,0.8618,5,1,7,825,1259,497,1.0,0.0,0,0,0,0.057143,0.043963,1.2998,1.0,1,0.3946,0.9581,14,0.6054
7,4934,3164,0,0,3,1.7885,2,149.0,0,3159,4.64,0.9994,3165.8,5,1.0,14,5,4,201,0,0.0113,0.1053,96.1538,6,2.8,0.076,0.0273,0,0,0,0,0.140351,0.015625,14,0.8887,1.2403,0.8416,5,2,7,794,1250,522,1.0,0.0,0,0,0,0.017544,0.037358,0.4696,1.0,1,0.3892,0.8175,13,0.6108
8,4927,3103,0,0,3,1.9583,1,148.5,1,3097,4.5,0.9977,3110.2,6,1.0,15,6,5,230,0,0.011505,0.1094,87.7193,7,3.1,0.0885,0.0264,0,0,0,0,0.171875,0.015625,15,0.9091,1.3497,0.8227,8,1,6,760,1272,516,1.0,0.0,0,0,0,0.046875,0.039473,1.1875,1.0,1,0.3915,0.8425,14,0.6085
9,4915,2995,0,0,3,1.921,1,148.1,8,2987,4.49,0.966,3100.4,8,1.0,18,8,5,243,0,0.010132,0.1471,126.9841,8,3.3,0.0931,0.0309,0,0,0,0,0.147059,0.015625,18,0.8938,1.4968,0.8064,10,2,6,758,1198,507,1.0,0.0,0,0,0,0.014706,0.034519,0.426,1.0,1,0.3596,0.7564,15,0.6404
10,4902,3072,2,5,1,1.9687,1,148.0,4,3058,4.46,0.9935,3092.1,14,1.0,21,9,6,302,0,0.008175,0.0976,173.3333,9,3.4,0.0762,0.0218,1,0,0,0,0.170732,0.015625,17,0.9085,1.5455,0.7958,11,2,8,759,1196,534,1.0,0.0,0,0,0,0.02439,0.032678,0.7464,1.0,1,0.3754,0.721,18,0.6246
