window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3193,0,0,3,1.9932,0,156.6,0,0,4.62,1.0,3193.0,14,1.0,10,14,4,100,0,0.029739,0.1905,424.2424,0,0.0,0.0,0.0449,0,0,0,0,0.285714,0.015625,9,0.9453,0.2857,0.904,5,2,3,819,1264,495,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0,0.0,0,1.0
2,5000,3162,1,4,3,1.9654,0,155.9,3162,0,4.57,1.0034,3155.3,4,1.0,6,1,5,100,0,0.025232,0.3571,153.8462,1,0.8,0.0,0.0998,0,0,0,0,0.357143,0.015625,9,0.9563,0.3571,0.8901,4,1,1,812,1230,514,1.0,0.0,0,0,0,0.107143,0.071429,1.5,1.0,1,0.5623,0.9534,10,0.4377
3,4996,3141,0,0,3,1.9735,0,156.1,3,3128,4.53,0.9938,3160.5,13,1.0,14,13,5,147,0,0.020948,0.1154,295.4545,2,0.8,0.0,0.0211,0,0,0,0,0.173077,0.015625,13,0.9097,0.4533,0.8548,5,5,4,793,1257,523,1.0,0.0,0,0,0,0.0,0.035714,0.0,1.0,1,0.157,0.7104,6,0.843
4,4972,3173,1,5,3,1.7463,1,155.0,5,3168,4.56,0.9972,3182.0,5,1.0,10,1,5,144,0,0.023415,0.2708,108.6957,3,1.6,0.2708,0.0692,1,0,0,0,0.270833,0.015625,11,0.9423,0.6007,0.8355,4,2,4,788,1314,503,1.0,0.0,0,0,0,0.041667,0.038095,1.0938,1.0,1,0.5425,0.9277,14,0.4575
5,4938,3190,1,4,1,1.9768,1,152.9,3190,0,4.62,1.0136,3160.9,14,1.0,14,12,8,213,0,0.011869,0.1212,254.5455,4,1.1,0.0455,0.0301,0,0,0,0,0.121212,0.015625,17,0.8711,0.6916,0.7826,5,2,7,817,1255,505,1.0,0.0,0,0,0,0.060606,0.045599,1.3291,1.0,1,0.2373,0.7896,10,0.7627
6,4901,3030,0,0,1,1.8506,2,150.5,0,3015,4.61,0.9748,3108.3,15,1.0,21,15,8,253,0,0.010996,0.0854,211.2676,5,1.2,0.0,0.0214,0,1,0,0,0.085366,0.015625,19,0.817,0.7404,0.7334,10,1,10,773,1237,475,1.0,0.0,0,0,0,0.012195,0.036055,0.3382,1.0,1,0.2829,0.9567,14,0.7171
7,4856,3082,0,0,3,1.9035,1,148.7,4,3073,4.59,0.9922,3106.2,9,1.0,21,9,9,253,0,0.009613,0.1067,134.3284,6,1.9,0.0,0.0235,0,0,0,0,0.12,0.015625,22,0.8698,0.7938,0.7003,11,2,8,779,1224,480,1.0,0.0,0,0,0,0.04,0.037041,1.0799,1.0,1,0.3928,0.984,21,0.6072
8,4827,3001,0,0,3,1.8322,1,146.5,6,2995,4.46,0.9777,3069.4,6,1.0,19,6,8,260,0,0.00956,0.1205,81.0811,7,2.5,0.0,0.0249,0,0,0,0,0.120482,0.015625,23,0.8703,0.9142,0.6743,12,2,5,760,1184,467,1.0,0.0,0,0,0,0.072289,0.044874,1.6109,1.0,1,0.4345,0.9095,21,0.5655
9,4819,3116,0,0,3,1.8064,1,146.0,3148,0,4.68,1.0202,3085.5,0,1.0,15,0,4,186,0,0.011824,0.1111,0.0,8,3.9,0.0,0.0213,0,0,0,0,0.111111,0.015625,16,0.8594,1.0253,0.6701,10,2,3,753,1256,510,1.0,0.0,0,0,0,0.031746,0.042248,0.7514,1.0,1,0.4888,0.7943,19,0.5112
10,4806,3038,2,5,1,1.9131,1,145.5,3,3030,4.56,0.993,3059.3,8,1.0,16,5,4,214,0,0.012349,0.1429,109.589,9,3.7,0.1429,0.0289,1,0,0,0,0.142857,0.015625,17,0.8906,1.0643,0.6435,8,3,5,811,1215,467,1.0,0.0,0,0,0,0.025974,0.039289,0.6611,1.0,1,0.4091,0.9618,15,0.5909
11,4772,3004,2,4,3,1.987,1,144.6,0,2999,4.56,0.9873,3042.5,5,1.0,18,4,2,224,0,0.011352,0.1471,76.9231,10,3.9,0.0735,0.0304,0,0,0,0,0.176471,0.015625,17,0.9115,1.1231,0.6312,8,2,8,760,1186,498,1.0,0.0,0,0,0,0.0,0.032741,0.0,1.0,1,0.4957,0.9255,16,0.5043
12,4723,2903,0,0,3,1.854,2,141.6,7,2897,4.56,0.9627,3016.4,6,1.0,19,6,5,261,0,0.008915,0.1268,76.9231,11,4.5,0.1268,0.029,0,0,0,0,0.126761,0.015625,21,0.8767,1.1936,0.6221,9,1,9,757,1170,442,1.0,0.0,0,0,0,0.042254,0.034205,1.2353,1.0,1,0.4714,0.8885,18,0.5286
13,4683,3105,0,0,3,1.9372,1,139.4,3133,0,4.68,1.0328,3043.1,10,1.0,18,10,11,270,0,0.009287,0.1087,126.5823,12,4.4,0.087,0.0296,0,0,0,0,0.119565,0.015625,23,0.8693,1.2479,0.6065,8,1,9,777,1260,526,1.0,0.0,0,0,0,0.065217,0.038635,1.688,1.0,1,0.3885,0.9435,19,0.6115
14,4670,2965,3,5,1,1.9808,1,137.8,5,2945,4.59,0.9862,3006.5,20,1.0,22,11,7,301,0,0.010439,0.1321,204.0816,13,3.8,0.1069,0.029,2,0,0,0,0.132075,0.015625,23,0.8817,1.2856,0.5974,7,2,13,779,1161,445,1.0,0.0,0,0,0,0.018868,0.035999,0.5241,1.0,1,0.3527,0.8599,18,0.6473
