seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
61,1,0,0,881,1,3,843,682,18.9369,1.5846,0.9332,0.9248,0.9301,0.9069,2611,A,B,A,B,0,0,0,0
61,2,0,0,263,0,0,265,665,17.6331,1.5846,0.9217,0.92,0.9132,0.8717,780,A,B,A,B,3,1,0,0
61,3,0,0,35,0,0,53,703,20.2053,1.5635,0.9457,0.9544,0.9896,0.8238,137,A,B,A,B,0,1,0,0
61,4,0,0,17,0,0,18,698,19.0639,1.5809,0.9183,0.8905,0.8905,0.8113,50,A,B,A,B,4,1,0,0
61,5,0,0,13,0,0,13,672,18.5417,1.5841,0.8454,0.65,0.9911,0.9852,40,A,B,A,B,4,1,0,0
61,6,0,0,6,0,0,11,709,19.3933,1.497,0.9183,0.0,0.9183,0.8631,22,A,B,A,B,4,1,0,0
61,7,0,0,5,0,0,15,702,20.0198,1.371,0.0,0.6194,0.7219,0.9183,25,A,B,A,B,4,1,0,0
61,8,0,0,16,0,0,15,660,18.1249,1.5746,0.5436,0.7642,0.9403,0.9183,43,A,B,A,B,3,1,0,0
61,9,0,0,22,0,0,15,676,18.7111,1.5636,0.7871,0.8454,0.8905,0.9799,53,A,B,A,B,4,1,0,0
61,10,0,0,10,0,0,4,667,17.2812,1.3663,0.8813,0.7219,0.7642,0.9544,32,neutral,neutral,A,B,4,1,0,0
61,11,0,0,11,0,0,4,629,17.9403,1.4445,0.9183,0.971,0.9911,0.971,28,A,B,A,B,4,0,0,0
61,12,0,0,18,0,0,10,676,18.7561,1.5395,1.0,0.9183,0.5665,0.9183,40,A,B,A,B,4,0,0,0
61,13,0,0,11,0,0,12,669,17.6142,1.5816,0.9852,1.0,0.9457,0.7219,36,A,B,A,B,4,0,0,0
61,14,0,0,15,0,0,6,642,18.685,1.4316,1.0,0.9544,0.9641,0.9544,42,A,B,A,B,4,0,0,0
61,15,0,0,12,0,0,7,725,20.3154,1.5514,0.65,0.971,0.9457,0.9852,29,A,B,A,B,4,0,0,0
61,16,0,0,10,0,0,7,656,18.5277,1.5285,0.5436,0.9183,0.8113,0.5917,22,A,B,A,B,4,0,0,0
61,17,0,0,12,0,0,10,658,18.0913,1.581,1.0,0.9544,0.8454,0.65,33,A,B,A,B,4,0,0,0
61,18,0,0,12,1,2,12,616,17.0816,1.5642,0.9799,0.9852,0.9457,0.8454,41,A,B,A,B,4,1,0,0
61,19,0,0,9,0,0,7,639,17.1144,1.5774,0.65,0.971,0.9183,0.9852,24,A,B,A,B,3,1,0,0
61,20,0,0,9,0,0,10,669,18.3365,1.5535,0.9544,0.8113,0.0,0.7642,25,A,B,A,B,4,0,0,0
61,21,0,0,7,0,0,9,656,17.7294,1.5774,0.9852,1.0,0.0,0.5917,24,A,B,A,B,4,0,0,0
61,22,0,0,7,0,0,11,647,18.5237,1.5579,0.9544,0.9544,0.9183,0.5917,26,A,B,A,B,4,0,0,0
61,23,0,0,10,0,0,7,654,17.6795,1.4937,0.5033,1.0,0.0,0.65,21,A,B,A,B,4,0,0,0
61,24,0,0,9,0,0,6,635,17.4052,1.5653,0.9911,0.8113,0.9183,0.8113,23,A,B,A,B,4,0,0,0
61,25,0,0,19,0,0,13,668,18.3055,1.5664,0.684,0.9544,0.998,0.9183,50,A,B,A,B,4,0,0,0
