seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
87,1,0,0,884,0,0,868,660,18.8365,1.5847,0.9137,0.9358,0.9178,0.9345,2659,A,B,A,B,0,0,0,0
87,2,0,0,184,0,0,178,664,17.7995,1.5848,0.9002,0.9486,0.827,0.951,541,A,B,A,B,3,1,0,0
87,3,0,0,22,0,0,18,655,17.7663,1.5205,0.9911,1.0,0.9852,0.9968,76,A,B,A,B,0,1,0,0
87,4,0,0,14,0,0,16,651,18.3679,1.5638,1.0,0.9183,0.994,0.9183,51,A,B,A,B,4,0,0,0
87,5,0,0,12,0,0,15,676,17.8148,1.5789,0.9911,0.9183,0.8813,0.8813,41,A,B,A,B,1,1,0,0
87,6,0,0,8,0,0,9,705,18.8913,1.5828,0.9852,0.8113,0.9183,0.971,26,A,B,A,B,4,0,0,0
87,7,0,0,10,0,0,10,686,21.1147,1.585,0.65,0.9544,0.8631,0.9911,30,A,B,A,B,4,0,0,0
87,8,0,0,9,0,0,14,685,17.9832,1.5241,0.9183,0.65,0.65,0.8113,30,A,B,A,B,4,0,0,0
87,9,0,0,12,1,1,9,703,18.9496,1.5726,0.7219,0.8113,0.9852,0.9544,33,A,B,A,B,1,1,0,0
87,10,0,0,21,0,0,6,671,17.8602,1.411,0.7793,0.65,0.7496,0.7219,38,A,B,A,neutral,1,1,0,0
87,11,0,0,14,0,0,13,684,18.4457,1.5605,0.9852,0.0,0.4395,0.9799,36,A,B,A,B,4,0,0,0
87,12,0,0,15,0,0,14,655,17.7715,1.5789,0.9183,0.6194,0.7642,0.9852,41,A,B,A,B,4,0,0,0
87,13,0,0,13,0,0,17,676,19.7479,1.5728,0.8454,0.8631,0.8631,0.9457,43,A,B,A,B,4,0,0,0
87,14,0,0,14,0,0,12,663,18.8788,1.5715,0.5436,0.8631,0.9457,0.8813,36,A,B,A,B,3,1,0,0
87,15,0,0,9,0,0,7,675,17.3153,1.5755,0.9183,1.0,0.9911,0.8113,25,A,B,A,B,4,0,0,0
87,16,0,0,6,0,0,4,664,18.4657,1.5613,1.0,0.0,0.9852,0.7219,16,A,neutral,A,B,4,0,0,0
87,17,0,0,7,0,0,8,666,17.9601,1.5579,0.9852,0.9183,0.9183,0.8813,26,A,B,A,B,4,0,0,0
87,18,0,0,4,1,2,13,635,16.8255,1.4249,0.0,0.8813,0.9183,0.9852,31,neutral,B,A,B,1,1,0,0
87,19,0,0,9,0,0,14,688,19.8692,1.5605,0.9183,0.9612,0.65,0.994,36,A,B,A,B,3,1,0,0
87,20,0,0,6,0,0,6,669,18.1183,1.571,0.7219,0.0,0.65,1.0,20,neutral,B,A,B,3,1,0,0
87,21,0,0,8,0,0,3,654,17.743,1.4227,0.9183,0.9183,0.9911,0.0,22,A,B,A,B,4,0,0,0
87,22,0,0,8,1,2,9,703,20.9606,1.51,0.0,0.7219,0.971,0.65,21,A,B,A,B,4,0,0,0
87,23,1,2,9,0,0,8,697,19.1538,1.579,0.8113,0.0,0.971,0.971,27,A,B,A,B,4,0,0,0
87,24,0,0,14,0,0,6,693,18.6517,1.4807,0.971,0.971,0.9612,0.9544,36,A,B,A,B,4,0,0,0
87,25,0,0,12,0,0,13,648,18.1388,1.546,1.0,0.9544,0.971,0.9852,45,A,B,A,B,3,1,0,0
