seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
78,1,0,0,936,0,0,857,732,20.5285,1.584,0.9073,0.9239,0.8994,0.9252,2673,A,B,A,B,0,0,0,0
78,2,0,0,227,0,0,216,690,18.4639,1.5845,0.9024,0.9523,0.9243,0.9183,672,A,B,A,B,0,1,0,0
78,3,0,0,38,0,0,35,679,18.2021,1.5825,0.9183,0.9673,0.8454,0.7425,106,A,B,A,B,3,1,0,0
78,4,0,0,9,0,0,7,715,19.0269,1.5697,0.8113,0.9183,0.9957,0.0,26,A,B,A,B,3,1,0,0
78,5,0,0,7,0,0,2,699,18.2553,1.4316,0.0,1.0,1.0,1.0,14,A,B,A,B,4,0,0,0
78,6,0,0,7,0,0,13,654,17.6033,1.5382,0.9183,0.9457,1.0,0.9183,32,A,B,A,B,4,0,0,0
78,7,0,0,6,0,0,13,669,18.6794,1.5144,1.0,0.971,0.971,0.5436,31,A,B,A,B,3,1,0,0
78,8,0,0,14,0,0,12,697,19.9657,1.581,0.8813,0.971,0.7642,0.9183,38,A,B,A,B,4,0,0,0
78,9,0,0,9,0,0,10,686,18.6911,1.579,0.65,0.5917,0.9852,0.9852,27,A,B,A,B,1,1,0,0
78,10,0,0,15,0,0,15,645,18.951,1.5794,0.9799,0.9183,0.9612,0.9544,48,A,B,A,B,4,0,0,0
78,11,0,0,13,0,0,8,679,18.6183,1.544,0.7219,0.8113,0.8631,0.9544,29,A,B,A,B,4,0,0,0
78,12,0,0,9,0,0,4,651,17.6951,1.4681,0.8113,1.0,0.8113,0.0,17,A,B,A,B,4,0,0,0
78,13,0,0,7,0,0,7,673,18.433,1.5632,1.0,0.971,0.9183,0.9544,24,A,B,A,B,1,1,0,0
78,14,0,0,6,0,0,6,646,17.7553,1.5204,1.0,1.0,0.9852,1.0,23,A,B,A,B,4,0,0,0
78,15,0,0,15,0,0,20,675,18.6162,1.5546,0.65,0.8905,0.9587,0.7496,60,neutral,B,A,B,4,0,0,0
78,16,0,0,9,1,2,11,646,18.0198,1.5525,0.9183,0.9799,0.8454,0.9183,35,A,B,A,B,1,1,0,0
78,17,0,0,16,0,0,14,645,18.5576,1.5589,0.9457,0.65,0.684,0.9183,40,A,B,A,B,1,1,0,0
78,18,0,0,10,0,0,11,700,19.2338,1.5801,1.0,0.5436,0.7642,0.9852,30,A,B,A,B,0,1,0,0
78,19,0,0,8,0,0,7,613,16.8243,1.569,0.9183,1.0,0.9183,0.971,25,A,B,A,B,4,0,0,0
78,20,0,0,10,0,0,4,649,18.0315,1.4834,1.0,0.9183,0.0,1.0,24,A,B,A,B,4,0,0,0
78,21,0,0,13,0,0,11,683,18.793,1.5779,1.0,0.7219,0.8113,1.0,38,A,B,A,B,4,0,0,0
78,22,0,0,14,0,0,11,587,15.6623,1.5752,0.9183,0.7219,0.7219,0.9852,36,A,B,A,B,4,0,0,0
78,23,0,0,10,0,0,14,664,17.4972,1.5589,0.7219,0.9183,0.9957,0.971,40,A,B,A,B,3,1,0,0
78,24,0,0,11,0,0,14,700,18.8727,1.5627,0.9183,0.7793,1.0,0.9911,42,A,B,A,B,3,1,0,0
78,25,0,0,14,0,0,11,609,16.9379,1.5777,0.7642,0.971,0.9457,0.8631,37,A,B,A,B,4,0,0,0
