seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
22,1,0,0,938,0,0,830,771,20.7185,1.583,0.9174,0.9402,0.9036,0.9377,2680,A,B,A,B,0,0,0,0
22,2,0,0,223,0,0,195,629,16.3115,1.5805,0.9109,0.9815,0.896,0.9596,654,A,B,A,B,0,0,0,0
22,3,0,0,33,1,1,40,697,19.2339,1.5597,1.0,0.9383,0.9968,0.9183,125,A,B,A,B,0,1,0,0
22,4,0,0,9,0,0,16,670,19.1674,1.4713,0.469,0.9975,0.9852,0.5033,50,neutral,B,A,B,4,1,0,0
22,5,0,0,6,0,0,11,680,19.0262,1.5179,1.0,0.9957,1.0,0.0,30,A,B,A,B,3,1,0,0
22,6,0,0,24,0,0,17,657,19.2745,1.5395,0.7219,0.9183,0.7219,0.8113,54,A,B,A,B,3,1,0,0
22,7,0,0,18,0,0,8,704,18.7337,1.5066,0.684,0.994,0.9403,0.8631,43,A,B,A,neutral,4,1,0,0
22,8,1,2,11,0,0,17,639,17.3115,1.5492,0.9544,0.9612,0.9957,0.8905,47,A,B,A,B,4,1,0,0
22,9,0,0,8,0,0,10,657,18.8487,1.569,1.0,0.5436,0.8813,0.971,25,A,B,A,B,4,1,0,0
22,10,0,0,13,0,0,11,671,18.603,1.5575,0.0,0.7642,0.9544,0.9852,32,A,B,A,B,4,1,0,0
22,11,0,0,9,0,0,11,689,18.8541,1.543,0.9544,0.0,0.9852,0.0,26,A,B,A,B,4,1,0,0
22,12,0,0,9,0,0,12,647,18.3883,1.502,0.9183,0.5917,0.0,0.8113,26,A,B,A,B,4,1,0,0
22,13,1,1,13,0,0,17,698,19.6864,1.5759,0.7793,0.8113,0.9544,0.9612,46,A,B,A,B,1,1,0,0
22,14,0,0,14,0,0,16,691,20.292,1.5294,0.5436,0.5033,0.8813,0.8454,38,A,B,A,B,1,1,0,0
22,15,0,0,13,0,0,15,704,18.9894,1.5797,0.994,0.8113,0.9457,0.971,44,A,B,A,B,4,1,0,0
22,16,0,0,10,0,0,6,683,18.8469,1.5535,0.5436,0.971,0.971,0.0,25,A,B,A,neutral,3,1,0,0
22,17,0,0,6,0,0,16,676,18.2991,1.4831,0.7219,0.7219,0.8631,1.0,35,A,B,neutral,B,4,1,0,0
22,18,0,0,9,0,0,13,657,19.3881,1.569,0.9544,0.8454,0.9183,0.9544,33,A,B,A,B,4,1,0,0
22,19,0,0,12,0,0,15,658,17.2397,1.5766,0.971,0.9957,0.0,0.469,39,A,B,A,B,4,1,0,0
22,20,1,1,12,0,0,8,652,17.9975,1.5656,0.7642,0.971,0.9544,0.9183,30,A,B,A,B,4,1,0,0
22,21,0,0,8,1,2,13,641,17.1121,1.5462,0.7642,0.8113,0.5917,0.9852,35,A,B,neutral,B,4,1,0,0
22,22,0,0,13,0,0,19,670,17.7812,1.5571,0.9852,0.971,0.994,0.7793,53,A,B,A,B,4,1,0,0
22,23,0,0,10,0,0,12,609,16.9591,1.5295,0.8113,0.971,0.9852,0.994,41,A,B,A,B,0,1,0,0
22,24,0,0,5,0,0,14,629,17.9449,1.4725,0.8631,0.9183,0.971,0.7219,31,neutral,B,A,B,3,1,0,0
22,25,0,0,1,0,0,7,612,17.4668,1.2718,0.8113,0.8113,0.0,0.9183,16,neutral,B,neutral,B,3,1,0,0
