seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
0,64,64,20,2,unformed,,0.0,0.0,0.0,0.0,0.729093,-0.159685,0.0,0.0,0.904743,-0.044918,0.0,0.0,0.0,0.0,0.0,0.0,11.326248,0.442221,0.104651,0.245112,0.690363,0.72876,0.269828,cold_start,11,0.036748,0.182253,-2.916188
0,65,65,20,2,unformed,,0.2,-0.3,0.0,0.0,0.797864,-0.154246,0.0,0.0,0.9565,-0.041677,0.0,0.0,28.051648,12.289423,0.0,0.0,12.747784,0.40669,0.104651,0.014906,0.685118,0.822085,0.297249,cold_start,11,0.024773,0.263041,3.124233
0,66,66,20,2,unformed,,0.2,-0.3,0.0,0.0,0.801025,-0.135654,0.0,0.0,0.935698,-0.062023,0.0,0.0,27.995545,11.264844,0.0,0.0,12.506674,0.16128,0.046512,0.012996,0.310854,0.274759,0.580023,cold_start,6,0.029599,0.670848,-2.544518
0,19,69,20,2,unformed,,0.2,-0.3,0.0,0.0,0.647575,0.049787,0.0,0.0,0.884101,-0.003483,0.0,0.0,2.628679,-0.276752,0.0,0.0,35.367998,0.291543,0.27907,0.316361,0.001329,0.569413,0.406763,cold_start,29,0.028583,0.220202,2.617986
0,22,72,20,2,unformed,,0.2,-0.3,0.0,0.0,0.689288,-0.181339,0.0,0.0,0.957027,0.004563,0.0,0.0,17.648905,-1.858105,0.0,0.0,33.827521,0.632106,0.988372,0.233512,0.601657,0.704885,0.16086,cold_start,90,0.023282,0.085175,0.061263
0,26,76,20,2,unformed,,0.0,0.0,0.0,0.0,0.745993,-0.029328,0.0,0.0,0.931783,-0.005169,0.0,0.0,0.0,0.0,0.0,0.0,33.641408,0.392307,0.255814,0.307325,0.249346,0.756744,0.309126,cold_start,27,0.024247,0.342743,0.011387
0,41,91,20,2,unformed,,1.0,0.0,0.0,0.0,0.765156,-0.049892,0.0,0.0,0.944935,-0.007233,0.0,0.0,13.108281,0.007818,0.0,0.0,34.166557,0.27303,0.430233,0.433946,0.146048,0.081892,0.427803,cold_start,42,0.0298,0.182203,-2.158481
0,42,92,20,2,unformed,,0.166667,-0.166667,0.0,0.0,0.653506,-0.200745,0.0,0.0,0.941541,0.005036,0.0,0.0,16.956202,-1.785176,0.0,0.0,32.576722,0.579874,0.337209,0.400502,0.656245,0.925539,0.185456,cold_start,34,0.026083,0.234883,1.946505
0,44,94,20,2,unformed,,0.333333,-0.333333,0.0,0.0,0.786374,-0.062569,0.0,0.0,0.941958,-0.010527,0.0,0.0,17.286257,4.7393,0.0,0.0,25.912894,0.318423,0.523256,0.324191,0.37664,0.049606,0.378044,cold_start,49,0.024406,0.440293,-0.260152
0,0,100,20,3,unformed,,0.833333,0.333333,0.0,0.0,0.741052,-0.054396,0.0,0.0,0.943024,0.015033,0.0,0.0,10.456391,-7.839082,0.0,0.0,33.104708,0.450584,0.488372,0.317075,0.52503,0.471859,0.263751,cold_start,47,0.022491,0.279041,0.868322
0,2,102,20,3,unformed,,1.0,0.4,0.0,0.0,0.769583,0.027288,0.0,0.0,0.945224,-0.005875,0.0,0.0,6.466015,-0.48411,0.0,0.0,32.649914,0.605986,0.883721,0.368382,0.801838,0.370004,0.172723,cold_start,81,0.025865,0.097966,1.93072
0,52,102,20,3,unformed,,0.333333,-0.066667,0.0,0.0,0.702764,-0.035275,0.0,0.0,0.90078,0.037737,0.0,0.0,14.103252,9.360498,0.0,0.0,19.356805,0.154831,0.151163,0.202073,0.244851,0.021238,0.590302,cold_start,16,0.075007,0.20602,1.102621
0,7,107,20,3,unformed,,0.0,0.0,0.0,0.0,0.761348,-0.09029,0.0,0.0,0.922381,0.006339,0.0,0.0,0.0,0.0,0.0,0.0,11.171952,0.333005,0.093023,0.312243,0.590201,0.336552,0.363322,cold_start,10,0.031084,0.404879,-2.242255
0,9,109,20,3,unformed,,0.666667,0.266667,0.0,0.0,0.637715,-0.001058,0.0,0.0,0.939271,0.007079,0.0,0.0,6.703475,2.32171,0.0,0.0,34.316202,0.385125,0.05814,0.273895,0.403061,0.805403,0.315234,cold_start,10,0.013121,0.877616,-0.543659
0,10,110,20,3,unformed,,0.5,0.3,0.0,0.0,0.682452,0.012231,0.0,0.0,0.936894,0.009932,0.0,0.0,8.714086,-3.15479,0.0,0.0,25.243286,0.651312,0.395349,0.450844,0.777301,0.981754,0.152661,cold_start,38,0.023043,0.202539,2.361166
0,64,114,20,3,unformed,,0.0,0.0,0.0,0.0,0.722979,-0.006115,0.0,0.0,0.903988,-0.000755,0.0,0.0,0.0,0.0,0.0,0.0,11.326248,0.249735,0.046512,0.245078,0.176513,0.530838,0.455828,cold_start,6,0.036781,0.696104,2.745206
0,65,115,20,3,unformed,,0.166667,-0.033333,0.0,0.0,0.713416,-0.084448,0.0,0.0,0.927496,-0.029004,0.0,0.0,25.379639,-2.672009,0.0,0.0,12.747784,0.323968,0.0,0.009867,0.529404,0.756602,0.372376,cold_start,2,0.0,0.418755,2.918515
0,66,116,20,3,unformed,,0.166667,-0.033333,0.0,0.0,0.752748,-0.048277,0.0,0.0,0.94612,0.010422,0.0,0.0,25.32888,-2.666665,0.0,0.0,12.506674,0.174723,0.023256,0.006392,0.167714,0.501532,0.559167,cold_start,4,0.022995,0.813988,-0.105729
0,19,119,20,3,unformed,,0.5,0.3,0.0,0.0,0.626131,-0.021444,0.0,0.0,0.913962,0.029861,0.0,0.0,1.792096,-0.836583,0.0,0.0,35.367998,0.581693,1.197674,0.315882,0.018251,0.794965,0.184539,cold_start,108,0.029062,0.237125,-2.956607
0,22,122,20,3,unformed,,0.5,0.3,0.0,0.0,0.646461,-0.042828,0.0,0.0,0.950587,-0.00644,0.0,0.0,11.51671,-6.132195,0.0,0.0,33.827521,0.326284,0.488372,0.230755,0.52376,0.062249,0.370035,cold_start,47,0.02604,0.163072,2.471283
0,26,126,20,3,unformed,,0.285714,0.285714,0.0,0.0,0.716844,-0.029149,0.0,0.0,0.936459,0.004676,0.0,0.0,12.13319,12.13319,0.0,0.0,33.641408,0.29043,0.313953,0.307953,0.203999,0.335815,0.407998,cold_start,32,0.023619,0.38809,2.862198
0,41,141,20,3,unformed,,0.857143,-0.142857,0.0,0.0,0.695789,-0.069367,0.0,0.0,0.946538,0.001603,0.0,0.0,13.244257,0.135977,0.0,0.0,34.166557,0.49681,0.406977,0.436421,0.253518,0.890324,0.232545,cold_start,40,0.027325,0.074734,1.070398
0,42,142,20,3,unformed,,0.285714,0.119048,0.0,0.0,0.671287,0.01778,0.0,0.0,0.936244,-0.005298,0.0,0.0,17.440139,0.483937,0.0,0.0,32.576722,0.603712,0.674419,0.399104,0.714572,0.626754,0.173796,cold_start,63,0.027481,0.176556,2.885167
0,44,144,20,3,unformed,,0.428571,0.095238,0.0,0.0,0.7278,-0.058573,0.0,0.0,0.93874,-0.003218,0.0,0.0,19.888457,2.6022,0.0,0.0,25.912894,0.50169,0.348837,0.322431,0.545249,0.790242,0.229474,cold_start,34,0.026166,0.271684,-2.586927
0,0,150,20,4,none,,1.0,0.166667,0.333333,0.499999,0.747783,0.006731,0.088559,0.076001,0.94175,-0.001274,0.029439,-0.043277,13.374472,2.918081,9.350879,0.312065,33.104708,0.528144,0.616279,0.309403,0.682195,0.504699,0.21352,FALSE,58,0.030163,0.121877,-2.199627
0,2,152,20,4,none,,0.857143,-0.142857,0.380952,-0.374999,0.780607,0.011024,0.017301,0.63715,0.943068,-0.002156,0.015834,-0.136144,6.84512,0.379105,2.604446,0.145561,32.649914,0.518956,0.767442,0.355986,0.776476,0.175919,0.218932,TRUE,71,0.038261,0.123329,0.215653
0,52,152,20,4,none,,0.285714,-0.047619,0.071429,-0.666657,0.711912,0.009148,0.052348,0.174752,0.897054,-0.003726,0.05015,-0.07429,17.796215,3.692962,5.598738,0.659606,19.356805,0.276613,0.127907,0.244398,0.064212,0.669935,0.423647,TRUE,14,0.032681,0.386659,-3.00918
