window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
30,4999,3125,0,0,3,1.9197,1,203.3,3125,0,4.53,1.0151,3078.6,0,1.0,7,0,3,212,0.026123,0.2,0.0,27,7.9,0.1308,0.0417,0,1,0,0,0.2,0.015625,10,0.9219,2.6037,0.5696
31,4998,2997,0,0,3,1.9561,1,207.7,0,2992,4.47,0.976,3070.8,5,1.0,7,2,2,171,0.024299,0.1707,151.5152,12,4.6,0.128,0.0338,0,2,0,0,0.170732,0.015625,9,0.9085,2.6525,0.5677
32,4998,3038,0,0,3,1.9698,1,204.4,0,3038,4.38,0.9903,3067.7,0,1.0,5,0,2,122,0.038202,0.2727,0.0,13,7.4,0.1875,0.0617,0,0,0,0,0.272727,0.015625,6,0.9427,2.6525,0.5701
33,4998,3133,2,5,3,1.9699,1,204.7,3124,0,4.54,1.0192,3073.9,9,1.0,6,2,1,163,0.033747,0.2407,176.4706,14,6.3,0.1407,0.045,1,0,0,0,0.240741,0.015625,7,0.9351,2.6525,0.5649
34,4996,3002,1,5,3,1.983,1,207.1,9,2993,4.47,0.9788,3067.1,9,1.0,7,1,0,169,0.032859,0.3265,183.6735,15,6.3,0.1429,0.0771,1,0,0,0,0.326531,0.015625,7,0.9521,2.6525,0.564
35,4995,3118,1,3,3,1.9726,2,211.2,3114,0,4.47,1.015,3071.9,4,1.0,7,1,1,182,0.028518,0.2045,95.2381,16,6.4,0.1227,0.0486,0,1,0,0,0.204545,0.015625,8,0.9236,2.6525,0.561
36,4994,3012,1,3,3,1.93,2,213.2,5,3007,4.4,0.9823,3066.2,5,1.0,8,3,2,188,0.024769,0.1915,69.7674,17,6.5,0.1021,0.0368,0,0,0,0,0.191489,0.015625,10,0.9184,2.6525,0.5584
37,4994,3022,0,0,3,1.9502,2,210.3,8,3014,4.43,0.9869,3062.0,8,1.0,11,5,2,198,0.022171,0.1404,150.9434,18,5.5,0.0982,0.0257,0,0,0,0,0.175439,0.015625,10,0.9109,2.6525,0.5571
38,4994,3026,0,0,3,1.9502,1,212.6,9,3017,4.36,0.9894,3058.6,9,1.0,10,1,2,207,0.024819,0.1455,166.6667,19,6.6,0.0955,0.0287,0,1,0,0,0.163636,0.015625,11,0.9045,2.6525,0.5557
39,4993,3143,0,0,3,1.9463,1,218.1,3135,0,4.52,1.0252,3066.7,9,1.0,10,1,1,183,0.022742,0.1731,166.6667,20,7.6,0.101,0.0359,0,0,0,0,0.269231,0.015625,10,0.942,2.8187,0.5586
