window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6035,13,5,0,1.9997,0,33.2,0,0,6.53,1.0,6035.0,525,1.0,330,504,174,1894,0.001097,0.0132,381.646,0,0.0,0.0132,0.0013,1,0,0,0,0.033908,0.015625,64,0.5392,0.0339,0.2562
2,5000,3548,5,5,0,1.9997,0,36.9,402,3151,5.08,0.8144,4401.0,397,1.0,266,21,85,1985,0.001334,0.0099,370.5441,1,0.9,0.0073,0.0014,2,0,0,0,0.038787,0.015625,64,0.5972,0.0704,0.2512
3,5000,3310,0,0,1,1.9997,0,43.9,211,3102,4.78,0.8622,3868.0,208,1.0,217,9,58,1731,0.001672,0.0135,280.8684,2,1.9,0.0112,0.002,0,0,0,0,0.042697,0.015625,63,0.634,0.1131,0.2646
4,5000,3140,0,0,3,1.9997,0,66.9,37,3101,4.55,0.8802,3582.0,39,1.0,153,0,64,1505,0.002131,0.0221,81.25,3,2.9,0.0184,0.0029,0,0,0,0,0.053309,0.015625,61,0.7069,0.1664,0.2779
5,5000,3061,2,4,0,1.9997,0,85.3,5,3052,4.41,0.8981,3408.3,9,1.0,116,4,41,1276,0.002604,0.0199,22.5989,4,3.8,0.0141,0.0033,0,0,0,0,0.052109,0.015625,60,0.7001,0.2185,0.2829
6,5000,3137,2,5,0,1.9995,1,97.4,3,3129,4.59,0.9418,3330.8,8,1.0,73,2,45,972,0.003895,0.0519,28.8809,5,4.6,0.0308,0.0077,1,0,0,0,0.100649,0.015625,52,0.8448,0.3192,0.3063
7,5000,3192,2,4,0,1.9987,2,106.8,11,3176,4.48,0.9684,3296.1,16,1.0,60,2,15,745,0.00554,0.0471,64.5161,6,5.3,0.0304,0.0089,0,0,0,0,0.070588,0.015625,42,0.7786,0.3897,0.3214
8,5000,3118,1,4,0,1.9972,2,121.2,12,3101,4.52,0.9575,3256.5,17,1.0,49,3,14,694,0.006005,0.0602,85.8586,7,5.8,0.0312,0.0112,0,0,0,0,0.097222,0.015625,39,0.8393,0.4546,0.3371
9,5000,3125,0,0,3,1.9968,2,125.5,12,3109,4.54,0.9674,3230.2,16,1.0,36,0,13,554,0.007426,0.0534,84.6561,8,6.6,0.04,0.0115,0,0,0,0,0.11165,0.015625,31,0.8601,0.5662,0.3638
10,5000,3046,2,3,0,1.9909,1,139.3,9,3030,4.41,0.9528,3196.7,16,1.0,36,5,5,489,0.008519,0.0748,113.4752,9,6.8,0.0442,0.015,0,0,0,0,0.095238,0.015625,29,0.8359,0.641,0.3853
