seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,gk,div,svi,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c,isl_0.10,cisl_0.10,mix_0.10,isl_0.15,cisl_0.15,mix_0.15,isl_0.20,cisl_0.20,mix_0.20,isl_0.25,cisl_0.25,mix_0.25,isl_0.30,cisl_0.30,mix_0.30
3,1,1,2127,61.0201,1.5848,7,0,1.0,1,0,0,0.0,0,0,0,A,B,A,B,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
3,2,0,2074,59.9686,1.584,12,0,1.0,1,0,0,0.1818,1,1,0,A,B,A,B,5,3,0,5,2,0,5,2,0,3,2,0,3,2,0
3,3,0,2096,57.7156,1.5756,2,0,1.0,1,0,1,0.0,0,0,1,A,B,A,B,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
3,4,0,2072,58.3497,1.5735,6,0,1.0,1,4,0,0.0,0,0,0,A,C,A,B,4,0,1,3,0,0,2,0,0,1,0,0,1,0,0
3,5,0,1976,53.6546,1.5721,2,0,1.0,1,1,1,0.0,0,0,0,C,B,A,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,2122,57.2899,1.5682,2,0,1.0,1,4,0,2.0,0,0,0,A,B,A,C,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,7,0,2015,55.3111,1.5343,1,0,1.0,1,4,0,0.0,0,0,0,A,B,C,C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0,2008,56.857,1.5751,5,0,1.0,1,4,0,0.0,0,1,0,A,B,C,C,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
3,9,0,2020,55.3774,1.5726,7,0,1.0,1,3,1,0.0,0,0,0,A,B,A,B,4,0,0,4,0,0,1,0,0,1,0,0,1,0,0
3,10,0,2043,59.9021,1.546,9,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,4,0,0,2,0,0,2,0,0,2,0,0,2,0,0
3,11,0,1980,55.3341,1.557,5,0,1.0,1,4,0,0.0,0,1,0,A,B,A,B,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0
3,12,0,2043,55.6576,1.5492,4,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0
3,13,0,2129,58.5703,1.5462,2,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,0,2106,59.0177,1.5735,6,0,1.0,1,4,0,0.0,0,0,0,A,C,C,B,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,15,0,2019,56.6841,1.546,5,0,1.0,1,4,0,0.0,0,0,0,A,C,C,B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,16,0,2115,58.6592,1.5808,4,0,1.0,1,3,1,0.0,0,0,0,A,B,A,B,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3,17,0,2071,56.2447,1.519,2,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18,0,2015,54.4074,1.5505,2,0,1.0,1,4,0,0.0,0,0,1,A,B,A,B,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0
3,19,0,2082,57.4312,1.5835,4,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3,20,0,2023,55.356,1.5391,3,0,1.0,1,3,1,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,0,2070,59.1339,1.4787,8,0,1.0,1,4,0,2.0,0,0,0,A,B,A,B,4,2,0,2,0,0,1,0,0,1,0,0,1,0,0
3,22,0,2035,56.3852,1.4531,2,0,1.0,1,4,0,0.0,0,0,0,A,B,A,C,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,23,0,1990,53.2269,1.183,2,0,1.0,1,4,0,0.0,0,0,0,A,C,A,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,24,0,2062,56.6166,1.4041,4,0,1.0,1,4,0,0.0,0,0,0,A,C,A,C,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
3,25,1,2101,60.1486,1.5816,10,0,1.0,1,4,0,1.2247,0,1,0,A,B,C,B,5,1,2,3,0,2,2,1,1,1,0,1,1,0,1
