window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
48,4836,2931,1,5,3,1.9367,2,12.1,13,2914,4.4,0.9659,3034.4,17,1.0,47,1,1,803,0.002599,0.056,74.8899,47,24.8,0.0268,0.0109,1,0,0,0,0.090517,0.015625,35,0.8274,2.0957,0.3565,0.002669
49,4821,3065,0,0,3,1.9498,2,12.1,3057,0,4.53,1.0091,3037.3,8,1.0,45,0,2,792,0.002285,0.0444,32.7869,48,26.6,0.0255,0.0107,0,0,0,0,0.064516,0.015625,34,0.7578,2.1562,0.3578,0.002776
50,4817,2968,1,5,3,1.9656,1,12.0,4,2959,4.47,0.9793,3030.7,9,1.0,46,1,0,798,0.002275,0.0496,37.6569,49,27.0,0.0267,0.0119,1,0,0,0,0.070248,0.015625,33,0.7776,2.2264,0.3596,0.002887
51,4801,2947,1,4,3,1.9553,1,12.0,12,2931,4.49,0.9752,3022.8,16,1.0,49,6,3,836,0.002524,0.0484,58.8235,50,25.3,0.0228,0.01,0,0,0,0,0.080645,0.015625,36,0.8063,2.3071,0.3585,0.003
52,4794,2911,2,3,3,1.9386,2,11.9,5,2906,4.44,0.9664,3012.2,5,1.0,51,5,3,836,0.002096,0.0518,20.9205,51,24.2,0.0233,0.0101,0,0,0,0,0.075697,0.015625,34,0.7936,2.3589,0.3595,0.003113
53,4787,2978,1,5,3,1.9431,2,11.9,6,2967,4.5,0.9897,3008.9,11,1.0,49,2,4,851,0.00211,0.0484,42.0168,52,25.5,0.0238,0.0089,1,0,0,0,0.084677,0.015625,35,0.8155,2.4435,0.3607,0.003224
54,4785,2944,1,4,3,1.8503,2,12.0,9,2930,4.4,0.9804,3002.7,14,1.0,51,3,1,823,0.002012,0.0542,60.8696,53,24.8,0.0252,0.0097,0,1,0,0,0.0625,0.015625,35,0.75,2.4977,0.3615,0.003331
55,4779,2968,0,0,3,1.9432,2,11.8,7,2953,4.51,0.9895,2999.4,15,1.0,48,5,8,847,0.002034,0.0485,50.9804,54,26.2,0.0252,0.0119,0,0,0,0,0.078358,0.015625,33,0.8006,2.5462,0.362,0.003434
56,4776,2969,1,3,3,1.9257,1,11.9,9,2955,4.5,0.9908,2996.5,14,1.0,49,3,2,815,0.002184,0.0431,57.377,55,26.6,0.0237,0.0106,0,0,0,0,0.078431,0.015625,34,0.8008,2.5972,0.3626,0.003529
57,4775,2868,0,0,3,1.8992,1,11.8,4,2862,4.37,0.961,2984.3,6,1.0,46,2,5,811,0.002182,0.0478,20.1005,56,28.4,0.0273,0.0104,0,0,0,0,0.076555,0.015625,34,0.7959,2.6403,0.364,0.003616
