seed,plb,rate,quiet,n_windows,rule,base_dom,base_sw,hyst_dom,hyst_sw,hyst_first_half,hyst_second_half,hyst_time_stable,mean_margin,pct_close,elapsed
42,0.008,0.002,5000,25,both,4,8.0,4,0.0,4,4,True,0.0812,48.0,26.9
456,0.008,0.002,5000,25,both,4,7.0,4,1.0,4,4,True,0.2119,28.0,26.8
55,0.008,0.002,5000,25,both,4,6.0,4,0.0,4,4,True,0.1702,20.0,27.2
7,0.008,0.002,5000,25,both,4,9.0,4,1.0,4,4,True,0.1418,44.0,26.7
789,0.008,0.002,5000,25,both,4,7.0,4,3.0,4,4,True,0.1759,16.0,27.0
999,0.008,0.002,5000,25,both,4,8.0,4,0.0,4,4,True,0.1384,28.0,26.9
123,0.008,0.005,5000,25,both,4,4.0,4,0.0,4,4,True,0.2742,24.0,26.5
1337,0.008,0.005,5000,25,both,4,2.0,4,0.0,4,4,True,0.3159,8.0,26.7
2024,0.008,0.005,5000,25,both,4,5.0,4,1.0,4,4,True,0.2474,8.0,26.5
314,0.008,0.005,5000,25,both,4,3.0,4,1.0,4,4,True,0.2633,12.0,26.6
42,0.008,0.005,5000,25,both,4,5.0,4,1.0,4,4,True,0.2081,12.0,27.0
456,0.008,0.005,5000,25,both,4,3.0,4,1.0,4,4,True,0.2327,8.0,26.9
55,0.008,0.005,5000,25,both,4,1.0,4,1.0,4,4,True,0.3191,0.0,26.8
7,0.008,0.005,5000,25,both,4,4.0,4,2.0,4,4,True,0.2722,12.0,26.9
789,0.008,0.005,5000,25,both,4,0.0,4,0.0,4,4,True,0.2834,0.0,26.7
999,0.008,0.005,5000,25,both,4,2.0,4,2.0,4,4,True,0.3172,0.0,27.0
123,0.01,0.0005,5000,25,both,3,4.0,4,1.0,3,4,False,0.0489,80.0,29.1
1337,0.01,0.0005,5000,25,both,3,6.0,4,1.0,3,4,False,0.0268,72.0,29.0
2024,0.01,0.0005,5000,25,both,3,8.0,4,1.0,4,4,True,0.0829,68.0,29.7
314,0.01,0.0005,5000,25,both,3,8.0,4,1.0,4,4,True,0.0402,68.0,28.8
42,0.01,0.0005,5000,25,both,3,8.0,4,1.0,4,4,True,0.0369,76.0,29.2
456,0.01,0.0005,5000,25,both,3,4.0,4,1.0,4,4,True,0.0794,56.0,29.3
55,0.01,0.0005,5000,25,both,3,6.0,4,1.0,4,4,True,0.0276,76.0,29.0
7,0.01,0.0005,5000,25,both,3,4.0,4,1.0,4,4,True,0.0764,72.0,29.1
789,0.01,0.0005,5000,25,both,3,4.0,4,1.0,4,4,True,0.0169,88.0,29.3
999,0.01,0.0005,5000,25,both,3,4.0,4,1.0,4,4,True,0.0184,84.0,29.5
123,0.01,0.001,5000,25,both,3,8.0,4,1.0,3,4,False,0.0754,72.0,28.7
1337,0.01,0.001,5000,24,both,3,9.0,4,3.0,4,4,True,0.0828,45.8,29.0
2024,0.01,0.001,5000,25,both,4,7.0,4,1.0,4,4,True,0.0887,36.0,29.1
314,0.01,0.001,5000,25,both,4,6.0,4,1.0,4,4,True,0.1245,40.0,29.1
42,0.01,0.001,5000,25,both,4,6.0,4,1.0,4,4,True,0.1016,52.0,29.1
456,0.01,0.001,5000,25,both,3,4.0,4,1.0,4,4,True,0.0644,60.0,28.8
55,0.01,0.001,5000,25,both,3,6.0,4,1.0,4,4,True,0.0408,56.0,29.0
7,0.01,0.001,5000,25,both,4,7.0,4,1.0,4,4,True,0.0798,40.0,29.0
789,0.01,0.001,5000,25,both,4,5.0,4,1.0,4,4,True,0.1127,48.0,29.8
999,0.01,0.001,5000,25,both,3,9.0,4,1.0,4,4,True,0.046,64.0,29.2
123,0.01,0.002,5000,25,both,4,9.0,4,1.0,4,4,True,0.0932,44.0,29.2
1337,0.01,0.002,5000,25,both,4,6.0,4,0.0,4,4,True,0.1601,28.0,28.6
2024,0.01,0.002,5000,25,both,4,9.0,4,1.0,4,4,True,0.1786,28.0,29.1
314,0.01,0.002,5000,25,both,4,3.0,4,0.0,4,4,True,0.2049,32.0,28.7
42,0.01,0.002,5000,25,both,4,6.0,4,2.0,4,4,True,0.1923,20.0,29.1
456,0.01,0.002,5000,25,both,4,8.0,4,0.0,4,4,True,0.2115,28.0,29.0
55,0.01,0.002,5000,25,both,4,10.0,4,3.0,4,4,True,0.1388,24.0,29.0
7,0.01,0.002,5000,25,both,4,8.0,4,1.0,4,4,True,0.1749,28.0,28.9
789,0.01,0.002,5000,25,both,4,7.0,4,1.0,4,4,True,0.1515,20.0,29.3
999,0.01,0.002,5000,25,both,4,11.0,4,1.0,4,4,True,0.1452,24.0,28.9
123,0.01,0.005,5000,25,both,4,3.0,4,0.0,4,4,True,0.3329,8.0,28.6
1337,0.01,0.005,5000,25,both,4,2.0,4,0.0,4,4,True,0.289,4.0,28.3
2024,0.01,0.005,5000,25,both,4,2.0,4,0.0,4,4,True,0.3088,8.0,28.7
314,0.01,0.005,5000,25,both,4,4.0,4,0.0,4,4,True,0.2746,8.0,28.8
42,0.01,0.005,5000,25,both,4,0.0,4,0.0,4,4,True,0.408,0.0,28.6
456,0.01,0.005,5000,25,both,4,0.0,4,0.0,4,4,True,0.3723,0.0,28.6
55,0.01,0.005,5000,25,both,4,0.0,4,0.0,4,4,True,0.3099,0.0,28.5
7,0.01,0.005,5000,25,both,4,3.0,4,0.0,4,4,True,0.2431,12.0,30.8
789,0.01,0.005,5000,25,both,4,0.0,4,0.0,4,4,True,0.3214,0.0,29.1
999,0.01,0.005,5000,25,both,4,0.0,4,0.0,4,4,True,0.3506,0.0,28.7
