seed,window_id,step_start,step_end,island_count,max_island_size,island_sizes_str,loop3,loop4,loop5,strength_entropy,X_total,C,B,active_links
2024,16,3300,3500,0,0,[],0,0,0,1.1036,0.5903,0.5247,0.0656,244
2024,17,3500,3700,0,0,[],0,0,0,1.226,0.5397,0.472,0.0677,192
2024,18,3700,3900,0,0,[],0,0,0,1.5588,0.421,0.3287,0.0923,195
2024,19,3900,4100,2,4,"[4, 3]",0,0,0,1.3236,0.5096,0.43,0.0796,201
2024,20,4100,4300,1,3,[3],0,0,0,1.3744,0.557,0.4081,0.1489,188
2024,21,4300,4500,5,4,"[4, 4, 4, 3, 3]",0,0,0,1.7005,0.4343,0.2676,0.1667,198
2024,22,4500,4700,1,3,[3],0,0,0,1.5089,0.4669,0.3501,0.1168,197
2024,23,4700,4900,4,4,"[4, 4, 4, 3]",0,0,0,1.6904,0.4272,0.272,0.1553,219
2024,24,4900,5100,2,3,"[3, 3]",0,0,0,1.561,0.4983,0.3277,0.1706,211
2024,25,5100,5300,0,0,[],0,0,0,1.5624,0.4887,0.3271,0.1616,229
314,1,300,500,1,6,[6],0,0,0,1.5095,0.5134,0.3499,0.1635,208
314,2,500,700,1,4,[4],0,0,0,1.3592,0.4838,0.4146,0.0691,188
314,3,700,900,2,5,"[5, 3]",0,0,0,1.3673,0.5327,0.4111,0.1215,181
314,4,900,1100,2,3,"[3, 3]",0,0,0,1.5266,0.5068,0.3425,0.1643,213
314,5,1100,1300,1,4,[4],0,0,0,1.3752,0.465,0.4077,0.0573,227
314,6,1300,1500,0,0,[],0,0,0,1.2907,0.4709,0.4441,0.0267,187
314,7,1500,1700,1,3,[3],0,0,0,1.2133,0.5522,0.4775,0.0747,174
314,8,1700,1900,1,5,[5],0,0,0,1.2578,0.5704,0.4583,0.1121,214
314,9,1900,2100,0,0,[],0,0,0,1.2525,0.534,0.4606,0.0734,177
314,10,2100,2300,1,4,[4],0,0,0,1.2118,0.5507,0.4781,0.0725,193
314,11,2300,2500,1,7,[7],0,0,0,1.4346,0.5379,0.3822,0.1558,199
314,12,2500,2700,2,3,"[3, 3]",0,0,0,1.3742,0.4771,0.4082,0.069,203
314,13,2700,2900,2,3,"[3, 3]",0,0,0,1.4925,0.4768,0.3572,0.1196,209
314,14,2900,3100,6,5,"[5, 4, 3, 3, 3]",0,0,0,1.7747,0.4595,0.2357,0.2238,210
314,15,3100,3300,2,5,"[5, 5]",0,0,0,1.4852,0.472,0.3604,0.1117,206
314,16,3300,3500,0,0,[],0,0,0,1.346,0.4682,0.4203,0.0478,209
314,17,3500,3700,3,5,"[5, 4, 4]",0,0,0,1.615,0.461,0.3044,0.1566,198
314,18,3700,3900,0,0,[],0,0,0,1.433,0.5392,0.3828,0.1564,211
314,19,3900,4100,2,3,"[3, 3]",0,0,0,1.5451,0.4767,0.3346,0.1421,197
314,20,4100,4300,4,5,"[5, 4, 4, 3]",0,0,0,1.5006,0.4776,0.3537,0.1239,226
314,21,4300,4500,3,3,"[3, 3, 3]",0,0,0,1.6372,0.4577,0.2949,0.1628,215
314,22,4500,4700,1,4,[4],0,0,0,1.5163,0.4425,0.347,0.0955,178
314,23,4700,4900,2,3,"[3, 3]",0,0,0,1.6845,0.4078,0.2745,0.1333,195
314,24,4900,5100,4,4,"[4, 3, 3, 3]",0,0,0,1.6012,0.4973,0.3104,0.1869,214
314,25,5100,5300,8,5,"[5, 4, 4, 4, 3]",0,0,0,1.7373,0.4537,0.2518,0.202,203
42,1,300,500,2,4,"[4, 3]",0,0,0,1.498,0.4622,0.3549,0.1073,205
456,1,300,500,1,4,[4],0,0,0,1.5118,0.5245,0.3489,0.1756,205
456,2,500,700,1,3,[3],0,0,0,1.235,0.5687,0.4681,0.1006,179
456,3,700,900,2,3,"[3, 3]",0,0,0,1.4843,0.4787,0.3608,0.118,178
456,4,900,1100,1,4,[4],0,0,0,1.5051,0.4961,0.3518,0.1443,194
456,5,1100,1300,1,4,[4],0,0,0,1.3041,0.5405,0.4384,0.1022,186
456,6,1300,1500,1,3,[3],0,0,0,1.4625,0.4597,0.3701,0.0896,212
456,7,1500,1700,2,6,"[6, 5]",0,0,0,1.5278,0.4972,0.342,0.1552,174
456,8,1700,1900,2,4,"[4, 4]",0,0,0,1.5549,0.4414,0.3303,0.1111,189
456,9,1900,2100,2,5,"[5, 3]",0,0,0,1.516,0.445,0.3471,0.0979,194
456,10,2100,2300,2,5,"[5, 4]",0,0,0,1.5828,0.4674,0.3183,0.1491,228
456,11,2300,2500,1,4,[4],0,0,0,1.5878,0.4162,0.3162,0.1,190
456,12,2500,2700,2,3,"[3, 3]",0,0,0,1.2902,0.5326,0.4443,0.0882,204
456,13,2700,2900,2,4,"[4, 4]",0,0,0,1.6586,0.3738,0.2857,0.0881,193
456,14,2900,3100,4,5,"[5, 4, 3, 3]",0,0,0,1.7065,0.4973,0.2651,0.2322,211
456,15,3100,3300,2,3,"[3, 3]",0,0,0,1.7188,0.3877,0.2597,0.128,211
456,16,3300,3500,0,0,[],0,0,0,1.1728,0.5849,0.4949,0.0899,189
456,17,3500,3700,2,3,"[3, 3]",0,0,0,1.4828,0.4687,0.3614,0.1073,205
456,18,3700,3900,4,5,"[5, 3, 3, 3]",0,0,0,1.58,0.4965,0.3195,0.177,226
456,19,3900,4100,3,8,"[8, 4, 3]",0,0,0,1.4709,0.4946,0.3665,0.1281,203
456,20,4100,4300,2,6,"[6, 4]",0,0,0,1.413,0.4957,0.3915,0.1043,211
456,21,4300,4500,2,5,"[5, 3]",0,0,0,1.5669,0.3947,0.3252,0.0695,187
456,22,4500,4700,1,3,[3],0,0,0,1.4579,0.4566,0.3721,0.0845,213
456,23,4700,4900,1,3,[3],0,0,0,1.3363,0.4853,0.4245,0.0608,181
456,24,4900,5100,5,5,"[5, 4, 3, 3, 3]",0,0,0,1.5643,0.532,0.3263,0.2057,209
456,25,5100,5300,1,4,[4],0,0,0,1.3128,0.5053,0.4346,0.0707,198
