seed,cid,n_core,n_pulses,ac_lag1,ac_lag2,ac_lag3,ac_lag5,ac_lag10
4,0,5,497,0.04989,0.006111,0.026342,0.001463,-0.025975
4,1,5,387,-0.038339,0.0236,0.018706,-0.043394,-0.040606
4,2,5,497,-0.010457,0.002862,0.003679,-0.020666,0.015523
4,57,5,497,0.052356,0.013659,0.053818,0.082493,0.079826
4,11,5,497,0.008846,-0.063979,0.036244,0.014591,0.011864
4,62,5,497,-0.001067,0.03698,-0.010988,-0.041845,0.039789
4,64,5,497,0.04459,0.053375,-0.041801,-0.0391,0.01073
4,65,5,497,0.032776,0.127066,-0.049607,-0.05228,-0.052747
4,67,3,497,0.088811,-0.069841,0.056286,-0.047902,0.02458
4,27,5,367,0.062929,-0.020995,-0.024745,0.05872,0.085419
4,82,4,367,0.156159,0.130518,0.134093,0.063044,0.128977
4,42,5,497,0.046275,0.092335,0.085832,0.093851,0.142739
4,97,4,477,-0.010106,0.043618,0.074775,-0.004685,0.024323
4,99,5,467,-0.062198,-0.001512,0.079447,-0.04779,0.056172
4,114,5,367,0.127228,0.08158,0.040258,0.035852,0.139008
4,115,3,437,-0.046863,0.011479,0.032044,0.030554,-0.00354
4,128,4,417,0.024765,0.048395,-0.024872,-0.007538,0.067252
4,143,4,377,-0.002453,0.092125,0.085866,0.0318,0.014773
4,144,5,377,0.042115,-0.087928,0.125912,-0.013821,0.031249
4,148,4,327,0.198095,0.160559,0.025214,0.009318,0.080115
4,164,4,317,-0.079771,0.190713,-0.119907,0.010263,-0.081656
4,173,5,277,0.023844,-0.151066,0.051314,-0.047128,0.008614
4,183,2,187,-0.007748,0.012724,0.055084,-0.042392,0.113581
4,196,2,197,-0.011388,0.042344,-0.030174,-0.01898,-0.076394
4,200,5,177,0.052268,0.112601,0.036599,0.055359,-0.026341
4,201,4,177,-0.01512,-0.055955,0.006716,0.044346,0.046568
