bin_start,bin_end,n_pulses,n_cids,delta_mean,delta_p50,d_n_mean,d_s_mean,d_r_mean,d_phase_mean,capture_rate,p_capture_mean
424,429,275,55,0.423157,0.424307,0.394672,0.303273,0.488355,0.506328,0.338182,0.299354
429,434,269,55,0.422323,0.422677,0.395608,0.30374,0.462719,0.527224,0.29368,0.300027
434,439,265,53,0.420936,0.42289,0.395393,0.304337,0.474992,0.509023,0.29434,0.302701
439,444,259,53,0.42444,0.424073,0.389782,0.306081,0.471742,0.530156,0.301158,0.299124
444,449,255,51,0.436501,0.437952,0.441222,0.306323,0.483831,0.514626,0.309804,0.288425
449,454,252,51,0.416098,0.416652,0.375554,0.304744,0.454142,0.529954,0.293651,0.306313
454,459,250,50,0.428995,0.418579,0.430186,0.304128,0.476551,0.505114,0.304,0.295023
459,464,241,50,0.416061,0.41378,0.396459,0.304683,0.465958,0.497144,0.3361,0.308171
464,469,235,47,0.41973,0.416217,0.41242,0.304371,0.477845,0.484283,0.306383,0.30425
469,474,229,47,0.433518,0.43357,0.44313,0.303696,0.479108,0.508139,0.31441,0.29561
474,479,225,45,0.427228,0.417905,0.412868,0.303188,0.492831,0.500025,0.324444,0.29909
479,484,216,45,0.412591,0.401802,0.386574,0.30382,0.473536,0.486433,0.296296,0.307849
484,489,210,42,0.416474,0.414585,0.38505,0.302391,0.475448,0.503008,0.338095,0.306715
489,494,207,42,0.417445,0.414874,0.383496,0.303399,0.462754,0.52013,0.299517,0.307975
494,499,205,41,0.40524,0.386944,0.368463,0.306412,0.464677,0.481408,0.292683,0.316443
499,504,82,41,0.41098,0.402752,0.384714,0.304966,0.451402,0.502839,0.292683,0.310966
