rate,seed,window,from_k,to_k,dH3,dH4,d_none,d_hit,margin_before,margin_after,d_dr3,d_dr4
0.001,2024,9,4,3,-0.708,-0.9199,-0.1538,-0.0769,0.1256,0.0,0.0786,0.0334
0.001,2024,11,3,4,0.255,0.255,0.0082,-0.125,0.0,0.1898,-0.0973,0.0925
0.001,2024,13,4,3,-1.3245,-1.3245,0.25,-0.0625,0.1322,0.0,0.1147,-0.0175
0.001,2024,14,3,4,1.736,1.8981,-0.2353,0.0588,0.0,0.0508,0.0738,0.0738
0.001,2024,16,4,3,-0.7854,-0.7854,0.15,0.0,0.0628,0.0,0.1375,0.0747
0.001,2024,22,3,4,-0.0532,0.3801,-0.1515,0.0202,0.0,0.3737,-0.0747,0.0266
0.002,7,1,3,4,-0.0416,0.1907,-0.0168,0.0436,-0.0039,0.2016,,
0.002,7,4,4,3,0.4493,0.4493,-0.2024,0.0,0.0357,0.0,-0.162,-0.1977
0.002,7,5,3,4,-0.0177,0.3776,0.013,0.0909,0.0,0.3927,-0.2144,-0.0095
0.002,7,10,4,3,0.9158,0.9158,-0.2862,0.0954,0.0374,0.0,0.1276,0.0902
0.002,7,11,3,4,-0.2197,-0.2197,0.1404,-0.1579,0.0,0.1865,-0.1612,0.0253
0.002,7,15,4,3,-1.0722,-1.0722,0.1333,0.0,0.0192,0.0,0.171,0.1518
0.002,7,18,3,4,-0.777,-0.1398,0.1904,0.2381,0.0,0.7076,-0.3545,-0.1526
0.002,7,20,4,3,0.469,0.469,-0.1,0.0,0.1522,0.0,-0.0923,-0.2445
0.002,7,21,3,4,-0.469,0.2529,0.1,0.2,0.0,0.5916,0.0,0.1622
0.002,7,23,4,3,-1.371,-1.371,0.2,0.0,0.0708,0.0,0.0,-0.0708
0.002,42,1,4,3,0.747,0.4363,-0.0708,-0.0229,0.1441,-0.0206,,
0.002,42,2,3,4,0.7234,0.6824,-0.1553,-0.0455,-0.0206,0.0988,-0.0474,0.0018
0.002,42,5,4,3,0.9196,0.9196,-0.3591,0.0,0.203,0.0,0.1828,-0.0202
0.002,42,7,3,4,-0.5665,0.2448,0.1333,0.25,0.0,0.6953,-0.1348,0.0417
0.002,42,9,4,3,0.6211,0.6211,0.0686,0.125,0.1334,0.0,0.0647,-0.0687
0.002,42,10,3,4,0.3162,0.513,-0.119,0.0179,0.0,0.114,-0.1654,-0.1167
0.002,42,14,4,3,0.0903,0.0903,-0.1154,0.0,0.0358,0.0,-0.1982,-0.234
