seed,cid,n_core,v14_q0,lifespan,n_cognition,n_consciousness,n_skip,n_ingestions,c_max,C_at_run_end,final_state,n_con_bin
7,103,4,26,21000.0,71,9,19,9,62.0,62,hosted,5-9
8,21,5,33,25000.0,69,8,32,8,61.0,61,hosted,5-9
8,32,4,25,25000.0,58,8,30,8,50.0,50,hosted,5-9
8,46,5,33,25000.0,72,8,39,8,64.0,64,hosted,5-9
8,79,5,33,25000.0,71,9,30,9,62.0,62,hosted,5-9
8,89,5,35,23500.0,58,7,26,7,51.0,51,hosted,5-9
8,100,4,25,21000.0,61,10,22,10,51.0,51,hosted,10-19
8,107,5,32,20000.0,67,8,44,8,59.0,59,hosted,5-9
8,119,5,32,17500.0,51,7,46,7,44.0,44,hosted,5-9
8,134,5,34,15500.0,71,8,40,8,63.0,63,hosted,5-9
8,145,5,33,14500.0,46,5,49,5,41.0,41,hosted,5-9
8,148,5,33,14000.0,53,8,57,8,45.0,45,hosted,5-9
9,1,4,25,25000.0,57,7,59,7,50.0,50,hosted,5-9
9,26,5,34,25000.0,86,11,43,11,75.0,75,hosted,10-19
9,34,5,33,25000.0,61,6,40,6,55.0,55,hosted,5-9
9,35,5,35,21500.0,71,10,29,10,59.0,0,reaped,10-19
9,45,5,33,25000.0,72,10,38,10,62.0,62,hosted,10-19
9,75,5,33,24000.0,85,12,32,12,73.0,73,hosted,10-19
9,86,4,26,23500.0,55,5,53,5,50.0,50,hosted,5-9
9,91,5,34,23000.0,72,8,32,8,64.0,64,hosted,5-9
9,127,5,32,19000.0,78,14,49,14,64.0,64,hosted,10-19
9,140,5,33,17500.0,53,7,67,7,46.0,46,hosted,5-9
9,180,4,26,13000.0,46,6,44,6,40.0,40,hosted,5-9
10,15,5,33,25000.0,89,8,20,8,81.0,81,hosted,5-9
10,51,4,26,25000.0,56,5,50,5,51.0,51,hosted,5-9
10,83,4,25,25000.0,64,7,37,7,57.0,57,hosted,5-9
10,91,5,33,24000.0,67,8,41,8,59.0,59,hosted,5-9
10,121,5,32,21000.0,39,5,68,5,34.0,34,hosted,5-9
10,127,5,33,20500.0,41,5,55,5,36.0,36,hosted,5-9
10,137,5,33,18500.0,52,7,58,7,45.0,45,hosted,5-9
11,8,5,32,25000.0,57,6,55,6,51.0,51,hosted,5-9
11,35,5,33,25000.0,83,10,27,10,73.0,73,hosted,10-19
11,36,5,33,25000.0,70,8,56,8,62.0,62,hosted,5-9
11,54,5,33,25000.0,68,8,53,8,60.0,60,hosted,5-9
11,87,5,33,24500.0,66,8,50,8,58.0,58,hosted,5-9
11,92,5,33,24000.0,50,5,69,5,45.0,45,hosted,5-9
11,93,5,33,24000.0,72,10,41,10,62.0,62,hosted,10-19
11,99,5,33,23000.0,63,6,56,6,57.0,57,hosted,5-9
11,161,5,34,17000.0,47,6,66,6,41.0,41,hosted,5-9
11,164,5,32,16500.0,52,6,78,6,46.0,46,hosted,5-9
12,6,5,33,25000.0,75,8,47,8,67.0,67,hosted,5-9
12,7,5,33,25000.0,83,9,63,9,74.0,74,hosted,5-9
12,17,5,32,25000.0,61,7,71,7,54.0,54,hosted,5-9
12,22,5,33,25000.0,58,5,82,5,53.0,53,hosted,5-9
