N,window,ghost_count_mean,ghost_residual_Q_mean
500,20,4.75,37.375
500,21,8.25,30.208333333333332
500,22,10.375,17.75
500,23,12.25,12.458333333333334
500,24,13.791666666666666,9.125
500,25,14.916666666666666,6.125
500,26,15.666666666666666,3.9583333333333335
500,27,16.333333333333332,2.5
500,28,16.666666666666668,1.125
500,29,17.166666666666668,1.5
500,30,17.458333333333332,0.9583333333333334
500,31,17.75,1.0833333333333333
500,32,18.041666666666668,0.5416666666666666
500,33,18.083333333333332,0.4166666666666667
500,34,18.166666666666668,0.08333333333333333
500,35,18.25,0.16666666666666666
500,36,18.291666666666668,0.125
500,37,18.375,0.20833333333333334
500,38,18.375,0.0
500,39,18.375,0.0
500,40,18.375,0.0
500,41,18.375,0.0
500,42,18.375,0.0
500,43,18.375,0.0
500,44,18.375,0.0
500,45,18.416666666666668,0.125
500,46,18.416666666666668,0.0
500,47,18.416666666666668,0.0
500,48,18.416666666666668,0.0
500,49,18.416666666666668,0.0
500,50,18.416666666666668,0.0
500,51,18.416666666666668,0.0
500,52,18.416666666666668,0.0
500,53,18.416666666666668,0.0
500,54,18.416666666666668,0.0
500,55,18.416666666666668,0.0
500,56,18.416666666666668,0.0
500,57,18.416666666666668,0.0
500,58,18.416666666666668,0.0
500,59,18.416666666666668,0.0
500,60,18.416666666666668,0.0
500,61,18.416666666666668,0.0
500,62,18.416666666666668,0.0
500,63,18.416666666666668,0.0
500,64,18.416666666666668,0.0
500,65,18.416666666666668,0.0
500,66,18.416666666666668,0.0
500,67,18.416666666666668,0.0
500,68,18.416666666666668,0.0
500,69,18.416666666666668,0.0
1000,20,3.625,35.625
1000,21,7.375,44.041666666666664
1000,22,11.666666666666666,51.333333333333336
1000,23,15.291666666666666,48.75
1000,24,17.958333333333332,36.5
1000,25,20.25,26.291666666666668
1000,26,22.958333333333332,23.208333333333332
1000,27,25.958333333333332,23.791666666666668
1000,28,28.375,16.083333333333332
1000,29,30.666666666666668,13.833333333333334
1000,30,32.208333333333336,9.833333333333334
1000,31,33.875,7.416666666666667
1000,32,35.291666666666664,7.916666666666667
1000,33,36.666666666666664,6.333333333333333
1000,34,38.0,5.583333333333333
1000,35,39.0,5.833333333333333
1000,36,40.083333333333336,3.9583333333333335
1000,37,41.208333333333336,4.666666666666667
1000,38,42.333333333333336,2.8333333333333335
1000,39,42.916666666666664,2.0833333333333335
1000,40,43.333333333333336,1.375
1000,41,43.916666666666664,2.0
1000,42,44.208333333333336,0.9583333333333334
1000,43,44.875,1.875
1000,44,45.541666666666664,2.3333333333333335
1000,45,45.916666666666664,1.1666666666666667
1000,46,46.416666666666664,1.8333333333333333
1000,47,46.75,1.0833333333333333
1000,48,47.125,0.875
1000,49,47.583333333333336,1.2083333333333333
1000,50,47.916666666666664,1.0833333333333333
1000,51,48.25,1.0416666666666667
1000,52,48.375,0.25
1000,53,48.5,0.3333333333333333
1000,54,49.0,1.625
1000,55,49.25,1.0833333333333333
1000,56,49.416666666666664,0.6666666666666666
1000,57,49.666666666666664,0.375
1000,58,49.708333333333336,0.041666666666666664
1000,59,49.958333333333336,0.625
1000,60,50.041666666666664,0.4166666666666667
1000,61,50.083333333333336,0.20833333333333334
1000,62,50.25,0.5
1000,63,50.333333333333336,0.125
1000,64,50.458333333333336,0.375
1000,65,50.5,0.125
1000,66,50.541666666666664,0.041666666666666664
1000,67,50.541666666666664,0.0
1000,68,50.541666666666664,0.0
1000,69,50.541666666666664,0.0
2500,20,4.125,36.75
2500,21,7.75,63.166666666666664
2500,22,11.375,78.75
2500,23,14.958333333333334,85.16666666666667
2500,24,19.041666666666668,90.0
2500,25,22.416666666666668,92.375
2500,26,26.041666666666668,90.41666666666667
2500,27,29.166666666666668,79.66666666666667
2500,28,33.083333333333336,75.95833333333333
2500,29,37.333333333333336,75.58333333333333
2500,30,41.666666666666664,69.66666666666667
2500,31,45.708333333333336,61.541666666666664
2500,32,48.541666666666664,50.333333333333336
2500,33,51.083333333333336,42.666666666666664
2500,34,54.458333333333336,38.916666666666664
2500,35,58.166666666666664,32.083333333333336
2500,36,60.25,29.333333333333332
2500,37,63.166666666666664,25.875
2500,38,65.95833333333333,24.041666666666668
2500,39,68.29166666666667,21.041666666666668
2500,40,70.16666666666667,16.625
2500,41,72.75,19.791666666666668
2500,42,74.58333333333333,14.541666666666666
2500,43,76.91666666666667,15.541666666666666
2500,44,78.79166666666667,14.666666666666666
2500,45,80.5,11.875
2500,46,82.29166666666667,9.083333333333334
2500,47,84.45833333333333,13.208333333333334
2500,48,86.54166666666667,10.458333333333334
2500,49,88.54166666666667,10.208333333333334
2500,50,90.29166666666667,8.875
2500,51,91.75,5.583333333333333
2500,52,93.41666666666667,8.541666666666666
2500,53,95.33333333333333,8.333333333333334
2500,54,96.75,8.125
2500,55,97.91666666666667,6.125
2500,56,99.08333333333333,6.208333333333333
2500,57,100.0,5.291666666666667
2500,58,101.41666666666667,5.625
2500,59,102.41666666666667,5.083333333333333
2500,60,103.41666666666667,3.6666666666666665
2500,61,104.875,5.833333333333333
2500,62,105.875,4.125
2500,63,106.75,3.4166666666666665
2500,64,108.20833333333333,5.458333333333333
2500,65,109.16666666666667,3.9166666666666665
2500,66,110.0,3.375
