N,n_coalitions,n_cores_max,n_cores_mean,n_member_nodes_median,dist_max_norm_median,dist_max_norm_mean
500,61,11,7.065573770491803,7.0,0.8739022279235557,0.8654651995547649
1000,7,8,6.857142857142857,7.0,0.8838834764831844,0.8657049694021206
2500,8,8,6.5,6.0,0.8238542479491313,0.8249880628975433
5000,3,8,7.0,7.0,0.8736936574237084,0.8729167281922603
