record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,110,20,47,0.155105,1,2,contested,64,0.2294
1,108,20,63,0.156517,1,2,contested,77,0.2868
2,102,20,47,0.32438,2,1,uncontested,,
3,103,20,46,0.124969,1,2,contested,50,0.3481
4,112,21,74,0.2189,1,2,contested,6,0.2463
5,93,21,47,0.07426,3,1,uncontested,,
7,90,23,50,0.142784,1,3,contested,43|72,0.2926|0.3280
8,105,27,78,0.042611,1,2,contested,67,0.2066
9,106,29,6,0.027385,1,2,contested,81,0.3787
10,97,30,78,0.249252,2,2,contested,52,0.2730
11,113,31,50,0.078915,2,3,contested,43|72,0.3565|0.3919
12,1,32,7,0.160458,1,2,contested,8,0.1737
14,117,35,50,0.31328,3,1,uncontested,,
15,7,36,81,0.351273,1,1,uncontested,,
