record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,102,20,58,0.127699,1,1,uncontested,,
1,114,20,88,0.000315,1,3,contested,6|70,0.0856|0.3666
2,115,20,63,7e-06,1,5,contested,59|71|70|22,0.1833|0.1958|0.2288|0.2905
3,118,20,68,0.132293,1,2,contested,0,0.1659
4,119,20,0,0.066261,1,3,contested,68|50,0.0998|0.2117
5,126,20,58,0.050578,2,1,uncontested,,
6,128,21,34,0.041203,1,1,uncontested,,
7,122,21,86,0.300962,1,2,contested,87,0.3675
9,127,21,34,0.081715,2,1,uncontested,,
11,99,22,32,0.038078,1,2,contested,69,0.1340
12,108,23,59,0.012475,1,2,contested,70,0.0330
13,92,23,59,0.183272,2,3,contested,70|22,0.2288|0.2905
10,130,24,91,0.083417,1,1,uncontested,,
14,106,24,32,0.095946,2,1,uncontested,,
16,131,25,6,0.08587,1,3,contested,90|70,0.3401|0.3663
18,133,27,92,0.20134,1,3,contested,34|6,0.2388|0.2542
19,135,28,86,0.199106,2,1,uncontested,,
20,129,31,95,0.085929,1,1,uncontested,,
21,51,35,92,0.037415,2,1,uncontested,,
22,142,36,59,0.002756,3,4,contested,70|94|98,0.0427|0.2333|0.3092
23,145,37,102,0.012701,1,3,contested,100|32,0.3183|0.3212
24,138,37,96,0.264958,1,1,uncontested,,
25,144,39,102,0.305586,2,1,uncontested,,
