record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,104,-3.1106,20,20,consumed
1,106,-1.952,20,20,consumed
2,112,2.6319,20,20,consumed
3,113,-2.3953,20,20,consumed
4,116,1.8839,20,20,consumed
5,117,-2.8011,20,20,consumed
6,24,-2.2067,20,20,consumed
7,94,-0.6292,20,20,consumed
8,50,1.4385,21,21,consumed
9,108,1.5276,21,24,consumed
10,109,2.4627,21,21,consumed
11,121,1.2238,25,25,consumed
12,75,-0.6329,25,25,consumed
13,92,-1.714,25,25,consumed
14,49,-2.9276,26,26,consumed
15,122,0.8178,27,27,consumed
16,123,-2.6866,27,27,consumed
17,115,-2.8446,29,29,consumed
18,93,0.1166,32,32,consumed
19,125,1.6012,32,35,expired
20,86,2.8393,32,35,consumed
21,124,2.1419,35,38,expired
