record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,110,-0.4565,20,20,consumed
1,119,0.8886,20,20,consumed
2,57,-2.6179,21,21,consumed
3,58,2.327,21,21,consumed
4,118,1.517,21,21,consumed
5,120,2.1482,22,22,consumed
6,109,-0.5126,27,30,expired
7,48,0.3311,28,28,consumed
8,123,0.775,28,28,consumed
9,122,0.1142,30,33,expired
10,124,-1.5188,31,31,consumed
11,73,2.7829,32,32,consumed
12,19,-2.7144,32,32,consumed
13,38,-2.6359,32,32,consumed
14,107,1.66,34,37,expired
