record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,152,20,15,0.052589,1,7,contested,76|104|79|102|63|101,0.0722|0.1143|0.2576|0.2718|0.3296|0.3849
1,153,20,108,0.304792,1,1,uncontested,,
2,138,20,79,0.039547,1,5,contested,102|76|15|104,0.0537|0.1459|0.1655|0.3324
3,149,20,104,0.010574,1,6,contested,15|76|63|101|79,0.1775|0.1970|0.2048|0.2601|0.3825
4,145,21,2,0.007499,1,2,contested,45,0.0256
5,23,21,76,0.019581,1,5,contested,104|79|102|63,0.1669|0.2050|0.2192|0.3822
6,112,22,79,0.185459,2,2,contested,102,0.1996
7,137,22,10,0.139403,1,3,contested,39|96,0.1931|0.3729
8,151,22,63,0.215354,1,4,contested,101|79|102,0.2707|0.3719|0.3861
9,117,23,102,0.014183,1,2,contested,110,0.2528
10,100,24,17,0.00691,1,3,contested,107|25,0.2769|0.3541
11,158,24,102,0.266956,2,3,contested,63|101,0.3345|0.3898
12,25,25,107,0.269969,1,2,contested,25,0.3472
13,157,25,90,0.25756,1,1,uncontested,,
14,62,25,2,0.033103,2,1,uncontested,,
15,31,26,107,0.077266,2,3,contested,96|39,0.1713|0.3511
16,156,29,114,0.303283,1,1,uncontested,,
17,162,32,107,0.388541,3,1,uncontested,,
18,163,37,2,0.336815,3,1,uncontested,,
19,155,38,96,0.248547,1,1,uncontested,,
