record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,107,20,22,0.032547,1,4,contested,68|16|40,0.1801|0.2881|0.3314
1,89,20,54,0.037581,1,4,contested,69|71|17,0.1372|0.1373|0.2254
2,67,20,17,0.043423,1,6,contested,69|40|16|54|68,0.1316|0.1839|0.2273|0.3064|0.3352
4,104,21,16,0.107963,1,4,contested,22|40|17,0.1475|0.1513|0.3786
5,108,21,54,0.099767,2,3,contested,69|17,0.2745|0.3627
6,85,21,66,0.193476,1,2,contested,41,0.2630
7,98,22,33,0.005227,1,1,uncontested,,
8,91,22,67,0.174293,1,1,uncontested,,
10,57,24,16,0.043335,2,4,contested,17|22|69,0.2273|0.2988|0.3156
11,82,24,69,0.174744,1,2,contested,17,0.2630
12,105,25,17,0.088226,2,2,contested,16,0.3589
13,109,28,33,0.253905,2,2,contested,75,0.3400
15,113,30,17,0.196258,3,1,uncontested,,
16,112,31,75,0.140283,1,1,uncontested,,
17,116,33,41,0.174274,1,1,uncontested,,
18,120,34,41,0.266752,2,1,uncontested,,
19,100,34,77,0.289003,1,3,contested,79|34,0.3251|0.3637
20,118,34,22,0.120805,2,2,contested,16,0.1347
